"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036444","GO:0036444","calcium import into the mitochondrion","4/571","10/11465",0.00100494547235324,0.607485574663441,0.600703439061138,"MAIP1/MCUR1/MICU2/MICU3",4
"GO:0043484","GO:0043484","regulation of RNA splicing","7/571","36/11465",0.00173050825573561,0.607485574663441,0.600703439061138,"CELF1/LOC114001870/MBNL2/PTBP2/RBM12/RBM12B/TRA2B",7
"GO:0030148","GO:0030148","sphingolipid biosynthetic process","8/571","48/11465",0.00232906119100696,0.607485574663441,0.600703439061138,"ACER3/ELOVL4/HACD2/KDSR/SGMS2/SGPP1/SPTLC1/VAPA",8
"GO:0006376","GO:0006376","mRNA splice site selection","5/571","20/11465",0.00250071480328296,0.607485574663441,0.600703439061138,"CELF1/LOC113985802/LOC113985815/PTBP2/SRSF1",5
"GO:0044257","GO:0044257","cellular protein catabolic process","4/571","13/11465",0.00303565245687518,0.607485574663441,0.600703439061138,"CLN8/IDE/RAB12/RIPK1",4
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","16/571","149/11465",0.0030398586115688,0.607485574663441,0.600703439061138,"ATXN3/CLOCK/GID8/KCTD5/NEDD4/NHLRC1/NHLRC3/PPP2R5C/PSMD10/RAD23B/RNF4/SPOPL/TBL1XR1/UBE2D3/UBE2W/USP44",16
"GO:0006851","GO:0006851","mitochondrial calcium ion transmembrane transport","5/571","23/11465",0.00479667686794068,0.607485574663441,0.600703439061138,"LETM1/MAIP1/MCUR1/MICU2/MICU3",5
"GO:0031398","GO:0031398","positive regulation of protein ubiquitination","9/571","66/11465",0.00518042679029727,0.607485574663441,0.600703439061138,"BCL10/CHFR/DERL1/MAPK9/NDFIP2/NHLRC1/PSMD10/TRAF6/UBE2D1",9
"GO:0002756","GO:0002756","MyD88-independent toll-like receptor signaling pathway","4/571","15/11465",0.00535285123969276,0.607485574663441,0.600703439061138,"RIPK1/TLR3/UBE2D1/UBE2D3",4
"GO:0051560","GO:0051560","mitochondrial calcium ion homeostasis","4/571","16/11465",0.00686002066032294,0.607485574663441,0.600703439061138,"LETM1/MAIP1/MICU2/MICU3",4
"GO:0060261","GO:0060261","positive regulation of transcription initiation from RNA polymerase II promoter","4/571","16/11465",0.00686002066032294,0.607485574663441,0.600703439061138,"ERCC6/LOC113983147/MED17/SUB1",4
"GO:0070317","GO:0070317","negative regulation of G0 to G1 transition","6/571","35/11465",0.00702006546412308,0.607485574663441,0.600703439061138,"APAF1/EED/SUZ12/TFDP1/TFDP2/YAF2",6
"GO:0002224","GO:0002224","toll-like receptor signaling pathway","5/571","26/11465",0.00829155497301529,0.607485574663441,0.600703439061138,"BCL10/HMGB1/IRAK4/TLR3/TRAF6",5
"GO:0033120","GO:0033120","positive regulation of RNA splicing","4/571","17/11465",0.00862313253549349,0.607485574663441,0.600703439061138,"DYRK1A/LOC113985802/LOC113985815/PIK3R1",4
"GO:2001238","GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","4/571","17/11465",0.00862313253549349,0.607485574663441,0.600703439061138,"AGT/BCL10/CYLD/RIPK1",4
"GO:0043928","GO:0043928","exonucleolytic catabolism of deadenylated mRNA","6/571","37/11465",0.00924578544177115,0.607485574663441,0.600703439061138,"CNOT6/CNOT7/DCP1A/DCP2/EXOSC8/LSM5",6
