"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019003","GO:0019003","GDP binding","12/575","66/11658",7.8910379307949e-05,0.0280920950336298,0.027244846750534,"RAB12/RAB18/RAB27A/RAB2A/RAB31/RAB5A/RAB8B/RALA/RAP1B/RAP2C/SUCLG2/TRIM23",12
"GO:0051787","GO:0051787","misfolded protein binding","5/575","20/11658",0.00239695679244238,0.255766682876043,0.248052844421473,"DERL1/DERL2/DNAJB9/EDEM1/SDF2L1",5
"GO:0004842","GO:0004842","ubiquitin-protein transferase activity","19/575","189/11658",0.00250413596993404,0.255766682876043,0.248052844421473,"ANAPC4/CHFR/CUL5/FBXW2/G2E3/MIB1/MYLIP/NHLRC1/RNF141/RNF182/RNF4/TRAF6/TRIM23/UBE2D1/UBE2D3/UBE2E1/UBE2E3/UBE2W/WDSUB1",19
"GO:0008134","GO:0008134","transcription factor binding","23/575","252/11658",0.00328554942905322,0.255766682876043,0.248052844421473,"BCL10/CEBPG/CNOT7/E2F5/GTF2A1/HMGB1/LOC113983147/LOC113984461/MAPK9/MECP2/NFATC3/PIK3R1/PSMD10/RB1/RBPJ/RNF4/SMAD2/TBL1XR1/TFDP1/TFDP2/TRAPPC2/TRIB2/TXLNG",23
"GO:0061631","GO:0061631","ubiquitin conjugating enzyme activity","6/575","31/11658",0.00359222869207926,0.255766682876043,0.248052844421473,"UBE2D1/UBE2D3/UBE2E1/UBE2E3/UBE2J2/UBE2W",6
"GO:0001226","GO:0001226","RNA polymerase II transcription corepressor binding","4/575","15/11658",0.00517131639580838,0.30683143948463,0.297577504881605,"EED/MTF2/SUZ12/ZNF644",4
"GO:0003725","GO:0003725","double-stranded RNA binding","8/575","59/11658",0.00802807381529924,0.386025489696458,0.374383088765341,"DGCR8/DICER1/DUS2/HMGB1/LSM14A/MTDH/TLR3/ZFR",8
"GO:0043022","GO:0043022","ribosome binding","7/575","48/11658",0.00867473010553839,0.386025489696458,0.374383088765341,"CPEB3/ERI1/GTPBP6/GUF1/LETM1/MAIP1/NAA16",7
"GO:0061578","GO:0061578","Lys63-specific deubiquitinase activity","3/575","11/11658",0.0146329738646979,0.514824151700879,0.499297225777316,"ATXN3/CYLD/DESI2",3
"GO:0030374","GO:0030374","nuclear receptor coactivator activity","7/575","55/11658",0.0178070892112203,0.514824151700879,0.499297225777316,"CNOT6/LOC113983147/LOC113984461/MED17/RNF4/SLC30A9/TMF1",7
"GO:0001103","GO:0001103","RNA polymerase II repressing transcription factor binding","5/575","32/11658",0.0191437334932788,0.514824151700879,0.499297225777316,"GTF2A1/MIER1/MIER3/MKKS/RBPJ",5
"GO:0005484","GO:0005484","SNAP receptor activity","5/575","33/11658",0.0216745533349867,0.514824151700879,0.499297225777316,"BET1/SNAP23/SNAP29/STX2/STX7",5
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","20/575","251/11658",0.023557482881525,0.514824151700879,0.499297225777316,"ATXN3/BCL10/CAMLG/CRK/CUL5/DBT/DERL1/FZD6/GLMN/PRKAR1A/RALA/RB1/RIPK1/SMAD2/SPOPL/TRAF6/TRIB2/UBE2D1/UBE2J2/UBE2W",20
"GO:0004535","GO:0004535","poly(A)-specific ribonuclease activity","3/575","13/11658",0.0235701845591072,0.514824151700879,0.499297225777316,"CNOT6/CNOT7/PAN3",3
"GO:0005159","GO:0005159","insulin-like growth factor receptor binding","3/575","13/11658",0.0235701845591072,0.514824151700879,0.499297225777316,"CRK/GNAS/PIK3R1",3
"GO:0070628","GO:0070628","proteasome binding","3/575","13/11658",0.0235701845591072,0.514824151700879,0.499297225777316,"PSMG1/RAD23B/ZFAND1",3
"GO:0030145","GO:0030145","manganese ion binding","7/575","60/11658",0.0274930322308868,0.514824151700879,0.499297225777316,"DCP2/DYRK2/EXTL2/IMPA1/NUDT7/PPM1B/PRIMPOL",7
"GO:0003729","GO:0003729","mRNA binding","14/575","161/11658",0.0279645123605701,0.514824151700879,0.499297225777316,"CELF1/CPSF6/DCP1A/FUBP1/LOC113985802/LOC113985815/LOC114001870/LSM14A/MECP2/MYEF2/NCBP1/PTBP2/SRSF1/TRA2B",14
"GO:0061630","GO:0061630","ubiquitin protein ligase activity","16/575","192/11658",0.0280135872783489,0.514824151700879,0.499297225777316,"ANKIB1/CHFR/LOC113983147/LOC113989829/MYLIP/NEDD4/NHLRC1/NHLRC3/RNF138/RNF144A/RNF170/RNF38/RNF7/TRAF6/UBE2D1/UBE2D3",16
"GO:1904047","GO:1904047","S-adenosyl-L-methionine binding","3/575","14/11658",0.0289227051517347,0.514824151700879,0.499297225777316,"BMT2/KMT5B/METTL5",3
"GO:0005525","GO:0005525","GTP binding","22/575","294/11658",0.0338764230072579,0.556831187828506,0.540037343606593,"ARF4/ARL13B/ARL5B/GNAL/GNAQ/GNAS/GSPT1/GTPBP6/GUF1/RAB12/RAB18/RAB27A/RAB2A/RAB31/RAB5A/RAB8B/RALA/RAP1B/RAP2C/RP2/SUCLG2/TRIM23",22
"GO:0031683","GO:0031683","G-protein beta/gamma-subunit complex binding","3/575","15/11658",0.0348605523407163,0.556831187828506,0.540037343606593,"GNAL/GNAQ/GNAS",3
