"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A2M","tan","A2M","A2M",2,"N","A2M",-0.235648519719489,0.0112366395434395,-0.0943710761916093,0.315763188878783,-0.110086669465033,0.241512369278982
"AAAS","sienna3","AAAS","AAAS",2,"N","AAAS",-0.185459651750698,0.0472160945730728,0.056979895777588,0.545273469009668,0.22167021360687,0.0172713598272137
"AACS","sienna3","AACS","AACS",3,"N","AACS",0.0099790263044463,0.915703969900605,-0.017931408374861,0.849146496318425,-0.078901596021317,0.40192410883251
"AADAT","yellow","AADAT","AADAT",2,"N","AADAT",-0.00778578141038945,0.93418364177876,0.0341107656691976,0.717421917665543,0.159555369727268,0.0885159082229663
"AAGAB","sienna3","AAGAB","AAGAB",3,"N","AAGAB",-0.0600589026777815,0.52373409207395,-0.114582489844161,0.222708523799501,0.0311136073145538,0.741331022926167
"AAK1","sienna3","AAK1","AAK1",2,"N","AAK1",0.107473758043583,0.252934005618098,0.137161263296586,0.143812386992841,-0.14423926694756,0.124060765441106
"AAMDC","purple","AAMDC","AAMDC",3,"N","AAMDC",-0.0626816169394932,0.505732568164863,-0.0832325396624538,0.376504808408631,0.0984883606179143,0.295016345348594
"AAMP","darkgrey","AAMP","AAMP",3,"N","AAMP",0.0145087742696463,0.877690432694121,-0.0997065098109565,0.289054960249684,0.041969490763393,0.656065226687533
"AAR2","sienna3","AAR2","AAR2",3,"N","AAR2",-0.149516773874696,0.110745448031605,-0.0871667431597197,0.354283729570566,-0.148417492053768,0.113422918922711
"AARS","black","AARS","AARS",3,"N","AARS",0.110792996691497,0.238487338934982,0.0328691116158716,0.727295334081539,0.0864837586565019,0.358081552704975
"AARS2","sienna3","AARS2","AARS2",3,"N","AARS2",0.214675321397543,0.0212273066592567,-0.0598018464216265,0.525515732078395,-0.198693443685648,0.0332753006329399
"AASDH","yellowgreen","AASDH","AASDH",2,"N","AASDH",0.0790575295379041,0.400991636636933,0.295915597818524,0.00132318217165724,0.00801764435240569,0.932228200795652
"AASDHPPT","paleturquoise","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.146138049161641,0.119134934340995,-0.250743975617777,0.00687421325993781,0.162328345342253,0.083046569532188
"AASS","darkmagenta","AASS","AASS",2,"N","AASS",0.0525131313633949,0.577272286868822,0.129074854064336,0.169190090018544,-0.045465977514035,0.629456779781735
"AATF","tan","AATF","AATF",3,"N","AATF",-0.224237551759949,0.0159886642476767,0.03858440824585,0.6822431852171,0.139276474467858,0.137675533377203
"AATK","darkgrey","AATK","AATK",2,"N","AATK",0.100431319771862,0.285546146301036,0.180317257523076,0.0538052748988287,0.108494278597826,0.248429665980931
