"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","orangered4","A1CF","A1CF",2,"N","A1CF",-0.222947089929181,0.509930719474076,0.0649139258256839,0.849607428797595,-0.0697437565408974,0.838540048604034
"A2M","darkviolet","A2M","A2M",2,"N","A2M",-0.213213808640752,0.529038270403031,0.223437519693494,0.508975885744489,-0.0141151785328548,0.96714454561409
"A4GNT","darkseagreen3","A4GNT","A4GNT",3,"N","A4GNT",0.541702188882131,0.0852152116266086,0.00283879045330806,0.99339076337015,-0.217923587768928,0.519755217134381
"AAAS","coral3","AAAS","AAAS",2,"N","AAAS",-0.0202779678154345,0.952811285295931,0.201233892468374,0.552957403442274,0.404837283312362,0.216799799741382
"AACS","blue2","AACS","AACS",3,"N","AACS",-0.238710692856525,0.479631886487166,-0.374965037543125,0.255849752848995,-0.0757523328893846,0.824808378221231
"AADAT","orangered4","AADAT","AADAT",2,"N","AADAT",-0.386545662256156,0.240265804348939,0.0323232672257106,0.924836322509323,0.177316869452018,0.601959340528346
"AAGAB","blue2","AAGAB","AAGAB",3,"N","AAGAB",0.217843938220073,0.51991163104227,-0.142073452525497,0.676895636401799,-0.0282558285489121,0.934275752544803
"AAK1","greenyellow","AAK1","AAK1",2,"N","AAK1",0.527766843852857,0.0951978107296883,0.243327845397645,0.470913688038263,0.0434593209257824,0.899040237799372
"AAMDC","orangered4","AAMDC","AAMDC",3,"N","AAMDC",-0.497959888029523,0.119050434812353,-0.219781816906042,0.516111744371357,0.099102131867311,0.77189380888556
"AAMP","firebrick3","AAMP","AAMP",3,"N","AAMP",-0.111104215111458,0.745017071851464,-0.371768986649027,0.260249573537337,0.0391012142421012,0.909126379899394
"AAR2","royalblue","AAR2","AAR2",3,"N","AAR2",-0.433730136761156,0.182606792298444,-0.375306935679343,0.255381610593421,-0.0302047243865016,0.9297518742389
"AARS","darkseagreen3","AARS","AARS",3,"N","AARS",0.497726058988816,0.119251339887936,0.362118210711038,0.273793879473419,0.00496477044831705,0.988441306907055
"AARS2","greenyellow","AARS2","AARS2",3,"N","AARS2",0.486341996021652,0.129297011825308,0.00166909162981713,0.996114017719302,-0.0584086530584752,0.864552291711677
"AASDH","royalblue","AASDH","AASDH",2,"N","AASDH",-0.240762250382102,0.475749196411895,-0.00550272604163275,0.987188953788513,-0.187066724134425,0.581789717163081
"AASDHPPT","tan","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.390359811866796,0.235256430113514,-0.627102670694883,0.0389140971451426,0.109564990244724,0.748450325124379
"AASS","salmon1","AASS","AASS",2,"N","AASS",-0.0260463004865093,0.939406728784343,0.508049654497028,0.110587730621847,-0.0190866758404716,0.955581102576461
"AATF","darkseagreen3","AATF","AATF",3,"N","AATF",-0.265769196219532,0.429589872386781,0.456565744602773,0.15806155033626,0.363089831841254,0.272412714948329
"AATK","bisque4","AATK","AATK",2,"N","AATK",0.462642427408774,0.151895521224926,0.225797920976115,0.504391144995177,0.089901139551439,0.792653012152329
"ABAT","lightcyan","ABAT","ABAT",2,"N","ABAT",-0.0600611396827955,0.860752000838027,0.144264772578173,0.67215051979522,0.021203256884355,0.950660260807103
"ABCA1","darkseagreen3","ABCA1","ABCA1",3,"N","ABCA1",0.0532916583372932,0.876336081643013,0.502475943936938,0.115212865159529,0.223387766245169,0.509072717256833
"ABCA12","firebrick3","ABCA12","ABCA12",2,"N","ABCA12",0.320908699595407,0.335942794069018,-0.177825669060706,0.600900408827535,-0.0235106818968371,0.945297492696681
