"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A2M","darkgreen","A2M","A2M",2,"N","A2M",-0.435792174954735,0.119321686391846,-0.140270023834076,0.632446691101866,-0.284455942682447,0.324295703705382
"A4GNT","mediumpurple2","A4GNT","A4GNT",3,"N","A4GNT",-0.192374991208691,0.5099664850153,0.0398408620289133,0.892434315978623,0.187893994032694,0.520056923154412
"AAAS","darkolivegreen","AAAS","AAAS",2,"N","AAAS",0.012270178064581,0.966792577819532,-0.0253532773895568,0.931441355704285,-0.0196588970836586,0.946817013676315
"AACS","darkgreen","AACS","AACS",3,"N","AACS",-0.213034444337439,0.464629753890475,-0.024920537140423,0.932609100706364,-0.0108846673737343,0.970540682631047
"AADAT","orange","AADAT","AADAT",2,"N","AADAT",0.131202042374615,0.654813811067321,0.0328407120962237,0.911258760507545,0.0567857008440528,0.847102293952222
"AAGAB","magenta","AAGAB","AAGAB",3,"N","AAGAB",0.0680481797984007,0.817205223543094,0.180985282270391,0.535786938095989,0.135376542123716,0.64448216071733
"AAK1","darkgreen","AAK1","AAK1",2,"N","AAK1",-0.0830565798975677,0.77772697030295,0.387776062458018,0.170693292760014,0.130347629856957,0.656935603446562
"AAMDC","darkolivegreen4","AAMDC","AAMDC",3,"N","AAMDC",0.0134107310241582,0.963707611449898,-0.157439378156411,0.590899025910366,0.273907584303897,0.343326685809595
"AAMP","brown4","AAMP","AAMP",3,"N","AAMP",0.341569540658724,0.231988628306302,0.496271721912582,0.0710799142676662,0.323391994003545,0.259382398653719
"AAR2","darkmagenta","AAR2","AAR2",3,"N","AAR2",0.341998566497102,0.231364560399415,0.22304336739719,0.443392384648716,-0.130320401616315,0.657003259903959
"AARS","antiquewhite2","AARS","AARS",3,"N","AARS",-0.0598694653788834,0.838895517141724,0.0970182565212986,0.74144237267553,0.415382025460863,0.139668667127495
"AARS2","magenta","AARS2","AARS2",3,"N","AARS2",0.267799535412036,0.354623199963221,0.246315346632243,0.395939861354515,-0.0377737504449078,0.89798803248819
"AASDH","darkmagenta","AASDH","AASDH",2,"N","AASDH",0.0297560879376145,0.919568083104388,0.515760000701037,0.0590533541639391,0.330020780860761,0.249177152038235
"AASDHPPT","brown2","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.100804289484912,0.731685150973206,-0.434527669590714,0.120519924880833,-0.0415137519362513,0.887943097918627
"AASS","darkolivegreen","AASS","AASS",2,"N","AASS",-0.00928888927748371,0.974858302114941,-0.144448498502422,0.622236146713615,-0.0401963186577763,0.891479764201052
"AATF","darkolivegreen","AATF","AATF",3,"N","AATF",-0.0774593491776733,0.792396920243571,0.361410262544686,0.2042101244601,0.19717662460634,0.499253870613865
"AATK","darkolivegreen","AATK","AATK",2,"N","AATK",-0.156277179523783,0.593676673369038,0.272869151236228,0.345232970790997,0.360894753489415,0.204903948731206
"ABAT","darkolivegreen","ABAT","ABAT",2,"N","ABAT",-0.312216473734699,0.277147106359723,-0.177801263843056,0.543105673498735,-0.000423491737643371,0.998853594974753
"ABCA1","magenta","ABCA1","ABCA1",3,"N","ABCA1",-0.0271545227683916,0.926582115993552,-0.107481961614218,0.714568021469961,-0.354813479079054,0.213200990827435
"ABCA12","darkgrey","ABCA12","ABCA12",2,"N","ABCA12",-0.0189684372956078,0.948682626099305,-0.043905326773374,0.881527877057011,0.146048199179009,0.618343636866578
"ABCA13","magenta","ABCA13","ABCA13",3,"N","ABCA13",-0.189628373891664,0.516140823047118,-0.245870212645457,0.396821570644508,-0.37946709588466,0.180841039436433
"ABCA2","darkolivegreen","ABCA2","ABCA2",2,"N","ABCA2",-0.231488657422204,0.425855850455446,0.414890531492992,0.140185412072494,0.170892007826837,0.559134000489137
"ABCA3","darkolivegreen","ABCA3","ABCA3",2,"N","ABCA3",-0.244446284268911,0.399648946476614,-0.0026323582299289,0.992874206305375,-0.0106168393698268,0.971265282498819
"ABCA4","darkgrey","ABCA4","ABCA4",2,"N","ABCA4",-0.111775971381532,0.703626006904733,-0.141559201803698,0.629289846093177,0.259740581198901,0.369834788512885
"ABCA5","magenta","ABCA5","ABCA5",2,"N","ABCA5",-0.104241195458843,0.722860165725327,0.0570919637027005,0.846286583235752,-0.0712463306315,0.80875571312161
"ABCA7","bisque4","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",-0.176560143268899,0.545970148549016,-0.0960379970919298,0.743974620459677,0.0472645873815888,0.872528385675811
"ABCB10","indianred4","ABCB10","ABCB10",3,"N","ABCB10",0.0507788331402548,0.863129018933762,-0.0462103787110888,0.875351127246736,0.238813518161077,0.410935951925748
"ABCB11","darkolivegreen","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",-0.143260691945781,0.625132359903533,0.0883877221979468,0.763818058553503,-0.160301465324322,0.58408091851393
"ABCB6","lightcyan1","ABCB6","ABCB6",3,"N","ABCB6",0.353828381952756,0.214564518151364,0.123844457106724,0.673162995895981,0.0700486892025743,0.811917661100655
"ABCB7","orangered3","ABCB7","ABCB7",2,"N","ABCB7",-0.111458066987472,0.704434296279513,-0.0286401659967942,0.92257606228225,-0.231674736500288,0.425473470211662
"ABCB8","darkslateblue","ABCB8","ABCB8",2,"N","ABCB8",-0.547831961102877,0.0425581521705794,-0.131340999938918,0.6544689612304,-0.0339932189416917,0.908156271008601
"ABCB9","coral1","ABCB9","ABCB9",2,"N","ABCB9",-0.0718184782226313,0.807246114164883,-0.585544537202449,0.0278028418586715,0.184167119724739,0.528516644494779
"ABCC10","honeydew1","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.239397200092939,0.409758797910444,0.247420796286153,0.393754667639262,0.392803278384586,0.164737118250586
"ABCC2","orange","ABCC2","ABCC2",2,"N","ABCC2",0.143782237992737,0.623860058790275,-0.0127687252185157,0.965444052547751,-0.530582444088343,0.0509422634968368
"ABCC3","darkgreen","ABCC3","ABCC3",2,"N","ABCC3",0.0944474340735345,0.748088542246346,-0.123973280550757,0.672840228184334,-0.0201774945273112,0.945415936935597
"ABCC4","honeydew","ABCC4","ABCC4",3,"N","ABCC4",-0.457436572964549,0.100053218636056,-0.129659900375065,0.658645213860777,-0.386142376028931,0.172658586585712
"ABCC5","orangered3","ABCC5","ABCC5",2,"N","ABCC5",-0.459078530406213,0.0986855170118385,-0.0277030174827948,0.925102900772113,-0.466378063787117,0.0927618451323713
"ABCC8","darkslateblue","ABCC8","ABCC8",2,"N","ABCC8",0.0322999188723612,0.91271495599914,0.185463683873643,0.525566655905753,0.157933960876783,0.589718553872433
"ABCC9","darkolivegreen","ABCC9","ABCC9",1,"N","ABCC9",0.017068308963721,0.953817980760072,-0.16655659535339,0.569291967707696,0.0173753871227849,0.952987942629436
"ABCD2","magenta","ABCD2","ABCD2",3,"N","ABCD2",-0.361887767724409,0.203568774737713,-0.432914238322713,0.122060631170022,-0.605737974043352,0.0216849404305212
"ABCD3","skyblue2","ABCD3","ABCD3",3,"N","ABCD3",-0.500664456238951,0.068229117886055,-0.916766220606875,4.00441493628239e-06,-0.517791791378659,0.0578899671183693
"ABCD4","magenta","ABCD4","ABCD4",2,"N","ABCD4",-0.123802079655569,0.673269184222759,0.189247581498546,0.516999484125801,-0.0072206364353528,0.980455209929702
"ABCE1","orange","ABCE1","ABCE1",3,"N","ABCE1",-0.0812316494167474,0.78250267005206,-0.188874184409324,0.517842092729358,-0.218147442177173,0.453719970514174
"ABCF2","antiquewhite2","ABCF2","ABCF2",3,"N","ABCF2",-0.148719862813731,0.611863483553164,0.0370823493578815,0.899846603599941,-0.135322796489112,0.644614804595969
"ABCF3","darkmagenta","ABCF3","ABCF3",3,"N","ABCF3",0.529476060903068,0.0515180378232636,0.693725793025373,0.00592547450815494,0.097817812974679,0.739378722793219
"ABCG1","magenta","ABCG1","ABCG1",1,"N","ABCG1",0.397606329375309,0.159174947407079,0.370729815938755,0.191922613734914,0.342818367264477,0.23017494637433
