"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000772","GO:2000772","regulation of cellular senescence","2/80","11/11917",0.0023535316024209,0.320847394575701,0.320317318634698,"RSL1D1/ZMPSTE24",2
"GO:2001214","GO:2001214","positive regulation of vasculogenesis","2/80","12/11917",0.00281196634659508,0.320847394575701,0.320317318634698,"ADM/CD34",2
"GO:0042632","GO:0042632","cholesterol homeostasis","3/80","52/11917",0.00508240207788097,0.320847394575701,0.320317318634698,"LOC113994745/NPC2/NUS1",3
"GO:0031398","GO:0031398","positive regulation of protein ubiquitination","3/80","66/11917",0.00984154514886228,0.320847394575701,0.320317318634698,"BCL10/TBC1D7/UBE2L3",3
"GO:0010951","GO:0010951","negative regulation of endopeptidase activity","3/80","67/11917",0.0102537822371816,0.320847394575701,0.320317318634698,"LOC113992168/PROS1/SPOCK3",3
"GO:0001889","GO:0001889","liver development","3/80","68/11917",0.0106759424515697,0.320847394575701,0.320317318634698,"FPGS/SRD5A1/ZMPSTE24",3
"GO:0008360","GO:0008360","regulation of cell shape","4/80","135/11917",0.0128346927162514,0.320847394575701,0.320317318634698,"CDC42SE2/RHOA/TBCCD1/ZMPSTE24",4
"GO:0016239","GO:0016239","positive regulation of macroautophagy","2/80","27/11917",0.0140125979892282,0.320847394575701,0.320317318634698,"SCOC/SESN2",2
"GO:0000209","GO:0000209","protein polyubiquitination","5/80","220/11917",0.0160869558087094,0.320847394575701,0.320317318634698,"FBXO11/LOC113996737/SKP1/UBE2L3/UBE2V1",5
"GO:0030449","GO:0030449","regulation of complement activation","2/80","30/11917",0.0171425512101639,0.320847394575701,0.320317318634698,"LOC113992168/PROS1",2
"GO:1903955","GO:1903955","positive regulation of protein targeting to mitochondrion","2/80","30/11917",0.0171425512101639,0.320847394575701,0.320317318634698,"LOC113999401/UBE2L3",2
"GO:0051225","GO:0051225","spindle assembly","2/80","31/11917",0.0182459275202823,0.320847394575701,0.320317318634698,"MAPRE1/TUBGCP4",2
"GO:0031100","GO:0031100","animal organ regeneration","2/80","33/11917",0.0205401388220926,0.320847394575701,0.320317318634698,"ADM/FPGS",2
"GO:0035722","GO:0035722","interleukin-12-mediated signaling pathway","2/80","37/11917",0.0254664330356465,0.320847394575701,0.320317318634698,"LOC114003816/RAP1B",2
"GO:0050900","GO:0050900","leukocyte migration","3/80","95/11917",0.0259336256234852,0.320847394575701,0.320317318634698,"CD34/LOC113985299/PROS1",3
"GO:0022900","GO:0022900","electron transport chain","2/80","44/11917",0.035102653498338,0.320847394575701,0.320317318634698,"LOC113991532/SRD5A1",2
"GO:0031122","GO:0031122","cytoplasmic microtubule organization","2/80","45/11917",0.0365783659993872,0.320847394575701,0.320317318634698,"RHOA/TUBGCP4",2
