"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098696","GO:0098696","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane","2/80","10/11917",0.00193402441883973,0.345835367967234,0.340738846755085,"ADAM10/PRKCZ",2
"GO:0006509","GO:0006509","membrane protein ectodomain proteolysis","2/80","19/11917",0.0070672489623123,0.345835367967234,0.340738846755085,"ADAM10/SPPL2A",2
"GO:0001954","GO:0001954","positive regulation of cell-matrix adhesion","2/80","20/11917",0.00781851417248379,0.345835367967234,0.340738846755085,"EPHA1/PRKCZ",2
"GO:0097194","GO:0097194","execution phase of apoptosis","2/80","20/11917",0.00781851417248379,0.345835367967234,0.340738846755085,"CFLAR/STK24",2
"GO:0001817","GO:0001817","regulation of cytokine production","2/80","21/11917",0.00860413491889193,0.345835367967234,0.340738846755085,"IGF2BP3/LRRC19",2
"GO:0005977","GO:0005977","glycogen metabolic process","2/80","23/11917",0.0102765148735581,0.345835367967234,0.340738846755085,"IL6ST/LOC113990070",2
"GO:0010803","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","2/80","23/11917",0.0102765148735581,0.345835367967234,0.340738846755085,"LOC113989730/SPPL2A",2
"GO:0032715","GO:0032715","negative regulation of interleukin-6 production","2/80","26/11917",0.01303082549332,0.345835367967234,0.340738846755085,"FOXJ1/SOCS5",2
"GO:0021510","GO:0021510","spinal cord development","2/80","28/11917",0.0150254426922268,0.345835367967234,0.340738846755085,"PTN/SUZ12",2
"GO:0051781","GO:0051781","positive regulation of cell division","2/80","31/11917",0.0182459275202823,0.345835367967234,0.340738846755085,"GAREM1/PTN",2
"GO:0009968","GO:0009968","negative regulation of signal transduction","2/80","33/11917",0.0205401388220926,0.345835367967234,0.340738846755085,"RGS10/SOCS5",2
"GO:0071456","GO:0071456","cellular response to hypoxia","3/80","90/11917",0.0225389551395841,0.345835367967234,0.340738846755085,"CFLAR/EGLN1/PTN",3
"GO:0006633","GO:0006633","fatty acid biosynthetic process","2/80","35/11917",0.0229480989522429,0.345835367967234,0.340738846755085,"ABCD3/ELOVL4",2
"GO:0060291","GO:0060291","long-term synaptic potentiation","2/80","36/11917",0.0241936775102233,0.345835367967234,0.340738846755085,"PRKCZ/PTN",2
"GO:0008284","GO:0008284","positive regulation of cell population proliferation","6/80","339/11917",0.0261972014312209,0.345835367967234,0.340738846755085,"ADAM10/EPHA1/GAREM1/IL6ST/PRKCZ/PTN",6
"GO:0050776","GO:0050776","regulation of immune response","2/80","38/11917",0.0267659542812242,0.345835367967234,0.340738846755085,"CXADR/SPPL2A",2
"GO:0090630","GO:0090630","activation of GTPase activity","3/80","99/11917",0.0288364253104063,0.345835367967234,0.340738846755085,"EPHA1/FOXJ1/TBCK",3
"GO:0030336","GO:0030336","negative regulation of cell migration","3/80","100/11917",0.0295880385760461,0.345835367967234,0.340738846755085,"EPHA1/PTN/STK24",3
"GO:0043066","GO:0043066","negative regulation of apoptotic process","6/80","360/11917",0.0337618327412679,0.345835367967234,0.340738846755085,"ADAM10/ADAMTS20/CFLAR/IL6ST/LOC113989730/PRKCZ",6
"GO:0071364","GO:0071364","cellular response to epidermal growth factor stimulus","2/80","45/11917",0.0365783659993872,0.345835367967234,0.340738846755085,"CFLAR/GAREM1",2
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation","2/80","47/11917",0.0396002850922103,0.345835367967234,0.340738846755085,"PTN/SUZ12",2
