"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","darkmagenta","A1CF","A1CF",2,"N","A1CF",0.02211601801992,0.935205585190212,0.345395949988152,0.190101076641453,0.209157562919042,0.436909181383666
"A2M","blue","A2M","A2M",2,"N","A2M",-0.319909115253368,0.227085909442364,-0.0297799103809589,0.912821618555542,-0.0747171963282888,0.783309197802096
"A4GNT","grey60","A4GNT","A4GNT",3,"N","A4GNT",0.0821949323804493,0.762177953985465,-0.256674341232091,0.337244824784427,-0.417291253125002,0.107804801767729
"AAAS","darkred","AAAS","AAAS",2,"N","AAAS",-0.277125961541046,0.298750791711445,0.111887338052674,0.679940215546341,0.363620691198403,0.166223691269331
"AACS","coral2","AACS","AACS",3,"N","AACS",0.224412294664669,0.403397036761146,-0.210176837954445,0.434626727025158,-0.486955142866325,0.0557514154585395
"AADAT","salmon4","AADAT","AADAT",2,"N","AADAT",-0.0238723669232738,0.93007121257049,-0.11834593505403,0.662456909226494,0.0789221088647241,0.77140813212342
"AAGAB","brown4","AAGAB","AAGAB",3,"N","AAGAB",0.156634517815105,0.56238021486299,-0.109670073404252,0.685978260751529,0.297075405175147,0.263835080115728
"AAK1","darkolivegreen","AAK1","AAK1",2,"N","AAK1",0.208055452684864,0.439384007433898,0.269462941271959,0.31285590663899,-0.0632371990650524,0.816023852076881
"AAMDC","salmon4","AAMDC","AAMDC",3,"N","AAMDC",-0.0277996732418526,0.91860006431239,-0.211221060967154,0.43229476442285,-0.186458386062022,0.48929210156841
"AAMP","brown4","AAMP","AAMP",3,"N","AAMP",0.067187356549278,0.80473209549882,-0.156127361239079,0.563662194841522,0.231588926039436,0.388119127561449
"AAR2","grey60","AAR2","AAR2",3,"N","AAR2",-0.20258460512106,0.451774085264356,-0.495996134367521,0.0507037551266694,-0.563838310157734,0.0229183150937467
"AARS","skyblue","AARS","AARS",3,"N","AARS",0.49795483128576,0.0496565104031911,0.165540655124615,0.540074229836989,0.205981401890903,0.444060671762461
"AARS2","brown4","AARS2","AARS2",3,"N","AARS2",0.410121616002303,0.114622112149618,-0.260385527840947,0.330058442894208,-0.240132393218611,0.370347179470612
"AASDH","salmon4","AASDH","AASDH",2,"N","AASDH",0.100998840213511,0.709760245879487,0.420491598494397,0.104855671520301,-0.0908889597260395,0.737807045103862
"AASDHPPT","brown","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.169257993450427,0.530881966711922,-0.422917857558873,0.102658071498881,0.143205228348582,0.596739349605855
"AASS","brown","AASS","AASS",2,"N","AASS",0.287466872993035,0.280325597683844,0.0952908790525576,0.725554839052477,0.0401773183121418,0.882554775365628
"AATF","darkolivegreen","AATF","AATF",3,"N","AATF",0.0374114255236447,0.890593079558044,0.139828553887577,0.605509905873224,0.0793114260769889,0.77030862768679
"AATK","brown4","AATK","AATK",2,"N","AATK",-0.09870582298885,0.71609238575555,0.123755463892856,0.647937672063431,0.321731878613735,0.224300070477246
"ABAT","grey60","ABAT","ABAT",2,"N","ABAT",-0.24030046713855,0.370002131107166,-0.532362933781175,0.0337646549131147,-0.460298900293951,0.0727932877955344
"ABCA1","blue","ABCA1","ABCA1",3,"N","ABCA1",-0.244335683512213,0.36177138557194,0.241370707351978,0.367809139184904,0.286018641720867,0.282863768121315
"ABCA12","brown4","ABCA12","ABCA12",2,"N","ABCA12",0.241603496899611,0.367333092068078,0.0502958014714672,0.853245086851238,0.0947746336952105,0.726988582029817
"ABCA13","brown","ABCA13","ABCA13",3,"N","ABCA13",0.0810138520869199,0.765505499127249,0.311600531151583,0.240060823115925,0.135636264539338,0.616469554791772
"ABCA2","darkorange2","ABCA2","ABCA2",2,"N","ABCA2",0.296399032219457,0.264976010814846,0.170631157270058,0.527504339516523,0.24987850912761,0.35063342101022
"ABCA3","brown4","ABCA3","ABCA3",2,"N","ABCA3",-0.360736143681231,0.169862283331046,-0.230045572887768,0.391377938101719,0.00318425903938445,0.990661976578491
"ABCA4","brown","ABCA4","ABCA4",2,"N","ABCA4",0.125309525791962,0.643788174802402,-0.145501593962641,0.59080431793106,0.423551948039823,0.102089139872485
"ABCA5","darkorange2","ABCA5","ABCA5",2,"N","ABCA5",0.211190467764402,0.432362993620457,-0.12268359956048,0.650805334723761,-0.242765014231762,0.364962925767967
"ABCA7","darkmagenta","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",0.217115678084469,0.419252368113041,0.272779557522185,0.306704085844862,0.448297879694618,0.0815873427107071
"ABCB10","skyblue","ABCB10","ABCB10",3,"N","ABCB10",0.0569492908842059,0.834067580858837,-0.124909331891554,0.64485579507769,0.274360798050832,0.303796366561579
"ABCB11","blue","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",-0.397481859048604,0.127363369484415,0.137808416945398,0.610781363290976,0.323877461852559,0.221048756066112
"ABCB5","darkolivegreen","ABCB1","ABCB1",2,"N","ABCB5/ABCB1",-0.275285260645237,0.3021039467255,0.199442570124177,0.458968392614217,0.201784047387674,0.453601721260068
"ABCB6","brown4","ABCB6","ABCB6",3,"N","ABCB6",0.0496490635889156,0.855113479770693,-0.00368756965875081,0.989186063940125,0.488998395731481,0.0545795036777539
"ABCB7","salmon4","ABCB7","ABCB7",2,"N","ABCB7",-0.131064832512186,0.628507440406285,-0.12480693197717,0.645129077847492,-0.374721978679973,0.152707263268982
"ABCB8","darkolivegreen","ABCB8","ABCB8",2,"N","ABCB8",-0.190900846268373,0.478810700600202,-0.19423898574105,0.471007173079478,-0.206469606362144,0.442957581669415
"ABCB9","brown4","ABCB9","ABCB9",2,"N","ABCB9",0.131350584844275,0.627752356814505,-0.399949317086867,0.124802645844657,-0.138351477411206,0.609362495118643
"ABCC10","brown4","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.319494632365699,0.227722430293455,0.322664812908097,0.222882639661641,0.374404925656101,0.153082647116559
"ABCC2","green","ABCC2","ABCC2",2,"N","ABCC2",0.0555330564155792,0.838142648553997,0.0234845189242756,0.931204801292956,-0.504836569677728,0.0461043460637445
"ABCC3","green","ABCC3","ABCC3",2,"N","ABCC3",0.219875799877395,0.413216844602718,0.0158139515194136,0.953646920924539,-0.482050765203475,0.0586400784298172
"ABCC4","salmon4","ABCC4","ABCC4",3,"N","ABCC4",-0.352138443659038,0.181020366204121,-0.227736428785582,0.396281150176613,-0.434352589572207,0.0927375667221094
"ABCC5","salmon4","ABCC5","ABCC5",2,"N","ABCC5",-0.148672511952211,0.582648919997722,-0.077363097914892,0.775815139293098,-0.488565440393949,0.0548262907126258
"ABCC8","brown","ABCC8","ABCC8",2,"N","ABCC8",0.199499768476577,0.458836918685448,0.0429958831123422,0.87437443698871,0.0470728282406445,0.862563167069563
"ABCC9","skyblue","ABCC9","ABCC9",1,"N","ABCC9",0.743228391126706,0.000969072223063026,-0.0220173981731608,0.935493955495158,-0.183866971805007,0.495456412277224
"ABCD2","salmon4","ABCD2","ABCD2",3,"N","ABCD2",-0.0373139295486115,0.890876611470681,-0.158116929384701,0.558640195752853,-0.343760901309896,0.192347168530195
"ABCD3","salmon4","ABCD3","ABCD3",3,"N","ABCD3",-0.334576702547196,0.20528489672351,-0.492182953445171,0.0527894644953954,-0.390837838543291,0.134438258069821
"ABCD4","darkolivegreen","ABCD4","ABCD4",2,"N","ABCD4",0.126589833344804,0.640377016393874,0.0695347330907589,0.798038937257018,-0.222106402689361,0.408372817403298
"ABCE1","green","ABCE1","ABCE1",3,"N","ABCE1",0.101655760574374,0.707949423993307,0.238798365428028,0.373092167323066,-0.29167986413291,0.273020310403226
"ABCF2","antiquewhite4","ABCF2","ABCF2",3,"N","ABCF2",0.0610872074591343,0.822184162826003,0.42223830627573,0.103270272484675,0.402373194336807,0.122322053156539
"ABCF3","darkorange2","ABCF3","ABCF3",3,"N","ABCF3",0.221794368162963,0.409048625208904,0.118008815685883,0.66336554678785,0.174252589814672,0.51864354406397
"ABCG1","darkgrey","ABCG1","ABCG1",1,"N","ABCG1",-0.430742683701381,0.0957923940986556,0.261441738528824,0.328029410158142,0.123648953129954,0.648222423929155
"ABCG2","brown","ABCG2","ABCG2",3,"N","ABCG2",-0.0406169182775237,0.881278168756804,0.220157409361154,0.412603634591695,0.281333543759501,0.291169211040608
"ABCG4","darkorange2","ABCG4","ABCG4",2,"N","ABCG4",0.244518941967696,0.361400026443077,0.142677614204329,0.598106381438992,-0.163309312009995,0.545625632085403
"ABHD10","coral2","ABHD10","ABHD10",3,"N","ABHD10",0.0323434556025958,0.905347162154333,-0.348456782956462,0.185942622785498,-0.0687348776976875,0.800318136446714
"ABHD11","brown4","ABHD11","ABHD11",2,"N","ABHD11",-0.055718011069348,0.837610239578788,0.15213848074824,0.573788509855196,0.350635709515601,0.183018984746985
"ABHD12","brown","ABHD12","ABHD12",3,"N","ABHD12",0.351438424664241,0.181949585592024,0.385222276423278,0.140624524426201,-0.205805986997609,0.444457358652623
"ABHD12B","darkorange2","ABHD12","ABHD12",3,"N","ABHD12B/ABHD12",0.589119506142024,0.0163378285506324,0.373453605672177,0.154212726114531,-0.032170930525018,0.905849961633797
"ABHD13","salmon4","ABHD13","ABHD13",3,"N","ABHD13",-0.363039802806403,0.166952208528827,-0.311117732994472,0.240828728316988,0.228377020923812,0.394917635451378
"ABHD14A","brown4","ABHD14A","ABHD14A",3,"N","ABHD14A",-0.0706712644572041,0.794803007368967,-0.10983495490306,0.685528637608018,0.219112453447015,0.414881453915279
"ABHD15","brown4","ABHD15","ABHD15",2,"N","ABHD15",0.192123105412339,0.475946189693618,0.178794909272146,0.507627121821701,0.223553032359541,0.405247417917445
"ABHD17A","blue","ABHD17A","ABHD17A",3,"N","ABHD17A",-0.119095768904193,0.66043746587047,0.19967842190466,0.458426393542061,0.0520910478596489,0.848062570483565
"ABHD17B","coral2","ABHD17B","ABHD17B",3,"N","ABHD17B",-0.1953154301428,0.468504150592309,-0.639058963389825,0.00769702408434465,-0.405139710810764,0.11953282998664
"ABHD17C","salmon4","ABHD17C","ABHD17C",3,"N","ABHD17C",-0.378457624404248,0.148331094474068,-0.477845606685312,0.0612034198071869,-0.49512846848891,0.0511728715669492
"ABHD18","salmon4","ABHD18","ABHD18",3,"N","ABHD18",-0.423061676442429,0.102528835635532,-0.317642288933399,0.230580853157198,-0.329522302710358,0.212638739070427
"ABHD2","salmon4","ABHD2","ABHD2",2,"N","ABHD2",-0.383102144846659,0.143009802223807,-0.336079036791252,0.20313115121658,0.323917183882449,0.220988847549418
"ABHD3","salmon4","ABHD3","ABHD3",2,"N","ABHD3",-0.446047165489298,0.0833181047530794,-0.546796502096461,0.0283922703805019,-0.464638465170331,0.0697896152016198
"ABHD5","salmon4","ABHD5","ABHD5",2,"N","ABHD5",-0.45217104338741,0.0786697683516057,-0.632593209159643,0.00854471691699628,-0.565673754848049,0.0223811880689678
"ABHD6","brown","ABHD6","ABHD6",2,"N","ABHD6",-0.273480241229605,0.305413596250799,0.0356996766291752,0.8955728619633,0.222848016941346,0.406768993148115
"ABHD8","darkolivegreen","ABHD8","ABHD8",3,"N","ABHD8",0.127667055112816,0.637512160446326,0.235627354351481,0.379661767348056,0.059284538780759,0.827356829543886
"ABI1","brown","ABI1","ABI1",3,"N","ABI1",0.314812575457971,0.234991006812408,0.109127944682199,0.687457312678222,0.0121950753779814,0.964247147453006
"ABI2","paleturquoise","ABI2","ABI2",2,"N","ABI2",-0.463730644099649,0.0704103732090185,-0.440996730246706,0.0872975520884714,-0.341774593631723,0.195098993651065
"ABI3","paleturquoise","ABI3","ABI3",3,"N","ABI3",-0.0465012387828514,0.8642175238323,-0.231588635662963,0.388119739310534,-0.355279388537873,0.176889534830874
"ABI3BP","salmon4","ABI3BP","ABI3BP",2,"N","ABI3BP",-0.595990998842627,0.0148334554643076,-0.44449716171435,0.0845252698643669,0.0388765017682934,0.886333947659568
"ABL1","darkolivegreen","ABL1","ABL1",2,"N","ABL1",-0.153648280243685,0.569946684731062,0.326106946390104,0.217702241430728,0.407160994039326,0.117523121052938
"ABL2","blue","ABL2","ABL2",1,"N","ABL2",-0.222267928309723,0.408023215544272,0.116999609767006,0.666088284652008,0.382775928565334,0.143379245425466
"ABLIM1","darkorange2","ABLIM1","ABLIM1",3,"N","ABLIM1",-0.189252109900029,0.482687912268669,-0.139515027082569,0.60632685273075,-0.277027670692209,0.298929285661971
"ABLIM2","grey60","ABLIM2","ABLIM2",2,"N","ABLIM2",-0.0364635021378772,0.893350295282003,-0.271915375204468,0.308300109661282,-0.373480524233187,0.154180672268438
"ABLIM3","brown4","ABLIM3","ABLIM3",2,"N","ABLIM3",0.130722840190124,0.62941158879389,0.181775941106157,0.500457126491644,0.435295121394127,0.0919515239457392
"ABR","darkred","ABR","ABR",2,"N","ABR",0.0971215715090915,0.720477457979854,0.199087320100364,0.459785376254658,0.137139939356997,0.612529695908521
"ABRACL","brown","ABRACL","ABRACL",3,"N","ABRACL",-0.353568123903088,0.179132308700869,-0.0034125809307137,0.989992439600476,0.376367060524562,0.150769502681653
"ABRAXAS1","skyblue","ABRAXAS1","ABRAXAS1",2,"N","ABRAXAS1",0.390830270725069,0.134446467096415,0.223015554584456,0.406407136929651,-0.301775945544791,0.255989283499111
"ABRAXAS2","salmon4","ABRAXAS2","ABRAXAS2",2,"N","ABRAXAS2",-0.117403126263707,0.664999165736032,-0.357159302453956,0.174447224316634,-0.124605259430049,0.645667421837452
"ABTB1","skyblue","ABTB1","ABTB1",3,"N","ABTB1",0.368570726792373,0.160101653915902,0.608600508534135,0.012355889654769,0.469245767811746,0.0667004812096037
"ABTB2","salmon4","ABTB2","ABTB2",3,"N","ABTB2",0.120532348872135,0.656574624697813,-0.150592060827095,0.577734772272365,-0.589295653174877,0.0162978387675175
