"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055119","GO:0055119","relaxation of cardiac muscle","3/256","11/12181",0.00133593883165954,0.536638420402942,0.520578034240212,"ATP1A1/GSN/RGS2",3
"GO:0010887","GO:0010887","negative regulation of cholesterol storage","3/256","12/12181",0.00175372032811419,0.536638420402942,0.520578034240212,"ABCA7/LOC113986559/PPARD",3
"GO:0051014","GO:0051014","actin filament severing","3/256","12/12181",0.00175372032811419,0.536638420402942,0.520578034240212,"CAPG/FMNL1/GSN",3
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","3/256","14/12181",0.00281274390505018,0.563425958001131,0.546563880826691,"BCO2/MPV17/PINK1",3
"GO:0002028","GO:0002028","regulation of sodium ion transport","3/256","15/12181",0.00346175547758134,0.563425958001131,0.546563880826691,"ADRB2/ATP1A1/LOC113988625",3
"GO:0006904","GO:0006904","vesicle docking involved in exocytosis","4/256","34/12181",0.00538391799544474,0.563425958001131,0.546563880826691,"CPLX2/RAB15/RABEPK/VPS33B",4
"GO:0043407","GO:0043407","negative regulation of MAP kinase activity","4/256","34/12181",0.00538391799544474,0.563425958001131,0.546563880826691,"CDK5RAP3/LOC113991889/PIK3CB/RGS2",4
"GO:0008203","GO:0008203","cholesterol metabolic process","5/256","58/12181",0.00729692970005167,0.563425958001131,0.546563880826691,"ABCA7/LOC113986559/LOC113991750/LRP5/PPARD",5
"GO:0030168","GO:0030168","platelet activation","6/256","83/12181",0.00796130816939989,0.563425958001131,0.546563880826691,"ADAMTS13/DGKZ/LOC113984938/LOC113991889/LOC113997278/PIK3CB",6
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","8/256","141/12181",0.00981613892429999,0.563425958001131,0.546563880826691,"ARHGAP17/ARHGAP19/ARHGEF16/INPP5B/LOC113997278/OPHN1/RHOU/SYDE2",8
"GO:0048010","GO:0048010","vascular endothelial growth factor receptor signaling pathway","5/256","63/12181",0.0102882393591421,0.563425958001131,0.546563880826691,"LOC113992914/LOC113997278/PGF/PIK3CB/SHC2",5
"GO:0030031","GO:0030031","cell projection assembly","3/256","22/12181",0.0105147645588627,0.563425958001131,0.546563880826691,"CAPG/GSN/RHOU",3
"GO:0006687","GO:0006687","glycosphingolipid metabolic process","4/256","42/12181",0.0114046081721022,0.563425958001131,0.546563880826691,"ESYT1/LOC113991750/NEU3/SUMF2",4
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","9/256","178/12181",0.0129355960256226,0.563425958001131,0.546563880826691,"DUOX2/EBI3/IRAK2/LAMA5/LOC113988748/LOC113991889/PIK3CB/RHOU/STAT2",9
"GO:0007265","GO:0007265","Ras protein signal transduction","5/256","67/12181",0.0132162849133147,0.563425958001131,0.546563880826691,"BRAP/KSR1/LOC113987219/LOC114002334/SHC2",5
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","4/256","44/12181",0.013389448426498,0.563425958001131,0.546563880826691,"CCNL2/CDK5R2/CDK5RAP3/CNPPD1",4
"GO:0022900","GO:0022900","electron transport chain","4/256","44/12181",0.013389448426498,0.563425958001131,0.546563880826691,"DMGDH/GSR/LOC114003129/PHGDH",4
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway","4/256","45/12181",0.0144591377666086,0.563425958001131,0.546563880826691,"GNG7/LOC113998074/RGS2/RGS9",4
"GO:0000185","GO:0000185","activation of MAPKKK activity","2/256","10/12181",0.0177137510387739,0.563425958001131,0.546563880826691,"GADD45G/KSR1",2
"GO:0006768","GO:0006768","biotin metabolic process","2/256","10/12181",0.0177137510387739,0.563425958001131,0.546563880826691,"LOC113989977/SLC5A6",2
"GO:0008645","GO:0008645","hexose transmembrane transport","2/256","10/12181",0.0177137510387739,0.563425958001131,0.546563880826691,"LOC113984297/LOC113994207",2
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process","2/256","10/12181",0.0177137510387739,0.563425958001131,0.546563880826691,"ENTPD7/LOC113991070",2
"GO:0033523","GO:0033523","histone H2B ubiquitination","2/256","10/12181",0.0177137510387739,0.563425958001131,0.546563880826691,"LOC113997744/PAF1",2
"GO:0042304","GO:0042304","regulation of fatty acid biosynthetic process","2/256","10/12181",0.0177137510387739,0.563425958001131,0.546563880826691,"PDK4/PRKAB2",2
"GO:0035556","GO:0035556","intracellular signal transduction","13/256","326/12181",0.0204452222831884,0.563425958001131,0.546563880826691,"DGKZ/IRAK2/LOC113982361/LOC113984938/LOC113988748/LOC113991889/MKNK2/NEURL2/OXSR1/PINK1/PRKAG3/RGS9/SOCS4",13
"GO:0009313","GO:0009313","oligosaccharide catabolic process","2/256","11/12181",0.0213532648625771,0.563425958001131,0.546563880826691,"MAN2C1/NEU3",2
"GO:0070757","GO:0070757","interleukin-35-mediated signaling pathway","2/256","11/12181",0.0213532648625771,0.563425958001131,0.546563880826691,"EBI3/STAT2",2
"GO:0006898","GO:0006898","receptor-mediated endocytosis","5/256","76/12181",0.0217432765578355,0.563425958001131,0.546563880826691,"ADRB2/ALB/ARHGAP27/LMBR1L/RABEPK",5
"GO:0000077","GO:0000077","DNA damage checkpoint","3/256","29/12181",0.0224077872461307,0.563425958001131,0.546563880826691,"LOC113995895/LOC114003415/RAD9A",3
"GO:0008015","GO:0008015","blood circulation","3/256","29/12181",0.0224077872461307,0.563425958001131,0.546563880826691,"DLL4/LOC113985104/STAT2",3
"GO:0045773","GO:0045773","positive regulation of axon extension","3/256","29/12181",0.0224077872461307,0.563425958001131,0.546563880826691,"DBN1/MACF1/MAP3K13",3
"GO:0046856","GO:0046856","phosphatidylinositol dephosphorylation","3/256","29/12181",0.0224077872461307,0.563425958001131,0.546563880826691,"INPP5B/INPP5J/LOC113991780",3
"GO:1903955","GO:1903955","positive regulation of protein targeting to mitochondrion","3/256","30/12181",0.0245200958143643,0.563425958001131,0.546563880826691,"HPS4/PINK1/RHOU",3
"GO:0043547","GO:0043547","positive regulation of GTPase activity","11/256","266/12181",0.0250721394221781,0.563425958001131,0.546563880826691,"ALS2CL/ARHGAP17/ARHGAP19/ARHGAP27/DENND1A/ELMOD3/LOC113992914/LOC113994893/OPHN1/RGS2/RGS9",11
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","2/256","12/12181",0.0252731737694697,0.563425958001131,0.546563880826691,"CDC7/MCM7",2
"GO:0010390","GO:0010390","histone monoubiquitination","2/256","12/12181",0.0252731737694697,0.563425958001131,0.546563880826691,"LOC113997744/PAF1",2
"GO:0051693","GO:0051693","actin filament capping","2/256","12/12181",0.0252731737694697,0.563425958001131,0.546563880826691,"GSN/LOC113988625",2
"GO:0061462","GO:0061462","protein localization to lysosome","2/256","12/12181",0.0252731737694697,0.563425958001131,0.546563880826691,"KPTN/LOC113996741",2
"GO:0070106","GO:0070106","interleukin-27-mediated signaling pathway","2/256","12/12181",0.0252731737694697,0.563425958001131,0.546563880826691,"EBI3/STAT2",2
"GO:2000147","GO:2000147","positive regulation of cell motility","2/256","12/12181",0.0252731737694697,0.563425958001131,0.546563880826691,"CAVIN1/DUOX2",2
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","5/256","81/12181",0.0277407152467454,0.563425958001131,0.546563880826691,"ADAMTS13/HDAC5/PAF1/PPARD/TNFAIP3",5
"GO:0006369","GO:0006369","termination of RNA polymerase II transcription","3/256","32/12181",0.0290557305784831,0.563425958001131,0.546563880826691,"CPSF7/CSTF2/SNRPE",3
"GO:0006271","GO:0006271","DNA strand elongation involved in DNA replication","2/256","13/12181",0.0294601808105167,0.563425958001131,0.546563880826691,"GINS1/MCM7",2
"GO:0038063","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","2/256","13/12181",0.0294601808105167,0.563425958001131,0.546563880826691,"DDR2/OTOL1",2
"GO:0043303","GO:0043303","mast cell degranulation","2/256","13/12181",0.0294601808105167,0.563425958001131,0.546563880826691,"CPLX2/PTGDS",2
"GO:0050860","GO:0050860","negative regulation of T cell receptor signaling pathway","2/256","13/12181",0.0294601808105167,0.563425958001131,0.546563880826691,"DGKZ/LOC113991889",2
"GO:0090309","GO:0090309","positive regulation of DNA methylation-dependent heterochromatin assembly","2/256","13/12181",0.0294601808105167,0.563425958001131,0.546563880826691,"LOC113987219/LOC114002334",2
"GO:0098789","GO:0098789","pre-mRNA cleavage required for polyadenylation","2/256","13/12181",0.0294601808105167,0.563425958001131,0.546563880826691,"CPSF7/CSTF2",2
"GO:0001732","GO:0001732","formation of cytoplasmic translation initiation complex","2/256","14/12181",0.0339014202947611,0.588969524000552,0.571342985098575,"LOC113985040/LOC113998301",2
"GO:0043691","GO:0043691","reverse cholesterol transport","2/256","14/12181",0.0339014202947611,0.588969524000552,0.571342985098575,"ABCA7/LOC113986559",2
"GO:0046339","GO:0046339","diacylglycerol metabolic process","2/256","14/12181",0.0339014202947611,0.588969524000552,0.571342985098575,"DGKZ/LOC113984938",2
"GO:0090051","GO:0090051","negative regulation of cell migration involved in sprouting angiogenesis","2/256","14/12181",0.0339014202947611,0.588969524000552,0.571342985098575,"DLL4/HDAC5",2
"GO:0006605","GO:0006605","protein targeting","3/256","34/12181",0.0340036871155003,0.588969524000552,0.571342985098575,"HPS4/KIF13B/LOC114003402",3
"GO:0016477","GO:0016477","cell migration","9/256","214/12181",0.0370348540850162,0.595976802444766,0.578140551391207,"AGBL5/DGKZ/FMNL1/LAMA5/LOC113997278/PIK3CB/RHOU/SYDE2/TNFAIP3",9
"GO:0031124","GO:0031124","mRNA 3'-end processing","4/256","60/12181",0.0371535099723062,0.595976802444766,0.578140551391207,"ALYREF/CPSF7/CSTF2/SRRM1",4
"GO:0043687","GO:0043687","post-translational protein modification","11/256","285/12181",0.0385661901892009,0.595976802444766,0.578140551391207,"ALB/ANKRD9/ANO8/COP1/IGFBP4/LOC113995895/LOC113996737/LOC113998959/NEURL2/PROC/SUMF2",11
"GO:0006388","GO:0006388","tRNA splicing, via endonucleolytic cleavage and ligation","2/256","15/12181",0.0385844456512503,0.595976802444766,0.578140551391207,"CSTF2/TSEN54",2
"GO:0046855","GO:0046855","inositol phosphate dephosphorylation","2/256","15/12181",0.0385844456512503,0.595976802444766,0.578140551391207,"INPP5B/INPP5J",2
"GO:1901800","GO:1901800","positive regulation of proteasomal protein catabolic process","2/256","15/12181",0.0385844456512503,0.595976802444766,0.578140551391207,"LOC113997744/OSBPL7",2
"GO:0008154","GO:0008154","actin polymerization or depolymerization","2/256","16/12181",0.0434972176076245,0.595976802444766,0.578140551391207,"CAPG/GSN",2
"GO:0034656","GO:0034656","nucleobase-containing small molecule catabolic process","2/256","16/12181",0.0434972176076245,0.595976802444766,0.578140551391207,"ENTPD7/LOC113991070",2
"GO:0045453","GO:0045453","bone resorption","2/256","16/12181",0.0434972176076245,0.595976802444766,0.578140551391207,"ACP5/ADRB2",2
"GO:0046834","GO:0046834","lipid phosphorylation","2/256","16/12181",0.0434972176076245,0.595976802444766,0.578140551391207,"DGKZ/LOC113984938",2
"GO:0048384","GO:0048384","retinoic acid receptor signaling pathway","2/256","16/12181",0.0434972176076245,0.595976802444766,0.578140551391207,"LOC113996864/RXRG",2
