"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0038007","GO:0038007","netrin-activated signaling pathway","5/420","14/12181",7.36217592257552e-05,0.0904506186035288,0.0869562774462944,"DSCAM/LOC113983017/LOC113988456/LOC113993074/UNC5A",5
"GO:1900034","GO:1900034","regulation of cellular response to heat","10/420","70/12181",0.000132917881856765,0.0904506186035288,0.0869562774462944,"AAAS/ATR/CAMK2B/CREBBP/HSP90AB1/LOC113998422/MLST8/NUP54/NUP62CL/NUP85",10
"GO:0090303","GO:0090303","positive regulation of wound healing","6/420","26/12181",0.000207500676162251,0.0941361400856077,0.0904994177086587,"ACTG1/DMTN/LOC113983017/LOC113983228/LOC113993074/OCLN",6
"GO:0043984","GO:0043984","histone H4-K16 acetylation","5/420","21/12181",0.000612824887589678,0.208513668002388,0.200458246124729,"KANSL1/KANSL3/KAT7/KMT2A/MSL1",5
"GO:0006909","GO:0006909","phagocytosis","7/420","46/12181",0.000921431494188085,0.250813652717997,0.241124073110692,"LOC113988212/LOC113992314/LOC113993578/LRP1/RUBCN/SYT7/TUSC2",7
"GO:0051899","GO:0051899","membrane depolarization","5/420","26/12181",0.00171887461037201,0.334297985306056,0.321383190173965,"CACNA1E/CACNB3/CHRNB2/LOC113993166/LOC114000517",5
"GO:0060964","GO:0060964","regulation of gene silencing by miRNA","7/420","51/12181",0.00171938713970786,0.334297985306056,0.321383190173965,"AAAS/LOC113983589/LOC113992597/LOC114003727/NUP54/NUP62CL/NUP85",7
"GO:0032786","GO:0032786","positive regulation of DNA-templated transcription, elongation","4/420","17/12181",0.00231985502293216,0.335108930653848,0.322162806607164,"CCNT1/ELL/KAT7/LOC113988658",4
"GO:0038096","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","8/420","69/12181",0.00247894798103875,0.335108930653848,0.322162806607164,"ACTG1/BAIAP2/ELMO2/HSP90AB1/LOC113983017/LOC113983228/LOC113993074/NCKIPSD",8
"GO:0034622","GO:0034622","cellular protein-containing complex assembly","4/420","18/12181",0.00290236995409266,0.335108930653848,0.322162806607164,"DNAJB12/LOC113995101/LOC113998422/TRAF2",4
"GO:0061157","GO:0061157","mRNA destabilization","4/420","18/12181",0.00290236995409266,0.335108930653848,0.322162806607164,"GIGYF2/METTL14/MEX3D/YTHDF2",4
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","17/420","233/12181",0.00295467095359748,0.335108930653848,0.322162806607164,"BUD13/CACTIN/CHERP/CRNKL1/DDX23/DDX46/EFTUD2/LOC113988658/LOC113992597/METTL14/PRPF3/PRPF8/RBM15B/SNRNP200/SNRPB/SPEN/USP39",17
"GO:1902036","GO:1902036","regulation of hematopoietic stem cell differentiation","7/420","57/12181",0.00329044987464372,0.344484790722315,0.331176452970214,"KMT2A/LOC113989520/PSMA5/PSMD2/PSMD3/PSMD8/YTHDF2",7
"GO:0001779","GO:0001779","natural killer cell differentiation","3/420","10/12181",0.00407564613365779,0.346684649244265,0.333291325272147,"KAT7/LOC113988193/TUSC2",3
"GO:0022038","GO:0022038","corpus callosum development","3/420","10/12181",0.00407564613365779,0.346684649244265,0.333291325272147,"CDK5/PTPRS/RYK",3
