"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015701","GO:0015701","bicarbonate transport","5/128","33/12181",2.22058206848387e-05,0.0113947844338425,0.0110398094293911,"LOC113995938/LOC114003675/RHAG/SLC4A1/SLC4A4",5
"GO:0042307","GO:0042307","positive regulation of protein import into nucleus","5/128","37/12181",3.94347714292245e-05,0.0113947844338425,0.0110398094293911,"DMAP1/LOC113989827/LOC114001403/SMO/ZC3H12A",5
"GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process","4/128","20/12181",4.94708441411396e-05,0.0113947844338425,0.0110398094293911,"LOC114001403/NFE2L2/PDGFRB/ZC3H12A",4
"GO:2000036","GO:2000036","regulation of stem cell population maintenance","3/128","13/12181",0.000300133608180388,0.051848080813162,0.0502328881059807,"SAV1/SMO/TAL1",3
"GO:0050801","GO:0050801","ion homeostasis","3/128","18/12181",0.000824043061329292,0.110094175472766,0.106664476503433,"SLC4A1/SLC4A4/WNK4",3
"GO:0006635","GO:0006635","fatty acid beta-oxidation","4/128","42/12181",0.000955955213945866,0.110094175472766,0.106664476503433,"DECR1/ECH1/LOC114001403/SESN2",4
"GO:0001525","GO:0001525","angiogenesis","8/128","203/12181",0.00134393625535572,0.132665707492972,0.128532850888156,"IL18/JUN/LOC113989827/LOC114001403/PLXND1/TAL1/WASF2/ZC3H12A",8
"GO:0098869","GO:0098869","cellular oxidant detoxification","4/128","55/12181",0.00262255310973066,0.226523024852986,0.219466286551145,"LOC113986834/LOC114003675/SELENOW/SESN2",4
"GO:0043123","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","6/128","146/12181",0.00438307913613936,0.322400965329669,0.312357398049615,"CARD11/LOC113989827/NEK6/TMEM101/TRIM32/WLS",6
"GO:0043249","GO:0043249","erythrocyte maturation","2/128","10/12181",0.00466571585137003,0.322400965329669,0.312357398049615,"LOC114001063/TAL1",2
"GO:0032526","GO:0032526","response to retinoic acid","3/128","36/12181",0.00628357185379078,0.360910072116855,0.349666853326711,"AQP3/DNAAF2/PDGFRB",3
"GO:0030183","GO:0030183","B cell differentiation","3/128","39/12181",0.00786139193968278,0.360910072116855,0.349666853326711,"CARD11/EZH2/TCF3",3
"GO:0006111","GO:0006111","regulation of gluconeogenesis","2/128","13/12181",0.0079222633027628,0.360910072116855,0.349666853326711,"LOC114001403/SESN2",2
"GO:0007162","GO:0007162","negative regulation of cell adhesion","3/128","41/12181",0.00903152595782479,0.360910072116855,0.349666853326711,"LOC113987855/PLXND1/SIPA1",3
"GO:0030322","GO:0030322","stabilization of membrane potential","2/128","14/12181",0.0091794636887775,0.360910072116855,0.349666853326711,"LOC113993556/LOC113997025",2
"GO:0045600","GO:0045600","positive regulation of fat cell differentiation","3/128","42/12181",0.00965272370735395,0.360910072116855,0.349666853326711,"CCDC3/SAV1/ZC3H12A",3
"GO:0042149","GO:0042149","cellular response to glucose starvation","3/128","43/12181",0.0102982647940156,0.360910072116855,0.349666853326711,"NFE2L2/SESN2/ZC3H12A",3
"GO:0008340","GO:0008340","determination of adult lifespan","2/128","15/12181",0.010519350886001,0.360910072116855,0.349666853326711,"LOC114001403/RAD54L",2
"GO:0035855","GO:0035855","megakaryocyte development","2/128","15/12181",0.010519350886001,0.360910072116855,0.349666853326711,"TAL1/WASF2",2
"GO:1904262","GO:1904262","negative regulation of TORC1 signaling","2/128","15/12181",0.010519350886001,0.360910072116855,0.349666853326711,"CASTOR1/SESN2",2
"GO:0042542","GO:0042542","response to hydrogen peroxide","3/128","44/12181",0.0109683234652011,0.360910072116855,0.349666853326711,"JUN/LOC114003675/PDGFRB",3
"GO:0070328","GO:0070328","triglyceride homeostasis","2/128","16/12181",0.0119400762554062,0.367742202479654,0.356286146358534,"IL18/SESN2",2
"GO:0016197","GO:0016197","endosomal transport","4/128","85/12181",0.012240333801783,0.367742202479654,0.356286146358534,"ARHGAP1/UBC/VPS25/ZFYVE16",4
"GO:0090307","GO:0090307","mitotic spindle assembly","3/128","47/12181",0.0131271412233915,0.369332592752994,0.357826992140916,"LOC113989827/LOC113996079/MISP",3
"GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","4/128","88/12181",0.0137635849741929,0.369332592752994,0.357826992140916,"DECR1/IL18/LOC114001403/MFAP2",4
"GO:0007416","GO:0007416","synapse assembly","3/128","48/12181",0.0138967401035859,0.369332592752994,0.357826992140916,"LOC113982203/LOC113987855/PLXND1",3
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","2/128","18/12181",0.0150167925104384,0.383947941926071,0.371987037954119,"LOC113989827/TOX",2
"GO:0035904","GO:0035904","aorta development","2/128","19/12181",0.0166692304743591,0.383947941926071,0.371987037954119,"LOC114001403/PLXND1",2
"GO:0048741","GO:0048741","skeletal muscle fiber development","2/128","19/12181",0.0166692304743591,0.383947941926071,0.371987037954119,"KEL/SMO",2
"GO:1900745","GO:1900745","positive regulation of p38MAPK cascade","2/128","19/12181",0.0166692304743591,0.383947941926071,0.371987037954119,"LOC114001403/ZC3H12A",2
"GO:0043392","GO:0043392","negative regulation of DNA binding","2/128","22/12181",0.0220621342622284,0.422577921129178,0.409413600179995,"JUN/SMO",2
"GO:0009314","GO:0009314","response to radiation","2/128","24/12181",0.0260036667485413,0.422577921129178,0.409413600179995,"JUN/LOC113996079",2
"GO:0043113","GO:0043113","receptor clustering","2/128","24/12181",0.0260036667485413,0.422577921129178,0.409413600179995,"LOC113989827/SAV1",2
"GO:0051453","GO:0051453","regulation of intracellular pH","2/128","24/12181",0.0260036667485413,0.422577921129178,0.409413600179995,"SLC4A1/SLC4A4",2
"GO:0021987","GO:0021987","cerebral cortex development","3/128","61/12181",0.0262171742152319,0.422577921129178,0.409413600179995,"LOC113989827/SMO/TACC3",3
"GO:0050821","GO:0050821","protein stabilization","5/128","161/12181",0.0273847337733171,0.422577921129178,0.409413600179995,"HIP1/LOC113989827/LOC114004336/SAV1/SMO",5
"GO:0006306","GO:0006306","DNA methylation","2/128","26/12181",0.0302070926423032,0.422577921129178,0.409413600179995,"DMAP1/EZH2",2
"GO:0006821","GO:0006821","chloride transport","2/128","27/12181",0.032403095877048,0.422577921129178,0.409413600179995,"SLC4A1/WNK4",2
"GO:0060612","GO:0060612","adipose tissue development","2/128","27/12181",0.032403095877048,0.422577921129178,0.409413600179995,"LOC114001403/SH3PXD2B",2
"GO:0007626","GO:0007626","locomotory behavior","3/128","67/12181",0.0333609324483026,0.422577921129178,0.409413600179995,"LOC113987855/TAL1/ZDHHC8",3
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","2/128","28/12181",0.0346599192922668,0.422577921129178,0.409413600179995,"CARD11/LOC114001403",2
"GO:0045765","GO:0045765","regulation of angiogenesis","2/128","28/12181",0.0346599192922668,0.422577921129178,0.409413600179995,"LOC114001403/PLXND1",2
"GO:0051591","GO:0051591","response to cAMP","2/128","28/12181",0.0346599192922668,0.422577921129178,0.409413600179995,"JUN/SPARC",2
"GO:0010592","GO:0010592","positive regulation of lamellipodium assembly","2/128","29/12181",0.0369760638382421,0.422577921129178,0.409413600179995,"CLRN1/WASF2",2
"GO:2000134","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","2/128","29/12181",0.0369760638382421,0.422577921129178,0.409413600179995,"EZH2/GFI1B",2
"GO:0051092","GO:0051092","positive regulation of NF-kappaB transcription factor activity","4/128","122/12181",0.039600036741347,0.422577921129178,0.409413600179995,"CARD11/IL18/TRIM32/UBC",4
"GO:0051225","GO:0051225","spindle assembly","2/128","31/12181",0.0417804415502454,0.422577921129178,0.409413600179995,"NEK6/TUBB1",2
"GO:0030334","GO:0030334","regulation of cell migration","3/128","74/12181",0.0428418504852633,0.422577921129178,0.409413600179995,"LOC113989827/OSGIN1/PLXND1",3
"GO:0032355","GO:0032355","response to estradiol","3/128","74/12181",0.0428418504852633,0.422577921129178,0.409413600179995,"EZH2/LOC114001403/PDGFRB",3
"GO:0007568","GO:0007568","aging","4/128","128/12181",0.0458800033944622,0.422577921129178,0.409413600179995,"AMFR/JUN/NFE2L2/PDGFRB",4
"GO:0010942","GO:0010942","positive regulation of cell death","2/128","33/12181",0.0468047175967675,0.422577921129178,0.409413600179995,"LOC114003675/ZC3H12A",2
"GO:0030100","GO:0030100","regulation of endocytosis","2/128","33/12181",0.0468047175967675,0.422577921129178,0.409413600179995,"HIP1/ZFYVE16",2
"GO:0042531","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","2/128","34/12181",0.0493958226172766,0.422577921129178,0.409413600179995,"IL18/LOC114001403",2
"GO:0048839","GO:0048839","inner ear development","2/128","34/12181",0.0493958226172766,0.422577921129178,0.409413600179995,"PDGFRB/SPARC",2
"GO:0071526","GO:0071526","semaphorin-plexin signaling pathway","2/128","34/12181",0.0493958226172766,0.422577921129178,0.409413600179995,"LOC113989827/PLXND1",2
"GO:0034599","GO:0034599","cellular response to oxidative stress","3/128","79/12181",0.0503517480312229,0.422577921129178,0.409413600179995,"NFE2L2/SESN2/ZC3H12A",3
"GO:0014068","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling","3/128","80/12181",0.0519258204410372,0.422577921129178,0.409413600179995,"IL18/LOC114001403/PDGFRB",3
"GO:0051091","GO:0051091","positive regulation of DNA-binding transcription factor activity","3/128","80/12181",0.0519258204410372,0.422577921129178,0.409413600179995,"SAV1/TCF3/TRIM32",3
"GO:0045471","GO:0045471","response to ethanol","3/128","81/12181",0.0535235770307605,0.422577921129178,0.409413600179995,"DMAP1/LOC114001403/SPARC",3
"GO:0051897","GO:0051897","positive regulation of protein kinase B signaling","4/128","135/12181",0.053869711541007,0.422577921129178,0.409413600179995,"HIP1/IL18/LOC114001403/PDGFRB",4
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","3/128","82/12181",0.0551448595374212,0.422577921129178,0.409413600179995,"NFE2L2/YBX3/ZC3H12A",3
"GO:0022617","GO:0022617","extracellular matrix disassembly","2/128","38/12181",0.0602552622555807,0.422577921129178,0.409413600179995,"KIF9/SH3PXD2B",2
"GO:0034097","GO:0034097","response to cytokine","2/128","38/12181",0.0602552622555807,0.422577921129178,0.409413600179995,"JUN/SPARC",2
"GO:0051301","GO:0051301","cell division","7/128","338/12181",0.0655745597822364,0.422577921129178,0.409413600179995,"ANAPC11/E4F1/LOC113984756/LOC113996079/MISP/NEK6/TACC3",7
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","2/128","40/12181",0.065963830737552,0.422577921129178,0.409413600179995,"GALR3/WASF2",2
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","3/128","90/12181",0.0689416445010587,0.422577921129178,0.409413600179995,"KCNH5/LOC113993556/LOC113997025",3
"GO:0071347","GO:0071347","cellular response to interleukin-1","2/128","42/12181",0.0718449717310473,0.422577921129178,0.409413600179995,"MYLK3/ZC3H12A",2
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","2/128","43/12181",0.0748472501182195,0.422577921129178,0.409413600179995,"AMFR/NFE2L2",2
"GO:0050896","GO:0050896","response to stimulus","2/128","43/12181",0.0748472501182195,0.422577921129178,0.409413600179995,"CLRN1/CNGA2",2
"GO:0042981","GO:0042981","regulation of apoptotic process","4/128","153/12181",0.077635622721325,0.422577921129178,0.409413600179995,"CARD11/HIP1/LOC113982695/OSGIN1",4
"GO:0051726","GO:0051726","regulation of cell cycle","3/128","95/12181",0.0782828471997363,0.422577921129178,0.409413600179995,"JUN/LOC113984756/LOC114001403",3
"GO:0002576","GO:0002576","platelet degranulation","3/128","96/12181",0.0802146282608793,0.422577921129178,0.409413600179995,"LOC113989827/LOC114004336/SPARC",3
"GO:0030097","GO:0030097","hemopoiesis","2/128","45/12181",0.0809693848700541,0.422577921129178,0.409413600179995,"CRIP2/TAL1",2
"GO:0071805","GO:0071805","potassium ion transmembrane transport","3/128","97/12181",0.0821671047291246,0.422577921129178,0.409413600179995,"KCNH5/LOC113993556/LOC113997025",3
"GO:0051592","GO:0051592","response to calcium ion","2/128","46/12181",0.0840869650249069,0.422577921129178,0.409413600179995,"AQP3/SPARC",2
"GO:0043406","GO:0043406","positive regulation of MAP kinase activity","2/128","47/12181",0.0872407349716409,0.422577921129178,0.409413600179995,"EZH2/PDGFRB",2
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation","2/128","48/12181",0.0904296043137302,0.422577921129178,0.409413600179995,"LOC114003508/SAV1",2
"GO:0030308","GO:0030308","negative regulation of cell growth","3/128","102/12181",0.0922323941854509,0.422577921129178,0.409413600179995,"OSGIN1/SESN2/SIPA1",3
"GO:0007249","GO:0007249","I-kappaB kinase/NF-kappaB signaling","2/128","49/12181",0.0936525012505921,0.422577921129178,0.409413600179995,"CARD11/UBC",2
"GO:0032868","GO:0032868","response to insulin","2/128","49/12181",0.0936525012505921,0.422577921129178,0.409413600179995,"LOC114001403/SESN2",2
"GO:0007507","GO:0007507","heart development","4/128","165/12181",0.0959521918478114,0.422577921129178,0.409413600179995,"CRIP1/PDLIM4/SH3PXD2B/SPARC",4
"GO:0007611","GO:0007611","learning or memory","2/128","50/12181",0.0969083723122716,0.422577921129178,0.409413600179995,"AMFR/GALR3",2
"GO:0045599","GO:0045599","negative regulation of fat cell differentiation","2/128","50/12181",0.0969083723122716,0.422577921129178,0.409413600179995,"LOC113988350/LOC113994833",2
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","2/128","50/12181",0.0969083723122716,0.422577921129178,0.409413600179995,"IL18/PDGFRB",2
"GO:0040008","GO:0040008","regulation of growth","2/128","51/12181",0.10019618209758,0.422577921129178,0.409413600179995,"DMAP1/E4F1",2
"GO:0001779","GO:0001779","natural killer cell differentiation","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"TOX",1
"GO:0009948","GO:0009948","anterior/posterior axis specification","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"WLS",1
"GO:0019068","GO:0019068","virion assembly","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"UBC",1
"GO:0030431","GO:0030431","sleep","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"IL18",1
"GO:0034341","GO:0034341","response to interferon-gamma","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"CALCOCO2",1
"GO:0036376","GO:0036376","sodium ion export across plasma membrane","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"SLC4A4",1
"GO:0048535","GO:0048535","lymph node development","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"TOX",1
"GO:0048747","GO:0048747","muscle fiber development","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"NEB",1
"GO:0050892","GO:0050892","intestinal absorption","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"LOC114001403",1
"GO:0051276","GO:0051276","chromosome organization","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"GEM",1
"GO:0051660","GO:0051660","establishment of centrosome localization","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"MISP",1
"GO:0060287","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"CFAP53",1
"GO:0070286","GO:0070286","axonemal dynein complex assembly","1/128","10/12181",0.100284740446856,0.422577921129178,0.409413600179995,"DNAAF2",1
