"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","firebrick3","A1CF","A1CF",2,"N","A1CF",-0.105330612895986,0.732002379539754,0.107511256999823,0.726643132518166,0.349434907836635,0.241873763252722
"A2M","darkgreen","A2M","A2M",2,"N","A2M",-0.292706410532587,0.331791290312146,-0.429427333948343,0.143084862371043,-0.479240178313983,0.0975128310729772
"A2ML1","darkgrey","A2ML1","A2ML1",3,"N","A2ML1",0.511262591328624,0.0741477366414334,0.257084893861719,0.396480894599991,-0.123690965503436,0.687250211348297
"A4GNT","darkolivegreen4","A4GNT","A4GNT",3,"N","A4GNT",0.235796723730372,0.438016973826295,0.106019705591305,0.730307612839633,-0.0550410029031247,0.858259446556274
"AAAS","antiquewhite2","AAAS","AAAS",2,"N","AAAS",-0.327816120171375,0.274202017575161,-0.000987960272850141,0.997444249912243,0.380915433973119,0.1991050542483
"AACS","darkolivegreen2","AACS","AACS",3,"N","AACS",-0.0387849670906493,0.899893226934524,0.0883004361964697,0.77422541086398,-0.0161534367045022,0.958229035489149
"AADAT","deeppink","AADAT","AADAT",2,"N","AADAT",-0.180878771872493,0.554274437624263,-0.252884054779236,0.404511172051371,-0.10617441372576,0.729927275555603
"AAGAB","floralwhite","AAGAB","AAGAB",3,"N","AAGAB",0.0389683627575636,0.899422018981378,-0.192208100297827,0.529285456162759,-0.0135146598046148,0.965048511174833
"AAK1","cyan","AAK1","AAK1",2,"N","AAK1",0.048800136122073,0.874208787201936,0.423167437117575,0.149652166947628,0.180898039927738,0.554231523414962
"AAMDC","darkseagreen2","AAMDC","AAMDC",3,"N","AAMDC",0.0458797030457292,0.881687739039875,0.0750356546665199,0.80752000937069,0.290136829174871,0.336249836545507
"AAMP","darkolivegreen4","AAMP","AAMP",3,"N","AAMP",-0.0177872456124711,0.954008015075772,-0.0997449443145603,0.745780608570454,0.143693817287356,0.639544905506855
"AAR2","darkolivegreen2","AAR2","AAR2",3,"N","AAR2",-0.295074496614158,0.327711481152794,0.134219322304407,0.661994978276158,-0.0148649429436651,0.961558630780457
"AARS","darkolivegreen4","AARS","AARS",3,"N","AARS",0.169173939386368,0.580596589196822,-0.0620324475102455,0.840450813910511,0.157594973097128,0.607115308080025
"AARS2","bisque4","AARS2","AARS2",3,"N","AARS2",0.134308120331505,0.661783321918305,-0.231771373150953,0.446103055393752,-0.0214864837635192,0.944455101230079
"AASDH","darkgrey","AASDH","AASDH",2,"N","AASDH",0.258342068084706,0.394093827266746,0.546098163606416,0.0535121176831801,0.00496741462749706,0.987150273727728
"AASDHPPT","deeppink","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.103820626147135,0.735719973771697,-0.271539509911431,0.369488947092728,0.0336791376902909,0.913023518740359
"AASS","mediumpurple2","AASS","AASS",2,"N","AASS",0.39829046222582,0.177676942876412,-0.283576029265329,0.347782119590778,-0.294905827694071,0.328001143476547
"AATF","bisque4","AATF","AATF",3,"N","AATF",-0.253431139726194,0.403460686116684,-0.0515152174206056,0.867264329722475,0.106983728263466,0.727938570562978
"AATK","black","AATK","AATK",2,"N","AATK",0.194970054562794,0.523268932194895,0.523278393741534,0.0664911858936622,0.648535371548125,0.0164958899013067
"ABAT","bisque4","ABAT","ABAT",2,"N","ABAT",0.0356647671155961,0.907914631618083,-0.398248538735823,0.177726797456354,0.160282801197362,0.600918380211876
"ABCA1","plum","ABCA1","ABCA1",3,"N","ABCA1",-0.276285923647349,0.360844809276437,0.00511713803416814,0.986762998652651,0.329218502245598,0.272032041180742
"ABCA12","bisque4","ABCA12","ABCA12",2,"N","ABCA12",0.562820566411354,0.0452266531146507,0.474191686788372,0.101606398828073,0.506977766823639,0.0770209240436574
"ABCA13","black","ABCA13","ABCA13",3,"N","ABCA13",-0.433674379322027,0.138738645415954,-0.091988038213335,0.765029901551619,0.439141116327406,0.133273471362791
"ABCA2","black","ABCA2","ABCA2",2,"N","ABCA2",0.189659872691666,0.534862953365956,0.574569238017077,0.0399870295706879,0.599621335366035,0.0303024806250021
"ABCA3","black","ABCA3","ABCA3",2,"N","ABCA3",0.10944603102457,0.721897707805278,0.216918214336918,0.476557493709339,0.122206727723815,0.69083542246205
"ABCA4","darkgrey","ABCA4","ABCA4",2,"N","ABCA4",0.126250143678751,0.681082609900646,0.112259052449285,0.715014556640701,-0.110074859586203,0.720357340418218
"ABCA5","bisque4","ABCA5","ABCA5",2,"N","ABCA5",-0.000432219394524015,0.998881892224205,0.133773550938049,0.663057854858734,0.477819126309916,0.0986534968908465
"ABCA7","bisque4","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",-0.043986622462684,0.886540605196018,0.136064699493323,0.657601164070942,0.510997214048051,0.0743234772114162
"ABCB10","darkgrey","ABCB10","ABCB10",3,"N","ABCB10",0.352560298698369,0.237399332374776,0.200816124661609,0.510634205674053,0.0853973927262775,0.781483711273094
"ABCB11","darkgrey","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",0.410748688604908,0.163254935564147,0.169055041218857,0.580866516444267,-0.357696801683403,0.230155163979264
"ABCB5","bisque4","ABCB1","ABCB1",2,"N","ABCB5/ABCB1",0.469857542633674,0.105212735097526,-0.150424139996128,0.623765870797453,-0.207567524400199,0.496215167459857
"ABCB6","bisque4","ABCB6","ABCB6",3,"N","ABCB6",0.348423325780041,0.243332775582794,0.11090803978387,0.718317893383336,-0.116998504200543,0.703462621988616
"ABCB7","darkolivegreen2","ABCB7","ABCB7",2,"N","ABCB7",0.145468544777161,0.63537020738952,0.321902954842156,0.283462558014892,-0.0334598355112819,0.913587960174518
"ABCB8","darkolivegreen4","ABCB8","ABCB8",2,"N","ABCB8",-0.1396789440517,0.64902509001821,-0.389062881313489,0.188865406320394,-0.412859052169279,0.160889170675406
"ABCB9","bisque4","ABCB9","ABCB9",2,"N","ABCB9",0.295380896343932,0.327185651356831,0.212634840543442,0.485516646327208,0.346581917498924,0.246002198354836
"ABCC10","bisque4","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.422283407222479,0.150595168549361,0.42395375551858,0.14881663833561,0.523154474654642,0.0665671819003739
"ABCC2","orangered3","ABCC2","ABCC2",2,"N","ABCC2",0.350156532670181,0.240836183652813,0.0137938627200874,0.96432684711204,-0.530140463431574,0.0623774950043472
"ABCC3","deeppink","ABCC3","ABCC3",2,"N","ABCC3",-0.0447020529759293,0.88470617957574,-0.185423423886136,0.544191286602146,-0.624381518623924,0.0225413950337499
"ABCC4","darkolivegreen2","ABCC4","ABCC4",3,"N","ABCC4",-0.534146263375283,0.060061006630624,-0.218491689072745,0.473286000845989,-0.107359337305204,0.727016129166064
"ABCC5","cyan","ABCC5","ABCC5",2,"N","ABCC5",-0.185141537693702,0.544814423509581,0.386847154015279,0.19161653163003,0.27847882288759,0.356888133376191
"ABCC8","darkolivegreen2","ABCC8","ABCC8",2,"N","ABCC8",-0.355976968333175,0.232565543267826,0.218854515078978,0.472533134405919,-0.230711835392443,0.448243455938378
"ABCC9","bisque4","ABCC9","ABCC9",1,"N","ABCC9",0.289910871306868,0.336643471585895,0.0733572044357238,0.811755454549828,-0.092595592228724,0.763517571555005
"ABCD2","darkgreen","ABCD2","ABCD2",3,"N","ABCD2",-0.0134358240248975,0.965252284814391,0.42376171593614,0.149020414695231,0.202865111108742,0.506238461834814
"ABCD3","deeppink","ABCD3","ABCD3",3,"N","ABCD3",0.0611697944744749,0.842644555126289,-0.128903206534799,0.674707963040835,-0.180007732297724,0.556215886586067
"ABCD4","darkgrey","ABCD4","ABCD4",2,"N","ABCD4",0.369182345807111,0.214448909847033,0.369790564085067,0.213636128473588,0.0787774145493234,0.798095476037922
"ABCE1","deeppink","ABCE1","ABCE1",3,"N","ABCE1",-0.276759841822841,0.359987725639322,-0.150219995711336,0.624242355338775,-0.335635188964232,0.262231964735017
"ABCF2","bisque4","ABCF2","ABCF2",3,"N","ABCF2",0.193805068600224,0.525803019200547,0.0436758756239729,0.887337549597212,0.0591641038817048,0.847749078786512
"ABCF3","bisque4","ABCF3","ABCF3",3,"N","ABCF3",0.134742402276611,0.660748513779842,0.340286339699024,0.255260700483413,-0.155652248728236,0.611609492830636
"ABCG1","coral1","ABCG1","ABCG1",1,"N","ABCG1",0.371421149329922,0.211466517508242,0.623996430723752,0.0226494306334353,0.591638807769277,0.0331776641529731
"ABCG2","deeppink","ABCG2","ABCG2",3,"N","ABCG2",-0.323679879593008,0.280660928733175,-0.347026864416731,0.245355572968078,-0.60954740176148,0.0269873002635235
"ABCG4","black","ABCG4","ABCG4",2,"N","ABCG4",-0.122013683154756,0.691302164510849,0.337221996797376,0.25984110427894,0.24921904806218,0.411584522393797
"ABHD10","navajowhite","ABHD10","ABHD10",3,"N","ABHD10",0.0666102510197608,0.828827470139565,-0.262739379003822,0.385803241873741,-0.392958825737768,0.184088756752037
"ABHD11","saddlebrown","ABHD11","ABHD11",2,"N","ABHD11",0.295357008980152,0.327226628948144,-0.185381909250583,0.544283039702083,0.258959176729639,0.392924818721079
"ABHD12","skyblue2","ABHD12","ABHD12",3,"N","ABHD12",0.451831686234206,0.121140906976849,0.458144410043211,0.11539051256212,0.329320843963448,0.271874077617968
"ABHD12B","darkolivegreen4","ABHD12","ABHD12",3,"N","ABHD12B/ABHD12",0.232970813746312,0.443686059907109,0.154093319360503,0.615224912336331,-0.473784669220544,0.101941437935516
"ABHD13","darkolivegreen2","ABHD13","ABHD13",3,"N","ABHD13",-0.361214895443537,0.225272005298033,0.0774804800212835,0.801359334443258,0.615483988059443,0.0251369367886803
"ABHD14A","darkolivegreen4","ABHD14A","ABHD14A",3,"N","ABHD14A",0.0603034470849557,0.844848743856388,-0.234379008631058,0.440856596419754,-0.13419702393817,0.662048131636656
