"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043044","GO:0043044","ATP-dependent chromatin remodeling","2/27","36/12240",0.00281879631144815,0.145814561205215,0.112123178828945,"MBD3/SMARCA5",2
"GO:1990830","GO:1990830","cellular response to leukemia inhibitory factor","2/27","77/12240",0.0123844773301495,0.145814561205215,0.112123178828945,"SMARCA5/SPRY2",2
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","1/27","10/12240",0.0218490947028422,0.145814561205215,0.112123178828945,"SRP14",1
"GO:0030518","GO:0030518","intracellular steroid hormone receptor signaling pathway","1/27","10/12240",0.0218490947028422,0.145814561205215,0.112123178828945,"PGR",1
"GO:0106074","GO:0106074","aminoacyl-tRNA metabolism involved in translational fidelity","1/27","10/12240",0.0218490947028422,0.145814561205215,0.112123178828945,"DTD1",1
"GO:0002031","GO:0002031","G protein-coupled receptor internalization","1/27","11/12240",0.0240085447799501,0.145814561205215,0.112123178828945,"SAG",1
"GO:0042474","GO:0042474","middle ear morphogenesis","1/27","11/12240",0.0240085447799501,0.145814561205215,0.112123178828945,"TSHZ1",1
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","1/27","11/12240",0.0240085447799501,0.145814561205215,0.112123178828945,"PGR",1
"GO:0070914","GO:0070914","UV-damage excision repair","1/27","11/12240",0.0240085447799501,0.145814561205215,0.112123178828945,"DDB2",1
"GO:0098974","GO:0098974","postsynaptic actin cytoskeleton organization","1/27","11/12240",0.0240085447799501,0.145814561205215,0.112123178828945,"LOC113998505",1
"GO:2000785","GO:2000785","regulation of autophagosome assembly","1/27","11/12240",0.0240085447799501,0.145814561205215,0.112123178828945,"IFT88",1
"GO:0050709","GO:0050709","negative regulation of protein secretion","1/27","12/12240",0.0261634036638279,0.145814561205215,0.112123178828945,"ERP29",1
"GO:1901381","GO:1901381","positive regulation of potassium ion transmembrane transport","1/27","12/12240",0.0261634036638279,0.145814561205215,0.112123178828945,"LOC113998505",1
"GO:0010628","GO:0010628","positive regulation of gene expression","3/27","299/12240",0.027376327236739,0.145814561205215,0.112123178828945,"ERP29/LOC113998505/SPRY2",3
"GO:0035518","GO:0035518","histone H2A monoubiquitination","1/27","13/12240",0.0283136807411158,0.145814561205215,0.112123178828945,"DDB2",1
"GO:0040037","GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway","1/27","13/12240",0.0283136807411158,0.145814561205215,0.112123178828945,"SPRY2",1
"GO:0045047","GO:0045047","protein targeting to ER","1/27","13/12240",0.0283136807411158,0.145814561205215,0.112123178828945,"SRP14",1
"GO:0051290","GO:0051290","protein heterotetramerization","1/27","13/12240",0.0283136807411158,0.145814561205215,0.112123178828945,"NUDT21",1
"GO:0098789","GO:0098789","pre-mRNA cleavage required for polyadenylation","1/27","13/12240",0.0283136807411158,0.145814561205215,0.112123178828945,"NUDT21",1
"GO:0006352","GO:0006352","DNA-templated transcription, initiation","1/27","14/12240",0.0304593853800287,0.145814561205215,0.112123178828945,"SMARCA5",1
