"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007275","GO:0007275","multicellular organism development","11/149","303/12240",0.00119032664395287,0.536634732055525,0.536634732055525,"CDH8/DGKD/EPHA5/ERBB4/ERMARD/NELFA/PAQR5/STRBP/TDRD9/VIRMA/WIF1",11
"GO:0071392","GO:0071392","cellular response to estradiol stimulus","3/149","31/12240",0.00619109899119828,0.536634732055525,0.536634732055525,"ESR2/NCOA3/NRIP1",3
"GO:0030518","GO:0030518","intracellular steroid hormone receptor signaling pathway","2/149","10/12240",0.00621287304724295,0.536634732055525,0.536634732055525,"ESR2/NR3C1",2
"GO:2000010","GO:2000010","positive regulation of protein localization to cell surface","2/149","11/12240",0.00753316824181061,0.536634732055525,0.536634732055525,"ERBB4/MAP1A",2
"GO:0042472","GO:0042472","inner ear morphogenesis","3/149","36/12240",0.00940904431673824,0.536634732055525,0.536634732055525,"ALDH1A3/GBX2/PRRX1",3
"GO:0018105","GO:0018105","peptidyl-serine phosphorylation","6/149","148/12240",0.00943063490122688,0.536634732055525,0.536634732055525,"CAB39/CAMK1D/MAPK14/MAPKAPK5/SGK2/WNK1",6
"GO:0032793","GO:0032793","positive regulation of CREB transcription factor activity","2/149","14/12240",0.01216975089387,0.536634732055525,0.536634732055525,"CAMK1D/EPHA5",2
"GO:0002028","GO:0002028","regulation of sodium ion transport","2/149","15/12240",0.0139308671700776,0.536634732055525,0.536634732055525,"LOC113983777/WNK1",2
"GO:0050773","GO:0050773","regulation of dendrite development","2/149","15/12240",0.0139308671700776,0.536634732055525,0.536634732055525,"CAMK1D/CSMD3",2
"GO:0001755","GO:0001755","neural crest cell migration","3/149","45/12240",0.0172754935411082,0.536634732055525,0.536634732055525,"ERBB4/GBX2/SEMA5B",3
"GO:0045089","GO:0045089","positive regulation of innate immune response","2/149","17/12240",0.0177596779269459,0.536634732055525,0.536634732055525,"POLR3B/POLR3G",2
"GO:0060045","GO:0060045","positive regulation of cardiac muscle cell proliferation","2/149","18/12240",0.0198219506220716,0.536634732055525,0.536634732055525,"ERBB4/MAPK14",2
"GO:0097190","GO:0097190","apoptotic signaling pathway","3/149","48/12240",0.0205101610949917,0.536634732055525,0.536634732055525,"CASP2/CASP8AP2/FASTKD3",3
"GO:0060964","GO:0060964","regulation of gene silencing by miRNA","3/149","51/12240",0.0240549716343005,0.536634732055525,0.536634732055525,"LOC114003727/NUP43/NUP50",3
"GO:0000289","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","2/149","20/12240",0.0242290504880908,0.536634732055525,0.536634732055525,"PNLDC1/TUT7",2
