"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070528","GO:0070528","protein kinase C signaling","2/58","10/12240",0.000969136377829537,0.233278600576828,0.219043903125854,"LOC113994699/PLEK",2
"GO:0033540","GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase","2/58","13/12240",0.00166455404757178,0.233278600576828,0.219043903125854,"EHHADH/HSD17B4",2
"GO:0032703","GO:0032703","negative regulation of interleukin-2 production","2/58","21/12240",0.00437378456047543,0.233278600576828,0.219043903125854,"CD34/LOC113986241",2
"GO:0043392","GO:0043392","negative regulation of DNA binding","2/58","21/12240",0.00437378456047543,0.233278600576828,0.219043903125854,"JUN/NFKBIA",2
"GO:0006958","GO:0006958","complement activation, classical pathway","2/58","24/12240",0.00569629388959303,0.233278600576828,0.219043903125854,"LOC113984271/LOC113986241",2
"GO:0034080","GO:0034080","CENP-A containing nucleosome assembly","2/58","28/12240",0.00770740477346716,0.233278600576828,0.219043903125854,"CENPT/HJURP",2
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","3/58","87/12240",0.00807625906054187,0.233278600576828,0.219043903125854,"EIF4EBP1/MCM2/PLK2",3
"GO:0051591","GO:0051591","response to cAMP","2/58","29/12240",0.00825328345679495,0.233278600576828,0.219043903125854,"DUSP1/JUN",2
"GO:0046627","GO:0046627","negative regulation of insulin receptor signaling pathway","2/58","33/12240",0.0106041650564888,0.233278600576828,0.219043903125854,"PRKCQ/SOCS1",2
"GO:0045746","GO:0045746","negative regulation of Notch signaling pathway","2/58","37/12240",0.0132149541299108,0.233278600576828,0.219043903125854,"NFKBIA/TCIM",2
"GO:0035735","GO:0035735","intraciliary transport involved in cilium assembly","2/58","40/12240",0.0153374206831369,0.233278600576828,0.219043903125854,"HSPB11/TTC26",2
"GO:0051384","GO:0051384","response to glucocorticoid","2/58","40/12240",0.0153374206831369,0.233278600576828,0.219043903125854,"DUSP1/TPH2",2
"GO:0006635","GO:0006635","fatty acid beta-oxidation","2/58","43/12240",0.0175960733833591,0.233278600576828,0.219043903125854,"EHHADH/HSD17B4",2
"GO:0010508","GO:0010508","positive regulation of autophagy","2/58","44/12240",0.0183785030700536,0.233278600576828,0.219043903125854,"ORMDL3/PLK2",2
"GO:0002931","GO:0002931","response to ischemia","2/58","45/12240",0.0191754525873272,0.233278600576828,0.219043903125854,"EIF4EBP1/SQSTM1",2
"GO:0042542","GO:0042542","response to hydrogen peroxide","2/58","45/12240",0.0191754525873272,0.233278600576828,0.219043903125854,"DUSP1/JUN",2
"GO:0035556","GO:0035556","intracellular signal transduction","5/58","329/12240",0.0195034019449394,0.233278600576828,0.219043903125854,"CARHSP1/DUSP1/PRKCQ/SOCS1/SQSTM1",5
"GO:0051592","GO:0051592","response to calcium ion","2/58","46/12240",0.0199867717914688,0.233278600576828,0.219043903125854,"DUSP1/TPH2",2
"GO:0046854","GO:0046854","phosphatidylinositol phosphorylation","2/58","50/12240",0.0233727793487246,0.233278600576828,0.219043903125854,"IP6K2/SOCS1",2
"GO:0006364","GO:0006364","rRNA processing","3/58","135/12240",0.0260607072633858,0.233278600576828,0.219043903125854,"DCAF13/MRM2/RPF1",3
"GO:0043066","GO:0043066","negative regulation of apoptotic process","5/58","368/12240",0.0298297590447434,0.233278600576828,0.219043903125854,"DUSP1/NFKBIA/PLK2/SQSTM1/TCIM",5
"GO:0007224","GO:0007224","smoothened signaling pathway","2/58","58/12240",0.0307902049393595,0.233278600576828,0.219043903125854,"HHAT/TTC26",2
"GO:0007623","GO:0007623","circadian rhythm","2/58","64/12240",0.0368827493777299,0.233278600576828,0.219043903125854,"JUN/TPH2",2
"GO:0007265","GO:0007265","Ras protein signal transduction","2/58","65/12240",0.0379399295192417,0.233278600576828,0.219043903125854,"JUN/PLK2",2
"GO:0030154","GO:0030154","cell differentiation","5/58","394/12240",0.0383435215405214,0.233278600576828,0.219043903125854,"GTSF1/HSPB11/LOC113989862/MGP/SQSTM1",5
"GO:0006625","GO:0006625","protein targeting to peroxisome","2/58","67/12240",0.0400889001025934,0.233278600576828,0.219043903125854,"EHHADH/HSD17B4",2
"GO:0046718","GO:0046718","viral entry into host cell","2/58","70/12240",0.0433969560925692,0.233278600576828,0.219043903125854,"LOC113986241/LOC113998479",2
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","1/58","10/12240",0.0464045555655391,0.233278600576828,0.219043903125854,"MCM2",1
"GO:0001706","GO:0001706","endoderm formation","1/58","10/12240",0.0464045555655391,0.233278600576828,0.219043903125854,"DUSP1",1
"GO:0001886","GO:0001886","endothelial cell morphogenesis","1/58","10/12240",0.0464045555655391,0.233278600576828,0.219043903125854,"COL22A1",1
"GO:0003094","GO:0003094","glomerular filtration","1/58","10/12240",0.0464045555655391,0.233278600576828,0.219043903125854,"CD34",1
"GO:0006590","GO:0006590","thyroid hormone generation","1/58","10/12240",0.0464045555655391,0.233278600576828,0.219043903125854,"DIO2",1
