"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001525","GO:0001525","angiogenesis","25/490","205/12555",4.18606408176639e-07,0.000637956166061198,0.00059045535469126,"ACVR1/ANXA2/APOLD1/ARHGAP22/CCN2/EGF/ENG/FGF1/FOXC1/HSPG2/ID1/JUN/LOC113990968/LOC114000824/LOC114001403/LOC114001849/MAPK14/MMP2/NRCAM/PLXND1/PROK2/ROBO4/SCG2/TGFBI/THY1",25
"GO:0001975","GO:0001975","response to amphetamine","8/490","24/12555",2.15231555782506e-06,0.00164006445506269,0.00151794886709767,"ASIC3/DBH/PPP1R9B/RGS10/RGS2/RGS4/SLC18A2/TH",8
"GO:0007268","GO:0007268","chemical synaptic transmission","22/490","188/12555",4.12785832802217e-06,0.00209695203063526,0.001940817599842,"AKAP5/CACNA1E/CHRNA3/CPLX1/CRH/DBH/FGF12/GAD2/HTR1E/HTR4/LOC113983406/LOC113990721/NPY/PLP1/PMP22/SLC18A2/SLC6A2/SNCA/SNCG/SV2B/SYN2/SYT1",22
"GO:0044267","GO:0044267","cellular protein metabolic process","20/490","165/12555",6.60985530535349e-06,0.00251835487133968,0.00233084371294044,"ADORA2B/ANO8/B2M/CHGB/CTSH/FURIN/HSPG2/LAMB2/LGALS1/LOC113986369/LOC114003910/LYZ/MMP2/SCG2/SCG3/SFTPB/SFTPC/SNCA/SNCAIP/TGFBI",20
"GO:0009749","GO:0009749","response to glucose","10/490","51/12555",2.26188477168343e-05,0.0068942247840911,0.00638089598748589,"ACVR1C/ADIPOQ/CCN2/FKBP1B/GJA1/LOC113992227/LPL/SARM1/SREBF1/TXNIP",10
"GO:0010628","GO:0010628","positive regulation of gene expression","27/490","310/12555",8.25686511473766e-05,0.0189664797378124,0.0175542774199949,"CCN2/CITED2/CRH/CTSH/EGF/FGF1/GATA5/GJA1/ID1/IL34/LOC113992691/LOC114001703/LRRC32/MAPK14/MYC/NOS1AP/NR5A1/OSR1/OSR2/PDE2A/PLP1/SLC26A9/SLC6A4/STAR/STAT3/TWIST1/ZNF804A",27
"GO:0051412","GO:0051412","response to corticosterone","5/490","13/12555",8.80161279816518e-05,0.0189664797378124,0.0175542774199949,"CRH/LOC113992757/NEFL/STAR/TH",5
"GO:0009617","GO:0009617","response to bacterium","9/490","49/12555",9.95615734268368e-05,0.0189664797378124,0.0175542774199949,"ADIPOQ/CCDC80/CLPS/DGKB/FKBP5/LOC114003559/LPL/RGS1/VIL1",9
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","9/490","55/12555",0.000250362307418549,0.0399248758573882,0.0369521575140905,"ATP7A/DLX5/FGF1/ID1/MYC/NR4A3/OSR1/OSR2/TWIST1",9
"GO:0010977","GO:0010977","negative regulation of neuron projection development","9/490","56/12555",0.000288171676136004,0.0399248758573882,0.0369521575140905,"B2M/INPP5J/LGALS1/LOC114000824/NR2F1/PRAG1/RTN4RL2/STMN2/VIM",9
"GO:0071300","GO:0071300","cellular response to retinoic acid","9/490","56/12555",0.000288171676136004,0.0399248758573882,0.0369521575140905,"FZD7/LOC113983912/LOC114001403/OSR1/PTK7/RET/SERPINF1/SLC6A4/WNT2B",9
"GO:0021954","GO:0021954","central nervous system neuron development","5/490","17/12555",0.000371679881147094,0.0472033449056809,0.0436886877839566,"AGBL4/ATP7A/BTG2/LOC114001403/NPY",5
