"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","brown","A1CF","A1CF",2,"N","A1CF",0.341267929738,0.195805004301224,-0.0858087508299123,0.752020923018774,-0.102058676509645,0.706839498012882
"A2M","black","A2M","A2M",2,"N","A2M",0.0852790973967193,0.753507230332332,-0.212710946928349,0.428978718894798,-0.325601456714807,0.218458143066154
"A2ML1","black","A2ML1","A2ML1",3,"N","A2ML1",0.0917756562318144,0.735334166426229,-0.450433016391919,0.0799695192125754,-0.30379718991593,0.25266032551354
"A4GNT","blue","A4GNT","A4GNT",3,"N","A4GNT",0.338862951705754,0.199178873188613,0.202495026344176,0.451978405482254,-0.301758628293544,0.256017921032496
"AAAS","blue","AAAS","AAAS",2,"N","AAAS",-0.0773780659115892,0.77577279708339,0.047657185667564,0.860872409221725,0.33352892705962,0.206795674351492
"AACS","black","AACS","AACS",3,"N","AACS",-0.00204447197324949,0.994004396473626,-0.205330087277048,0.445534471985897,-0.124144192504754,0.646898811449349
"AADAC","black","AADAC","AADAC",2,"N","AADAC",0.323339159978785,0.221861638554713,-0.328849050092682,0.213630852502325,-0.419488178353252,0.105774138173693
"AADAT","brown","AADAT","AADAT",2,"N","AADAT",0.197461527403604,0.463533486530553,0.0613665695110126,0.821383156226298,0.0798437694167807,0.768805854598757
"AAGAB","blue","AAGAB","AAGAB",3,"N","AAGAB",-0.58578885661072,0.0171084486793364,-0.476153280168732,0.0622578941020874,0.0297736540343696,0.912839868633739
"AAK1","midnightblue","AAK1","AAK1",2,"N","AAK1",0.25881001991184,0.333098441679579,-0.259755749061043,0.331271704046574,-0.389812484246763,0.135553624252049
"AAMDC","grey60","AAMDC","AAMDC",3,"N","AAMDC",0.44163966044837,0.0867835489859487,0.193117465320558,0.473621960254514,-0.290394718516986,0.275236366545925
"AAMP","blue","AAMP","AAMP",3,"N","AAMP",-0.259388488676265,0.331980407041531,-0.179082895775906,0.506932372480871,0.092704751223813,0.732745655887166
"AAR2","blue","AAR2","AAR2",3,"N","AAR2",-0.00864154031598039,0.974661454857665,-0.304434743073461,0.251615869190783,-0.405253938935214,0.119418623426035
"AARS","blue","AARS","AARS",3,"N","AARS",0.160167871963296,0.553483593211343,-0.0239441594509075,0.929861393613851,-0.317316541226022,0.231085856557276
"AARS2","green","AARS2","AARS2",3,"N","AARS2",-0.0641498966356155,0.813411754825563,-0.0445126097578083,0.869977311592771,-0.12326479150594,0.649249842692267
"AASDH","turquoise","AASDH","AASDH",2,"N","AASDH",0.370612829150657,0.157620740849849,0.527989524175839,0.0355353792849395,0.141839844470455,0.600279606347804
"AASDHPPT","turquoise","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",0.139233598125637,0.607060535827167,0.20129178844322,0.454727361540855,0.234924557032759,0.381126295840802
"AASS","black","AASS","AASS",2,"N","AASS",0.563020120106161,0.0231609245385627,0.0203479472765787,0.940376643087832,-0.385667738265908,0.140126826098408
"AATF","brown","AATF","AATF",3,"N","AATF",0.136991730829895,0.61291758557439,0.119021168563433,0.660638280507475,0.302285688530118,0.255147206700152
"AATK","blue","AATK","AATK",2,"N","AATK",-0.0369708520926004,0.891874426968451,0.0091166832860975,0.973268701572521,0.248359565703409,0.353666238798377
"ABAT","brown","ABAT","ABAT",2,"N","ABAT",0.0292667727652133,0.914318601739295,-0.213442145078074,0.427356107323441,-0.155558714688071,0.565101093272656
"ABCA1","black","ABCA1","ABCA1",3,"N","ABCA1",0.410194792584384,0.114551048454344,-0.248452363411503,0.353480532093383,-0.597819763465623,0.0144519195602098
"ABCA12","turquoise","ABCA12","ABCA12",2,"N","ABCA12",-0.112235652577429,0.678993330855729,0.546229948829926,0.0285899700905909,0.4970114933551,0.0501588514388539
"ABCA13","turquoise","ABCA13","ABCA13",3,"N","ABCA13",0.3898053234783,0.135561435865454,0.207527702882566,0.440571612748748,0.177320934639815,0.511189928074153
"ABCA2","brown","ABCA2","ABCA2",2,"N","ABCA2",-0.255384489968408,0.339763245849704,-0.164099155725887,0.543657693609033,0.279213716456822,0.294974406703601
"ABCA3","brown","ABCA3","ABCA3",2,"N","ABCA3",-0.0854365343784466,0.753065347509906,-0.320682976231674,0.225900509071486,-0.102887749853977,0.704557364837261
"ABCA4","turquoise","ABCA4","ABCA4",2,"N","ABCA4",0.227138959299785,0.39755514860741,0.423733924925714,0.101926274858526,0.544928943465152,0.0290479347438636
"ABCA5","brown","ABCA5","ABCA5",2,"N","ABCA5",-0.158493867459448,0.557690922830406,-0.144311157668029,0.593878029705648,0.152524020281078,0.572806433303982
"ABCA7","brown","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",0.0206867853288118,0.939385468025721,-0.182726649680388,0.498180558458687,0.0917786245586576,0.735325892233201
"ABCB10","turquoise","ABCB10","ABCB10",3,"N","ABCB10",0.130841425047798,0.629098021971322,0.583408206644862,0.0176763624720721,-0.000215836589623857,0.999367033966552
"ABCB11","black","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",0.477692379534127,0.0612983504319006,-0.185746119758032,0.490982735434903,-0.312173892137415,0.239150867339854
"ABCB5","brown","ABCB1","ABCB1",2,"N","ABCB5/ABCB1",0.174195030103227,0.518783842689595,-0.103179558079774,0.703754684988705,0.129510995834163,0.632619390522661
"ABCB6","brown","ABCB6","ABCB6",3,"N","ABCB6",0.178856940664068,0.50747743748698,-0.478613024864352,0.0607295961981648,-0.16514627558464,0.54105358492795
"ABCB7","turquoise","ABCB7","ABCB7",2,"N","ABCB7",0.255817837910227,0.338915947284952,0.633632274561312,0.00840372530875851,0.140408195548612,0.604000706589178
"ABCB8","blue","ABCB8","ABCB8",2,"N","ABCB8",-0.396982663136638,0.12788581148087,-0.469940866351517,0.0662432467724707,-0.0815093331373931,0.764109072026049
"ABCB9","brown","ABCB9","ABCB9",2,"N","ABCB9",0.120143655759901,0.657618987946261,-0.392335964463728,0.132819963836962,-0.295919785908232,0.265786244899093
"ABCC10","turquoise","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.02294159531279,0.932791847442097,-0.0480935706163571,0.859610158318372,-0.0156359628657784,0.954168119557345
"ABCC2","black","ABCC2","ABCC2",2,"N","ABCC2",0.402562998474996,0.122129262672281,-0.236281381276766,0.378301634381859,-0.227683440726592,0.396394049332873
"ABCC3","brown","ABCC3","ABCC3",2,"N","ABCC3",-0.0899512417724027,0.7404248401894,-0.349239388621218,0.184889035331638,-0.147485435766496,0.585696536579141
"ABCC4","turquoise","ABCC4","ABCC4",3,"N","ABCC4",0.212285498223281,0.429924299334723,0.240975531866555,0.368618040918543,0.183465954246892,0.49641360773668
"ABCC5","black","ABCC5","ABCC5",2,"N","ABCC5",0.354796346829335,0.177520715842991,0.122989811839478,0.649985624659138,-0.497436118903315,0.0499322669409309
"ABCC8","turquoise","ABCC8","ABCC8",2,"N","ABCC8",0.3169617076167,0.231636744685259,0.109624301725893,0.686103095221734,-0.00559558599474888,0.98359131588467
"ABCC9","black","ABCC9","ABCC9",1,"N","ABCC9",0.111477537867865,0.681054821738741,-0.412605541620595,0.112227077225786,-0.158757720059529,0.557026857111032
"ABCD2","black","ABCD2","ABCD2",3,"N","ABCD2",0.468041826793468,0.067497878395481,0.186076804514074,0.490197476339992,0.129715370444895,0.632077970078976
"ABCD3","grey60","ABCD3","ABCD3",3,"N","ABCD3",0.443609329340906,0.08522235384094,0.170408055828292,0.528052448159695,0.256778303161181,0.337042305449957
"ABCD4","blue","ABCD4","ABCD4",2,"N","ABCD4",0.409101760572537,0.115615726195843,0.359239262040256,0.171771182156694,0.216125806295488,0.421428062630816
"ABCE1","turquoise","ABCE1","ABCE1",3,"N","ABCE1",0.351001505396569,0.182531149938742,0.423156954258432,0.102443282112522,-0.114857753883046,0.671879733109463
"ABCF2","green","ABCF2","ABCF2",3,"N","ABCF2",-0.412541803117247,0.112288093309088,-0.0967954063547491,0.721381274682113,-0.251099879000454,0.348205416354558
"ABCF3","blue","ABCF3","ABCF3",3,"N","ABCF3",-0.456187631178307,0.0757244832072652,-0.661270705117326,0.00527959167655942,-0.37267032241085,0.15514740590185
"ABCG1","pink","ABCG1","ABCG1",1,"N","ABCG1",-0.418460350283532,0.106720801367436,-0.520690663458824,0.0386458455999435,-0.16063657629998,0.552308064331087
"ABCG2","turquoise","ABCG2","ABCG2",3,"N","ABCG2",0.292385652952279,0.271807898284516,0.145797036985348,0.590042490987191,-0.204272763601289,0.447932253367657
"ABCG4","pink","ABCG4","ABCG4",2,"N","ABCG4",-0.233005155476362,0.385141704715938,-0.538358107436258,0.0314469986867329,-0.371345236764371,0.15673728690186
"ABCG5","black","ABCG5","ABCG5",3,"N","ABCG5",0.452954445798817,0.0780889289778793,-0.307506367814469,0.246621377495043,-0.425732963356337,0.100149246893366
"ABHD10","turquoise","ABHD10","ABHD10",3,"N","ABHD10",0.192788775991762,0.474389628905609,-0.219487545535625,0.414063061146297,0.00102337360833219,0.996998843253159
"ABHD11","blue","ABHD11","ABHD11",2,"N","ABHD11",-0.249351963344902,0.351683092514262,-0.0996630233218292,0.713446952849768,0.0891817745065084,0.742574933113759
"ABHD12","turquoise","ABHD12","ABHD12",3,"N","ABHD12",0.267341368030646,0.31682864077605,0.2555700737728,0.339400237744034,0.0527923132838018,0.846039730037802
