"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","MM.black","MM.blue","MM.brown","MM.cyan","MM.green","MM.grey60","MM.midnightblue","MM.pink","MM.salmon","MM.turquoise"
"A1CF","brown","A1CF","A1CF",2,"N","A1CF",0.00218268797027858,0.680718790342541,0.000124007944113356,0.828361700052463,0.000481814129013386,0.00398110358622191,0.101388067408169,0.570455879824587,0.764364746728011,0.448788881632982
"A2M","black","A2M","A2M",2,"N","A2M",0.0657257634983369,0.900756108771882,0.930032890515939,0.329440648447595,0.595966368359936,0.66730785777863,0.128067793563842,0.598629723805043,0.579572219851551,0.975870939490575
"A2ML1","black","A2ML1","A2ML1",3,"N","A2ML1",0.30921660045381,0.732557686694845,0.962021934134661,0.497091815546777,0.65674125527611,0.599914548667061,0.934326753094923,0.42013638870487,0.858958049102152,0.970594516116729
"A4GNT","blue","A4GNT","A4GNT",3,"N","A4GNT",0.444076729428949,0.540114567076937,0.587259853939285,0.476116623691439,0.359130730230795,0.685363533324511,0.845216646518076,0.297204289530565,0.875189394765566,0.850664252495563
"AAAS","blue","AAAS","AAAS",2,"N","AAAS",0.182364725532347,0.00829066900050351,0.719353060104098,0.580726247791786,0.0642519977854484,0.0907278294767463,0.114072149401814,0.553809408875965,0.938976337411666,0.10712478917274
"AACS","black","AACS","AACS",3,"N","AACS",0.254722587960945,0.858468123254031,0.625524123524791,0.13875076437901,0.905912413859034,0.851230452603843,0.192131793412163,0.938535035840167,0.383727601095144,0.817093110688581
"AADAC","black","AADAC","AADAC",2,"N","AADAC",3.18062654017476e-06,0.878543690792894,0.0276423195566221,0.770772750621375,0.00528586758385385,0.0830884359532244,0.260029464919597,0.17446579770328,0.834656561385998,0.314908587916911
"AADAT","brown","AADAT","AADAT",2,"N","AADAT",0.504500232424958,0.791680172435942,2.67450933464723e-08,0.994457505908713,0.0139653342502954,0.00267790153175835,0.365427711932097,0.889802623748759,0.550271092965947,0.547359259389542
"AAGAB","blue","AAGAB","AAGAB",3,"N","AAGAB",0.504378349224082,0.693716241092567,0.860271475120157,0.803087412929644,0.516294620390517,0.709036152941156,0.769893782952404,0.630828308602632,0.560090131820274,0.73998640366821
"AAK1","midnightblue","AAK1","AAK1",2,"N","AAK1",0.513395783258312,0.0423972217938096,0.421702012602016,0.105889591962293,0.370977934795011,0.119086944136523,0.00625594828831065,0.219688195998311,0.814694352676044,0.0815424423966278
"AAMDC","grey60","AAMDC","AAMDC",3,"N","AAMDC",0.413584948682651,0.11190365411484,0.402510152304503,0.988777292113312,0.55242576673222,0.0505074896786653,0.465360000188261,0.310719650011094,0.316737636969248,0.323488075189346
"AAMP","blue","AAMP","AAMP",3,"N","AAMP",0.278863554420275,0.227296112220527,0.470533499478942,0.885449734300914,0.454570157800302,0.60592661242097,0.286955959369114,0.33207432089315,0.187929477326552,0.174902054877568
"AAR2","blue","AAR2","AAR2",3,"N","AAR2",0.624713176920163,0.0574368472346288,0.657101304044675,0.405598792303376,0.409455851147511,0.512197283453423,0.994841165581075,0.413389785131335,0.102928149908179,0.0783588201870938
"AARS","blue","AARS","AARS",3,"N","AARS",0.770536579855297,0.00849125844167247,0.489515391708659,0.181747817605921,0.128908948587993,0.068655330189946,0.0637085757269394,0.713831315162202,0.822948575247271,0.0744537073093855
"AARS2","green","AARS2","AARS2",3,"N","AARS2",0.0447910671347451,0.0893463279060602,0.149008922568714,0.84317272259911,0.0100128431475939,0.0107185713741663,0.00804448721095994,0.827404027536457,0.866714957978772,0.335555191648877
"AASDH","turquoise","AASDH","AASDH",2,"N","AASDH",0.769631274322745,0.0011341970391503,0.985304047302354,0.189856597409175,0.251354756968628,0.0177035707459966,0.0154653748897848,0.00707183889908633,0.117695348980258,0.000150108404826956
"AASDHPPT","turquoise","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",0.501896288434339,0.000333875796670057,0.637870034626055,0.603546856331611,0.100747198375591,0.0416182424849125,0.0475560119186633,0.695717532264712,0.632990041465277,0.0020453054251269
"AASS","black","AASS","AASS",2,"N","AASS",0.000256279320944125,0.532769481185567,0.0125001718820954,0.695353324238375,0.00311128816910715,0.0133159826236121,0.375827086614895,0.71499431876896,0.266218056329257,0.601023728554202
"AATF","brown","AATF","AATF",3,"N","AATF",0.3469406457886,0.0965641093094318,0.180223673820415,0.621624162362178,0.905883575522478,0.923491987540466,0.40345519211317,0.861431675751987,0.597235005806147,0.139801886221392
"AATK","blue","AATK","AATK",2,"N","AATK",0.831506666576504,0.586205763324485,0.601567729484823,0.887705985056966,0.437674768553778,0.988178040082083,0.479751903351635,0.311694479621864,0.0960821181859948,0.437477473740212
"ABAT","brown","ABAT","ABAT",2,"N","ABAT",0.115219016673576,0.742112379024203,5.05524478762981e-09,0.805009396248549,0.0061240808820819,0.0297927420991182,0.404123704767867,0.286075088455195,0.919635657635307,0.124951821750518
"ABCA1","black","ABCA1","ABCA1",3,"N","ABCA1",0.00266208889784769,0.453646974345475,0.221783829922899,0.426394596984171,0.030654823554108,0.14332586067109,0.803110773092967,0.222428400722288,0.245094701064585,0.761862242782614
"ABCA12","turquoise","ABCA12","ABCA12",2,"N","ABCA12",0.538933654594563,0.0399420977181049,0.232474974491801,0.273814820947114,0.613384162782914,0.72859383205201,0.0305164743133861,0.281107154307652,0.323730819300281,0.0160962545669393
"ABCA13","turquoise","ABCA13","ABCA13",3,"N","ABCA13",0.865504337662758,0.0281421015921935,0.48196158362573,0.450940276030328,0.277791611230291,0.149200362319593,0.0756719833641439,0.132025506097858,0.486759111071837,0.0036948876281371
"ABCA2","brown","ABCA2","ABCA2",2,"N","ABCA2",0.240483261437808,0.650096365001702,0.0106174831587718,0.850143232524247,0.0016728483908057,0.0863958745030745,0.0632514892794292,0.359886244009761,0.323933180160123,0.681679193771451
"ABCA3","brown","ABCA3","ABCA3",2,"N","ABCA3",0.484863265977052,0.158141210236104,0.000367097484518367,0.15675576912928,0.242074366010936,0.448606070320917,0.303475651286645,0.0751795633251547,0.645124136417282,0.00621908044711238
"ABCA4","turquoise","ABCA4","ABCA4",2,"N","ABCA4",0.519710688196686,0.0187412751708001,0.748320027530028,0.266178360189921,0.265443830505528,0.133246314426791,0.0242664281063605,0.0336631162069853,0.224603218768606,0.00282951132439423
"ABCA5","brown","ABCA5","ABCA5",2,"N","ABCA5",0.558009016562894,0.810643346921893,0.271254257644793,0.143635733116539,0.375547052937699,0.805901375573387,0.926959531551491,0.923832001360862,0.471791888127278,0.776771974205592
"ABCA7","brown","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",0.0772698409575859,0.0735899015198866,0.126135941217838,0.871885867224868,0.0240697795988572,0.0379987323082376,0.0891536783502924,0.320622537820256,0.705938550707985,0.578122570363851
"ABCB10","turquoise","ABCB10","ABCB10",3,"N","ABCB10",0.0948948993978795,0.213254476815156,0.341917964334809,0.867013709851632,0.267250102721918,0.69908124161423,0.664738062137667,0.0241876078382987,0.367183320457864,0.039086777127384
"ABCB11","black","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",6.38551118806954e-09,0.336384669662479,0.312716610314397,0.730422651774471,0.00562714514077395,0.0758707356130467,0.10017261352541,0.362840185140254,0.858228342512841,0.950739356553385
"ABCB5","brown","ABCB1","ABCB1",2,"N","ABCB5/ABCB1",0.248503755618604,0.460944968576425,3.9176228836394e-06,0.337224829062075,0.00114428963113298,0.000838769554383394,0.438411622265104,0.66555556580503,0.501932558531946,0.732212529035537
"ABCB6","brown","ABCB6","ABCB6",3,"N","ABCB6",0.188797644917454,0.42201594825243,0.0540965986273013,0.10981499740313,0.102437334699459,0.363435975226903,0.49649697899628,0.0732628574148678,0.868374736541382,0.149968048002394
"ABCB7","turquoise","ABCB7","ABCB7",2,"N","ABCB7",0.178638960538961,0.423879442381742,0.867447018422811,0.987641156641663,0.489098939041888,0.469705954612824,0.908044433597938,0.0372217739931281,0.527703583006128,0.322903948442904
"ABCB8","blue","ABCB8","ABCB8",2,"N","ABCB8",0.329142943371267,0.00800648696773422,0.0748997855755241,0.586670568779765,0.523859525203686,0.3496297321188,0.172122525936533,0.00397107684465512,0.270426903001678,6.85343055225864e-05
"ABCB9","brown","ABCB9","ABCB9",2,"N","ABCB9",0.178660525713691,0.320349973489051,0.278661032892889,0.194708039884973,0.157606463232258,0.10517766238539,0.286946630295421,0.343647069918334,0.513484912186251,0.666083437405016
"ABCC10","turquoise","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.818527032391376,0.780193012295849,0.568311376633686,0.0343250136222629,0.702833431744612,0.647131347503733,0.155424377362289,0.385538957891099,0.672810166520674,0.770637040085473
"ABCC2","black","ABCC2","ABCC2",2,"N","ABCC2",2.98649945202449e-05,0.595439445649044,0.011568696824512,0.862028042046342,0.001347745259309,0.0136512513963516,0.129954611434323,0.471636428998332,0.595730578468467,0.56744539183489
"ABCC3","brown","ABCC3","ABCC3",2,"N","ABCC3",0.901051174451315,0.148116771189961,0.0021134375090652,0.729770994219748,0.220152331335705,0.473010979461466,0.649950605554876,0.233274718383008,0.269129402103641,0.0677739893640326
"ABCC4","turquoise","ABCC4","ABCC4",3,"N","ABCC4",0.800509820808749,0.00310786657541966,0.094937564538291,0.27778440481702,0.769556823095126,0.379005704551541,0.271063615369249,0.117679915288768,0.436623099191224,0.000478740037400107
"ABCC5","black","ABCC5","ABCC5",2,"N","ABCC5",0.0176549508988372,0.0228243450074762,0.597801932861315,0.309667661670178,0.0469209956288337,0.0666501824816591,0.293708773088434,0.745265684529478,0.513021310314882,0.274479666244323
"ABCC8","turquoise","ABCC8","ABCC8",2,"N","ABCC8",0.125428896119294,0.0901618873350339,0.254152832399434,0.0731648824082907,0.411085746182612,0.577521004862861,0.709760508581115,0.707535580366696,0.444901241335719,0.236204466903407
"ABCC9","black","ABCC9","ABCC9",1,"N","ABCC9",0.064097062508474,0.178601152353112,0.794560931348163,0.529923983936989,0.831167092970862,0.677033269351225,0.539862486814339,0.107809753429258,0.0269242856316,0.0985723994338198
"ABCD2","black","ABCD2","ABCD2",3,"N","ABCD2",4.88129609279995e-05,0.107908308369285,0.362298569663182,0.258139274953779,0.000732154364061734,0.0323111268450202,0.167234637184806,0.442330782916689,0.902965139485491,0.680036817343199
"ABCD3","grey60","ABCD3","ABCD3",3,"N","ABCD3",0.0194282419723668,0.0435837109878957,0.00277651253444647,0.933603617042104,2.95127264765639e-06,2.17131659874595e-07,0.00432666337209226,0.676740682858057,0.519594997072688,0.351541277766107
"ABCD4","blue","ABCD4","ABCD4",2,"N","ABCD4",0.667575160165481,0.384415954561307,0.636054236290908,0.507140310749191,0.983350798797493,0.919355557444873,0.636313991415043,0.399321057584892,0.959170067297373,0.5170651743822
"ABCE1","turquoise","ABCE1","ABCE1",3,"N","ABCE1",0.488567950538847,0.0325575754223449,0.695781549214819,0.762616545494457,0.850519403691678,0.0796425451286523,0.620126892149927,0.092929660805298,0.159178871228298,0.0575123910489255
"ABCF2","green","ABCF2","ABCF2",3,"N","ABCF2",0.0242550234791548,0.00754980080610596,0.0379842948395451,0.875081215997438,8.89824149955453e-07,1.34940646070035e-05,0.00344793974944359,0.655235202693455,0.284010560703987,0.123939078120759
"ABCF3","blue","ABCF3","ABCF3",3,"N","ABCF3",0.75053428579484,0.000127583542035833,0.708438008787017,0.385823023556715,0.28023790264979,0.0242709514795535,0.059623077593595,0.00734849512964339,0.274004241466842,3.52998286789675e-05
"ABCG1","pink","ABCG1","ABCG1",1,"N","ABCG1",0.604384467538128,0.324039692199807,0.314346408420965,0.974084986041944,0.916447657038817,0.784528453537579,0.58422594023367,0.0330771716761872,0.100567199166569,0.151833353241913
"ABCG2","turquoise","ABCG2","ABCG2",3,"N","ABCG2",0.988582158391571,0.0222007348349798,0.449072670295365,0.362699351092634,0.900647193826182,0.319243839805565,0.520071741532537,0.210856775917792,0.14815005289187,0.0248333399802307
"ABCG4","pink","ABCG4","ABCG4",2,"N","ABCG4",0.079405886188014,0.0495001648587382,0.751234250850998,0.255037286471175,0.986553761875258,0.172307455399134,0.0987489545789769,0.00435240343342628,0.395728180101512,0.00375732644183101
"ABCG5","black","ABCG5","ABCG5",3,"N","ABCG5",1.95977049736588e-09,0.557757943004103,0.486387599833549,0.532651539320288,0.0226281278358458,0.2000105731723,0.185321830255701,0.265639354460699,0.886148112493217,0.749149207231436
"ABHD10","turquoise","ABHD10","ABHD10",3,"N","ABHD10",0.754865051224126,0.441645470160048,0.145061159236103,0.110044363302337,0.280658053999523,0.969161546943816,0.622552807515986,0.708912777464124,0.614271376707145,0.303118848658681
"ABHD11","blue","ABHD11","ABHD11",2,"N","ABHD11",0.0738108172408138,0.0353637293592418,0.221463550108408,0.482267989665138,0.00713109394476581,0.0304950135005923,0.698344576887266,0.49734281765422,0.376009758808976,0.414711763279079
"ABHD12","turquoise","ABHD12","ABHD12",3,"N","ABHD12",0.650498199014679,0.0694526209592525,0.557755603242824,0.859665988953303,0.337610360662366,0.0489134797835461,0.482705338002048,0.297915145175377,0.209873099230145,0.11120973991913
"ABHD12B","blue","ABHD12","ABHD12",3,"N","ABHD12B/ABHD12",0.306827878628598,0.00266805575085699,0.0406934229972474,0.455671210230275,0.55301181159663,0.44816760742188,0.123986846288597,0.007265035356236,0.121273373559862,5.11808164722369e-06
"ABHD13","turquoise","ABHD13","ABHD13",3,"N","ABHD13",0.0293055192983061,0.0735524707089085,0.999680803795506,0.243647144299143,0.0387333912420729,0.0839472499414969,0.00118672989951144,0.406723107826615,0.557934935093608,0.149562530328898
"ABHD14A","blue","ABHD14A","ABHD14A",3,"N","ABHD14A",0.818413043859082,0.00200256207269235,0.695633789829937,0.57954571454807,0.189860406066342,0.012518120535687,0.158956202045563,0.119611208666344,0.354383985896034,0.00405819428252639
"ABHD15","black","ABHD15","ABHD15",2,"N","ABHD15",0.0180629084474555,0.798276612601818,0.95262569204756,0.690149586752282,0.428602706749176,0.877718287278036,0.438834163352403,0.337796372169972,0.561717711631937,0.722098715265559
"ABHD17A","midnightblue","ABHD17A","ABHD17A",3,"N","ABHD17A",0.417768279465999,0.00772375278791003,0.502469095158244,0.0403930703801787,0.033913447537708,0.00710857025614484,1.56621871174604e-06,0.0579103473140993,0.812919444459365,0.0108206752392002
"ABHD17B","turquoise","ABHD17B","ABHD17B",3,"N","ABHD17B",0.852660838187319,0.281314933972682,0.492254731393975,0.00227032926675431,0.845752088991464,0.659050382148546,0.0808012108906152,0.0165489603054296,0.243392345669944,0.0812354504729193
"ABHD17C","brown","ABHD17C","ABHD17C",3,"N","ABHD17C",0.0842239900801341,0.723205338941517,2.29813927131036e-05,0.525350139420036,0.00610945592284076,0.00229422760073424,0.199632393220449,0.521216205105152,0.772880064778308,0.523137800108473
