"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","MM.black","MM.blue","MM.brown","MM.cyan","MM.green","MM.grey60","MM.midnightblue","MM.pink","MM.salmon","MM.turquoise"
"A1CF","brown","A1CF","A1CF",2,"N","A1CF",0.707249258970372,-0.111601060408742,0.814075118846838,0.0589346136839927,-0.770210896896955,0.676835192765126,-0.424336754555181,0.153447924918763,-0.0814185964597218,-0.203895718601139
"A2M","black","A2M","A2M",2,"N","A2M",0.470731798789379,-0.0339193219939469,0.0238854792465822,0.260706723485086,-0.143503781281128,0.116548035108435,-0.396809108878423,0.142475755887909,0.149873530013366,0.00822893916833372
"A2ML1","black","A2ML1","A2ML1",3,"N","A2ML1",0.271420319917993,-0.0927722566904589,0.0129545765928179,0.183182040366795,-0.120470317134303,0.141980487412089,-0.02241658604792,0.216713154404,0.0483190606901054,0.0100290619709211
"A4GNT","blue","A4GNT","A4GNT",3,"N","A4GNT",-0.205974299650553,0.165524405327592,0.146877497714721,-0.192050282968553,0.245641081348899,0.109895509469366,0.0530777438383705,-0.277979031978782,-0.0427149067006739,-0.0511895656785719
"AAAS","blue","AAAS","AAAS",2,"N","AAAS",-0.351126443482642,0.634475486668921,-0.0975275138102977,-0.149422734759709,0.473009573637612,-0.436773931601357,0.410688758914576,-0.160038040165519,-0.020826656921697,-0.418023677001654
"AACS","black","AACS","AACS",3,"N","AACS",0.302543121170556,-0.0484884895015766,-0.132194598413211,-0.386905023807104,0.032149502160384,-0.0509934440837072,-0.343917142042821,-0.0209775324505225,-0.233679862762171,0.0628637710241557
"AADAC","black","AADAC","AADAC",2,"N","AADAC",0.89325072448206,-0.0415588557031936,0.548973443892772,0.0791470697880971,-0.661203336774112,0.446343884755189,-0.299344521234641,0.357144940442976,-0.0567445144745932,-0.268364790258882
"AADAT","brown","AADAT","AADAT",2,"N","AADAT",0.180092518169197,-0.0717691190174526,0.947176762845626,0.0018899615367655,-0.600207598571227,0.697293587576413,-0.242536913650429,-0.0376832561872143,-0.161449784545185,-0.162614549801083
"AAGAB","blue","AAGAB","AAGAB",3,"N","AAGAB",-0.180143173785999,0.106838088191591,0.0478649267242815,0.0677637483579946,0.175217337238052,-0.101261459213722,-0.0794583537544357,0.130187343662338,0.157541720516532,-0.0901082267421823
"AAK1","midnightblue","AAK1","AAK1",2,"N","AAK1",0.17641073586006,0.512454676184793,-0.216001356797892,0.419362480171304,0.239825373783226,-0.405586112034356,0.65148336270613,0.324781269453357,-0.063701661938747,-0.448356724041587
"AAMDC","grey60","AAMDC","AAMDC",3,"N","AAMDC",0.219706857978223,-0.412943800779037,0.224824880476788,-0.0038269695293553,-0.160589626686943,0.496360911688237,-0.196671612012204,-0.270610286734723,-0.267389792941051,0.263819454475053
"AAMP","blue","AAMP","AAMP",3,"N","AAMP",0.288304677746065,0.319772156431104,0.19444247706753,-0.0391807821394452,-0.20136049926124,-0.139668609793966,-0.283700081454692,0.25933985490235,0.3469888241717,-0.356807892263794
"AAR2","blue","AAR2","AAR2",3,"N","AAR2",0.132502055277461,0.484071465221766,0.120336300675087,0.223390100030171,0.221606475012846,-0.176905045857273,0.00175913391271379,0.219796418720494,0.4226177154264,-0.452589910821589
"AARS","blue","AARS","AARS",3,"N","AARS",-0.0792306998973319,0.632985572602865,-0.186364246300557,0.3515902242683,0.396009111751488,-0.466312592421467,0.47385910924718,0.0995238805380173,0.0608206616709928,-0.457955587352575
"AARS2","green","AARS2","AARS2",3,"N","AARS2",-0.507481098063452,0.438460653501273,-0.377874168659917,-0.0537867656190589,0.622507732667198,-0.618070897509534,0.636343595856438,0.0592681011162723,-0.0456387066250627,-0.257542798153053
"AASDH","turquoise","AASDH","AASDH",2,"N","AASDH",-0.0795513384759471,-0.736670539191239,0.00501145902679677,-0.345574679574989,-0.304594386115207,0.583295651691246,-0.593041295354079,-0.644199995012969,-0.406986836059551,0.808499397800101
"AASDHPPT","turquoise","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",0.181175989281814,-0.783094510616624,-0.127532391438003,0.140582619757542,-0.425057528762449,0.514118477337572,-0.501978033541033,-0.106107346572738,0.129371121115998,0.710334451753197
"AASS","black","AASS","AASS",2,"N","AASS",0.791888543907985,-0.16849234630857,0.607814247770122,0.106240280384145,-0.689738484995211,0.603497697370714,-0.237474587596902,0.0991030043037555,-0.295664738033655,-0.141553268595149
"AATF","brown","AATF","AATF",3,"N","AATF",-0.251738005908754,0.429843719179855,0.35274051232968,0.133674610039897,0.0321593970362212,0.0261242682376963,0.224385257192959,-0.0474638711842306,0.143013870517695,-0.385959156801788
"AATK","blue","AATK","AATK",2,"N","AATK",0.0578400038585979,0.147287335936165,0.141343853355858,0.0384044342029723,-0.208816285395171,0.00403132881551762,0.190500019315378,0.270086152204974,0.430404585813378,-0.208904204745573
"ABAT","brown","ABAT","ABAT",2,"N","ABAT",0.409508210868699,0.0893472575388707,0.95854466074146,0.0670902009089872,-0.652730675190978,0.54284609048991,-0.22407460230651,0.284197481907609,0.0274449228942567,-0.399804619154407
"ABCA1","black","ABCA1","ABCA1",3,"N","ABCA1",0.697587431338563,-0.201764245757782,0.323390631569386,0.213876108520713,-0.540484253085196,0.382823031604349,-0.0677555597121005,0.322964584015253,-0.308452980980627,-0.0823070627166839
"ABCA12","turquoise","ABCA12","ABCA12",2,"N","ABCA12",-0.166000357742892,-0.517779405768629,-0.316422812832566,-0.291218382687553,-0.13681350536525,0.0941969966949887,-0.540859850691059,-0.287020093032735,0.263691874404545,0.590188750266324
"ABCA13","turquoise","ABCA13","ABCA13",3,"N","ABCA13",-0.0460567638610691,-0.547517751496908,-0.189560483402905,-0.202950377794512,-0.288920627427187,0.377709708350754,-0.456260243967589,-0.393076020608219,-0.187527745628913,0.68080599902017
"ABCA2","brown","ABCA2","ABCA2",2,"N","ABCA2",0.311334815962534,-0.122948435287602,0.61869202721628,0.0513700586112965,-0.719639157825744,0.442126381548451,-0.474577795926272,0.245267051176165,0.263585561024917,-0.111248078386215
"ABCA3","brown","ABCA3","ABCA3",2,"N","ABCA3",0.188329867673573,0.370182637181051,0.779841241922578,0.371329886084058,-0.310336616884062,0.20397615253455,0.274535750776534,0.45694309428154,0.124808783404976,-0.651829962541002
"ABCA4","turquoise","ABCA4","ABCA4",2,"N","ABCA4",-0.173814956419892,-0.579099769603697,-0.0871288541908683,-0.295688173859156,-0.296122211854594,0.391940062373265,-0.559373215422589,-0.532618938807768,-0.321532836477376,0.69454517747784
"ABCA5","brown","ABCA5","ABCA5",2,"N","ABCA5",-0.15836752768968,0.0651179145664085,0.292708583526965,-0.382549787766873,-0.237609888272729,0.0667777369687221,-0.024937226599988,-0.026007852348408,-0.193902090768874,-0.077024911894438
"ABCA7","brown","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",0.454066368025947,-0.45916987199985,0.398660261421912,0.0438541315405827,-0.560012458227034,0.522171621462662,-0.438697342674055,0.265329716604426,0.102385878533594,0.150440333691934
"ABCB10","turquoise","ABCB10","ABCB10",3,"N","ABCB10",-0.431794660681626,-0.329104223996384,-0.254285229479864,0.0455355549778414,0.295056185637595,0.104880682907331,-0.117499899197483,-0.559628955808023,-0.241676770515664,0.519692234063441
"ABCB11","black","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",0.957114471720311,-0.25711614220877,0.269537614882515,0.0935393731013679,-0.657632627223041,0.455985540723339,-0.425706515380719,0.243808835213844,-0.0485714178757338,-0.0168069932170585
"ABCB5","brown","ABCB1","ABCB1",2,"N","ABCB5/ABCB1",0.30634420603187,-0.198583631397046,0.889879313096356,0.25668460431501,-0.736295676275486,0.749084483652249,-0.208488104398261,0.117196952081867,-0.181160879614652,-0.0928962266566174
"ABCB6","brown","ABCB6","ABCB6",3,"N","ABCB6",0.346350582978293,0.215858794434283,0.489849796000514,0.415144920669296,-0.423163579761547,0.243515524157463,0.183431043164056,0.459632308238051,-0.0450656995763216,-0.377051643786555
"ABCB7","turquoise","ABCB7","ABCB7",2,"N","ABCB7",-0.353943335319051,-0.215013690370926,0.0453859545731273,0.00421442063225482,0.186539840511125,0.194798233559351,-0.0314180773947732,-0.523975075957526,-0.170550045317954,0.264126683729154
"ABCB8","blue","ABCB8","ABCB8",2,"N","ABCB8",0.260861626131641,0.63663597832039,0.457332512600689,0.147106578787969,-0.172117420814032,-0.250382819321112,0.358964958562173,0.676970355732566,0.29319191559493,-0.830291562731988
"ABCB9","brown","ABCB9","ABCB9",2,"N","ABCB9",0.353926919834794,-0.265473776707631,0.288420938977768,0.34205567256178,-0.370624643709891,0.420139123201703,-0.283705344493304,0.253405944635297,-0.176373996808397,0.117001405148845
"ABCC10","turquoise","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",-0.062363153601418,0.0758166377681217,-0.154292246049129,-0.530960527170734,0.103514604185557,-0.124057160592777,-0.372438824987293,-0.232815857279521,0.114514250772776,0.0791951252442453
"ABCC2","black","ABCC2","ABCC2",2,"N","ABCC2",0.850495549009394,-0.143707387474612,0.613021935911086,0.0472577563995002,-0.729260448814053,0.601783678259093,-0.395019615151908,0.193968810892406,-0.143594882936132,-0.15463357963971
"ABCC3","brown","ABCC3","ABCC3",2,"N","ABCC3",0.0338180115822914,0.378642483919175,0.708784077463645,-0.0937736457010064,-0.324472549074396,0.193379252257747,-0.123002896762955,0.315909800312317,0.293951718459183,-0.467627363902276
"ABCC4","turquoise","ABCC4","ABCC4",3,"N","ABCC4",-0.0686676328078202,-0.689794703768739,-0.43174449206472,-0.288924773163415,-0.0795777117936001,0.23594266540411,-0.292819875173411,-0.407002435465406,-0.209285168896544,0.770442892301178
"ABCC5","black","ABCC5","ABCC5",2,"N","ABCC5",0.583496876489975,-0.564157012035169,0.142795075791392,0.271176989074605,-0.503220345283222,0.469322062407419,-0.279916967279925,0.0882197166808245,-0.176565126299859,0.290832839707519
"ABCC8","turquoise","ABCC8","ABCC8",2,"N","ABCC8",0.399342666318297,-0.437462676828705,-0.302888962257156,0.459771135159614,-0.220855430955852,0.150675716150018,0.100998744950418,0.101805967147205,-0.205609796158403,0.314039845746123
"ABCC9","black","ABCC9","ABCC9",1,"N","ABCC9",0.473251247088492,0.353972118196829,0.0707563310559919,0.169647056511643,-0.0579581524501539,-0.112957194248423,-0.165625964334442,0.417285931739715,0.551100463455062,-0.427527930752886
"ABCD2","black","ABCD2","ABCD2",3,"N","ABCD2",0.838878728981352,-0.417180053733374,0.244075708188638,0.300479140809873,-0.754460033086107,0.536084790361598,-0.362815061163918,0.206747289275119,0.0331609548902451,0.111851812056706
"ABCD3","grey60","ABCD3","ABCD3",3,"N","ABCD3",0.576420175717484,-0.509963992382181,0.695492113906504,-0.0226639229303326,-0.894434944981103,0.928234679152959,-0.672335907900549,-0.113064962988187,-0.173862381165546,0.249423050042313
