"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","palevioletred3","A1CF","A1CF",2,"N","A1CF",0.0803137576536164,0.784907425929834,0.599130683266687,0.0235621224534058,0.230054411145464,0.428808968014558
"A2M","orangered4","A2M","A2M",2,"N","A2M",-0.278415188743808,0.335119874466003,0.0750584044124491,0.798709538988846,0.060058137933053,0.838393891128718
"A2ML1","firebrick4","A2ML1","A2ML1",3,"N","A2ML1",0.585748915170908,0.0277351068122737,0.30981721886285,0.281052401550649,-0.298259439658145,0.300316164461674
"A4GNT","darkviolet","A4GNT","A4GNT",3,"N","A4GNT",0.14101813092934,0.630614068334457,0.219416472717932,0.451031801522716,0.218839075866266,0.452253920957579
"AAAS","darkseagreen3","AAAS","AAAS",2,"N","AAAS",-0.249394822807234,0.38986833854039,-0.0666717844573308,0.820847399667172,0.360246455571392,0.205778602797081
"AACS","darkseagreen3","AACS","AACS",3,"N","AACS",0.430960148805914,0.123944454006166,-0.358075543871486,0.208724616766418,-0.260202532408674,0.368953465463632
"AADAT","turquoise","AADAT","AADAT",2,"N","AADAT",-0.142308302624437,0.627458197739622,0.174609526833738,0.550485217155736,0.189733820101818,0.515903162605655
"AAGAB","brown2","AAGAB","AAGAB",3,"N","AAGAB",0.320552672833008,0.26382929059553,0.0280831019431518,0.924077996638536,0.4635273538966,0.0950449582498007
"AAK1","bisque4","AAK1","AAK1",2,"N","AAK1",-0.144552970664876,0.621981655709403,0.0136561215766051,0.963043939676168,-0.193148242123787,0.508234313354829
"AAMDC","greenyellow","AAMDC","AAMDC",3,"N","AAMDC",0.163521716154111,0.576447904662031,-0.0717966106637786,0.807303799815114,-0.0229774824902201,0.937853935201459
"AAMP","darkseagreen3","AAMP","AAMP",3,"N","AAMP",0.226347806494383,0.436488526332448,-0.0190464622756784,0.94847179130893,0.395930039699476,0.161101964217579
"AAR2","darkturquoise","AAR2","AAR2",3,"N","AAR2",0.0963964343329554,0.743048409775091,-0.688701488534774,0.00645380708499164,-0.346210120668795,0.225293359156051
"AARS","darkseagreen3","AARS","AARS",3,"N","AARS",0.362866758673057,0.202257849579848,0.0603849329092061,0.837525172423171,0.327643373447215,0.252808796492498
"AARS2","darkseagreen3","AARS2","AARS2",3,"N","AARS2",0.225294031063185,0.438684279512561,-0.296158976677206,0.303897034269846,-0.265220446658378,0.359453489538674
"AASDH","orangered4","AASDH","AASDH",2,"N","AASDH",-0.0679903403537844,0.817358208064766,0.487132893894541,0.0772802639263441,-0.0598863421964756,0.838850644223112
"AASDHPPT","greenyellow","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.106629329648219,0.716746854716266,-0.323051028824637,0.259914015567928,0.448208203848943,0.107984494540426
"AASS","orangered4","AASS","AASS",2,"N","AASS",-0.0435121006015197,0.88258222315764,0.110727674319404,0.706292457268364,-0.576093465649316,0.031072240962368
"AATF","darkgrey","AATF","AATF",3,"N","AATF",0.180189610902066,0.537611803271883,0.0835014142744129,0.776563971948564,0.330746430886906,0.248075015769241
"AATK","darkseagreen3","AATK","AATK",2,"N","AATK",0.210284262979019,0.470549812412208,0.159348127446982,0.586348439061943,0.0987880649665036,0.736876697745291
"ABAT","orangered4","ABAT","ABAT",2,"N","ABAT",-0.411988164676532,0.143262906529976,-0.28275331816538,0.327326328742586,-0.430417616531251,0.124470947777346
"ABCA1","bisque4","ABCA1","ABCA1",3,"N","ABCA1",-0.15091938304184,0.606548224165005,0.423431951415589,0.131385642766005,-0.163442953314632,0.576634108738657
"ABCA12","mediumpurple3","ABCA12","ABCA12",2,"N","ABCA12",0.279322002376396,0.333482255286212,0.559897478569178,0.0373277557904168,0.261546595651407,0.366395686643125
"ABCA13","darkgrey","ABCA13","ABCA13",3,"N","ABCA13",0.382135596499733,0.17754063516409,0.194366794880003,0.505510066855745,0.0331282691263615,0.910484560008842
"ABCA2","bisque4","ABCA2","ABCA2",2,"N","ABCA2",0.211238273161617,0.468492118751846,0.484640916862607,0.079035201108911,0.0184100136450916,0.95019165798502
"ABCA3","bisque4","ABCA3","ABCA3",2,"N","ABCA3",0.159631205501666,0.585674766036078,0.0608093003415434,0.836397333861573,-0.04477495856955,0.879196808088949
"ABCA4","greenyellow","ABCA4","ABCA4",2,"N","ABCA4",0.219615157573687,0.450611640510685,-0.260320723375121,0.368728159932187,0.082700345673715,0.77865863991451
"ABCA5","darkseagreen3","ABCA5","ABCA5",2,"N","ABCA5",0.232260917778402,0.424270045088193,-0.179459386967935,0.539288946962857,-0.241668792329215,0.405194128893454
"ABCA7","darkseagreen3","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",0.16209820540086,0.579817034175567,-0.070265423009009,0.811345253337363,0.366523203222382,0.197408959954012
"ABCB10","darkgrey","ABCB10","ABCB10",3,"N","ABCB10",-0.108177226328429,0.712792821603085,-0.226823025882514,0.435500113979436,0.26425953722358,0.361262273240619
"ABCB11","turquoise","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",-0.064098622456799,0.827665380916826,0.0914245851410807,0.755924128003355,-0.0116754102741133,0.968401478919503
"ABCB6","darkseagreen3","ABCB6","ABCB6",3,"N","ABCB6",0.398609568168903,0.158028921962476,0.335144750181105,0.24145820947441,0.535912134346391,0.0482339049398873
"ABCB7","orangered4","ABCB7","ABCB7",2,"N","ABCB7",-0.257635664164154,0.373864958352689,0.14657643615419,0.617060325929919,-0.459840440503557,0.0980552876664412
"ABCB8","darkseagreen3","ABCB8","ABCB8",2,"N","ABCB8",0.19744006861105,0.49866914062795,-0.0378987227666839,0.897652143133973,0.0366264399072894,0.901072405887445
"ABCB9","darkseagreen3","ABCB9","ABCB9",2,"N","ABCB9",0.311231108662628,0.278747092325198,-0.0780820148279811,0.790761706379631,0.0584385977914254,0.842701620813924
"ABCC10","darkseagreen3","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.382330053415352,0.177301663273942,0.47179927311586,0.0885259223399631,0.343829620609364,0.228712725917162
"ABCC2","lightpink3","ABCC2","ABCC2",2,"N","ABCC2",-0.0554831690796864,0.85057308139053,-0.093234996201316,0.751228656538454,-0.679284411973561,0.00754217684317143
"ABCC3","orangered4","ABCC3","ABCC3",2,"N","ABCC3",-0.0639444656137832,0.828074205914204,-0.24252742371251,0.403475649164526,-0.406112632689295,0.149629833639163
"ABCC4","coral1","ABCC4","ABCC4",3,"N","ABCC4",-0.509188683792307,0.0629312196742313,-0.120299803830077,0.682064493076628,-0.358138878587943,0.208638295488781
"ABCC5","bisque4","ABCC5","ABCC5",2,"N","ABCC5",-0.294027767518344,0.307555361116188,-0.0240668319430281,0.934913182636873,-0.505765177730345,0.0650222277021841
"ABCC8","orangered4","ABCC8","ABCC8",2,"N","ABCC8",-0.134922003497038,0.645604268780968,0.506747970061368,0.0644169469698309,-0.165303826147139,0.572241402816966
"ABCC9","bisque4","ABCC9","ABCC9",1,"N","ABCC9",-0.0385225540943656,0.895975704739328,-0.253442215478362,0.38196381974198,-0.264371871103122,0.361050564340546
"ABCD2","orangered4","ABCD2","ABCD2",3,"N","ABCD2",-0.439185771959025,0.116146028937848,0.0129573374569248,0.964933895588046,-0.418428172041248,0.136494385248412
