"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043392","GO:0043392","negative regulation of DNA binding","4/289","21/12201",0.00134200117654585,0.639457028103806,0.639390907017248,"CTNNBIP1/HDAC2/LOC113990539/NFKBIA",4
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","8/289","93/12201",0.00160491603822714,0.639457028103806,0.639390907017248,"GPR89B/KCNA6/KCNG3/KCNH8/KCNJ6/KCNJ8/LOC113993165/TMEM37",8
"GO:0036499","GO:0036499","PERK-mediated unfolded protein response","3/289","11/12201",0.00188445096690709,0.639457028103806,0.639390907017248,"ATF3/LOC113998959/LOC114003207",3
"GO:0007263","GO:0007263","nitric oxide mediated signal transduction","3/289","14/12201",0.00394392369320195,0.717194731972455,0.717120572657806,"CD36/NPY2R/RASD1",3
"GO:0030517","GO:0030517","negative regulation of axon extension","3/289","14/12201",0.00394392369320195,0.717194731972455,0.717120572657806,"KIAA0319/RNF6/RTN4R",3
"GO:0006370","GO:0006370","7-methylguanosine mRNA capping","4/289","31/12201",0.00586032208154563,0.717194731972455,0.717120572657806,"GTF2F2/LOC113983394/POLR2J/RNGTT",4
"GO:0042246","GO:0042246","tissue regeneration","3/289","17/12201",0.00699108735530026,0.717194731972455,0.717120572657806,"GAP43/LOC113998959/LOC114003207",3
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","3/289","17/12201",0.00699108735530026,0.717194731972455,0.717120572657806,"CD36/HJURP/INSM1",3
"GO:0032355","GO:0032355","response to estradiol","6/289","75/12201",0.00860760459241172,0.717194731972455,0.717120572657806,"CASP8/DHH/EZH2/HPGD/MBD3/TXNIP",6
"GO:0032496","GO:0032496","response to lipopolysaccharide","7/289","100/12201",0.00956162830957405,0.717194731972455,0.717120572657806,"CASP8/CSF2RB/DUSP10/HDAC2/HPGD/KCNJ8/LOC113998857",7
"GO:0000413","GO:0000413","protein peptidyl-prolyl isomerization","4/289","36/12201",0.0100046205351819,0.717194731972455,0.717120572657806,"FKBP14/FKBP1B/FKBP9/LOC114002684",4
"GO:1990138","GO:1990138","neuron projection extension","3/289","20/12201",0.0111232808688375,0.717194731972455,0.717120572657806,"ALCAM/LOC113987255/PRKCZ",3
"GO:0070373","GO:0070373","negative regulation of ERK1 and ERK2 cascade","5/289","61/12201",0.0145476404744413,0.717194731972455,0.717120572657806,"ATF3/CAMK2N1/DUSP10/PTPRR/SYNJ2BP",5
"GO:0042110","GO:0042110","T cell activation","3/289","23/12201",0.0164030064608567,0.717194731972455,0.717120572657806,"CASP8/CD44/PPP3CA",3
"GO:0007265","GO:0007265","Ras protein signal transduction","5/289","65/12201",0.0187237825198433,0.717194731972455,0.717120572657806,"G3BP2/LOC113992428/LOC113993664/MAPK14/USP50",5
"GO:0006367","GO:0006367","transcription initiation from RNA polymerase II promoter","8/289","141/12201",0.0189775635850422,0.717194731972455,0.717120572657806,"GTF2A1L/GTF2F2/LOC113983394/MED17/NR3C2/NR4A3/POLR2J/TAF15",8
"GO:0051592","GO:0051592","response to calcium ion","4/289","45/12201",0.0214574357713326,0.717194731972455,0.717120572657806,"CALM1/PPP3CA/TRPC1/TXNIP",4
"GO:0006693","GO:0006693","prostaglandin metabolic process","2/289","10/12201",0.022192152606988,0.717194731972455,0.717120572657806,"HPGD/PTGR2",2
"GO:0033173","GO:0033173","calcineurin-NFAT signaling cascade","2/289","10/12201",0.022192152606988,0.717194731972455,0.717120572657806,"PPP3CA/RCAN1",2
"GO:0060347","GO:0060347","heart trabecula formation","2/289","10/12201",0.022192152606988,0.717194731972455,0.717120572657806,"ADAMTS1/ADGRG6",2
"GO:0001890","GO:0001890","placenta development","3/289","26/12201",0.0228633969922867,0.717194731972455,0.717120572657806,"MAPK14/MME/PHLDA2",3
"GO:0001975","GO:0001975","response to amphetamine","3/289","26/12201",0.0228633969922867,0.717194731972455,0.717120572657806,"CALM1/HDAC2/PPP3CA",3
