"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0089718","GO:0089718","amino acid import across plasma membrane","2/37","10/12201",0.000396564457666813,0.0662262644303578,0.0563538966158103,"LOC114001992/SLC22A2",2
"GO:0007265","GO:0007265","Ras protein signal transduction","3/37","65/12201",0.000985276236435095,0.0822705657423304,0.0700064694309146,"CDKN1A/JUN/NRAS",3
"GO:0042908","GO:0042908","xenobiotic transport","2/37","22/12201",0.0019895718709248,0.10750217007579,0.0914767914291315,"LOC114001992/SLC22A2",2
"GO:0051591","GO:0051591","response to cAMP","2/37","28/12201",0.00321862784658055,0.10750217007579,0.0914767914291315,"JUN/LOC113993849",2
"GO:0071479","GO:0071479","cellular response to ionizing radiation","2/37","28/12201",0.00321862784658055,0.10750217007579,0.0914767914291315,"CDKN1A/SWI5",2
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","2/37","43/12201",0.00747255137875263,0.185373472085469,0.157739796605977,"CDKN1A/CNPPD1",2
"GO:0006977","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","2/37","47/12201",0.00887782505016087,0.185373472085469,0.157739796605977,"CDKN1A/LOC113993849",2
"GO:0090305","GO:0090305","nucleic acid phosphodiester bond hydrolysis","2/37","52/12201",0.0107870461572443,0.185373472085469,0.157739796605977,"LOC113989190/ZRANB3",2
"GO:0006606","GO:0006606","protein import into nucleus","2/37","65/12201",0.0165091073147369,0.185373472085469,0.157739796605977,"CDKN1A/SNUPN",2
"GO:0006098","GO:0006098","pentose-phosphate shunt","1/37","10/12201",0.029925767743149,0.185373472085469,0.157739796605977,"RPIA",1
"GO:0006349","GO:0006349","regulation of gene expression by genetic imprinting","1/37","10/12201",0.029925767743149,0.185373472085469,0.157739796605977,"CTCFL",1
"GO:0010243","GO:0010243","response to organonitrogen compound","1/37","10/12201",0.029925767743149,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:0043097","GO:0043097","pyrimidine nucleoside salvage","1/37","10/12201",0.029925767743149,0.185373472085469,0.157739796605977,"UCK1",1
"GO:0046685","GO:0046685","response to arsenic-containing substance","1/37","10/12201",0.029925767743149,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:0040029","GO:0040029","regulation of gene expression, epigenetic","1/37","11/12201",0.0328699681035385,0.185373472085469,0.157739796605977,"CTCFL",1
"GO:0048478","GO:0048478","replication fork protection","1/37","11/12201",0.0328699681035385,0.185373472085469,0.157739796605977,"ZRANB3",1
"GO:0001825","GO:0001825","blastocyst formation","1/37","12/12201",0.0358054735325924,0.185373472085469,0.157739796605977,"PNLDC1",1
"GO:0006978","GO:0006978","DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","1/37","12/12201",0.0358054735325924,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:0061462","GO:0061462","protein localization to lysosome","1/37","12/12201",0.0358054735325924,0.185373472085469,0.157739796605977,"MFSD1",1
"GO:0090399","GO:0090399","replicative senescence","1/37","13/12201",0.038732308997298,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:2000279","GO:2000279","negative regulation of DNA biosynthetic process","1/37","13/12201",0.038732308997298,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:0045892","GO:0045892","negative regulation of transcription, DNA-templated","4/37","429/12201",0.0398999652194425,0.185373472085469,0.157739796605977,"CTCFL/DKK3/JUN/TLE3",4
"GO:0042326","GO:0042326","negative regulation of phosphorylation","1/37","14/12201",0.041650499394992,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:0051412","GO:0051412","response to corticosterone","1/37","14/12201",0.041650499394992,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:0071850","GO:0071850","mitotic cell cycle arrest","1/37","14/12201",0.041650499394992,0.185373472085469,0.157739796605977,"CDKN1A",1
"GO:2000272","GO:2000272","negative regulation of signaling receptor activity","1/37","14/12201",0.041650499394992,0.185373472085469,0.157739796605977,"DKK3",1
