"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006508","GO:0006508","proteolysis","17/205","250/12201",1.05228753385823e-06,0.000853405189959028,0.000783123459408181,"ACE/ADAM8/CAPN3/CAPN5/LGMN/LOC113983631/LOC114004136/MASP1/METAP1D/MMP2/MMP28/PAPLN/PM20D1/PRSS23/RHBDF1/TINAG/USP25",17
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","6/205","38/12201",3.68630581387784e-05,0.0149479700752746,0.0137169379495349,"GABRA5/GABRA6/GABRB2/GRIK1/GRIN3A/LOC113990089",6
"GO:0060384","GO:0060384","innervation","4/205","15/12201",9.13594892470786e-05,0.0194989564838992,0.0178931302928376,"GABRA5/GABRB2/LRIG1/SULF2",4
"GO:0030514","GO:0030514","negative regulation of BMP signaling pathway","6/205","45/12201",9.86300448625526e-05,0.0194989564838992,0.0178931302928376,"BMPER/CTDSPL2/SFRP2/SKOR2/SOSTDC1/VWC2L",6
"GO:0051932","GO:0051932","synaptic transmission, GABAergic","4/205","16/12201",0.000120215514697283,0.0194989564838992,0.0178931302928376,"GABRA5/GABRA6/GABRB2/LOC113990089",4
"GO:0007215","GO:0007215","glutamate receptor signaling pathway","4/205","18/12201",0.000196859173117375,0.0236565425686952,0.0217083205867577,"GRID2/GRIK1/GRIN2A/PLCB1",4
"GO:0030198","GO:0030198","extracellular matrix organization","12/205","208/12201",0.00020418717383584,0.0236565425686952,0.0217083205867577,"ADAMTS12/BCAN/COL6A1/EGFLAM/LAMA3/LOC113998335/MMP2/MMP28/NDNF/PAPLN/PTX3/VWA1",12
"GO:0042472","GO:0042472","inner ear morphogenesis","5/205","36/12201",0.000314653281972815,0.0318979764599941,0.0292710355729974,"GATA2/NTN1/OTX1/PAX2/SPRY2",5
"GO:0090102","GO:0090102","cochlea development","4/205","23/12201",0.000533381189363944,0.0475213459347595,0.043607750763677,"GABRA5/GABRB2/GATA2/PAX2",4
"GO:0007268","GO:0007268","chemical synaptic transmission","11/205","201/12201",0.000585959875890992,0.0475213459347595,0.043607750763677,"CACNB4/DTNA/GABRA5/GABRA6/GABRB2/GRIK1/GRIN2A/GRM4/LOC113990089/NPTX1/NTSR1",11
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway","4/205","25/12201",0.000742209825987072,0.0547211062614105,0.0502145786576899,"GRID2/GRIK1/GRIN2A/GRIN3A",4
"GO:0030534","GO:0030534","adult behavior","4/205","27/12201",0.00100302674836171,0.0638278880694382,0.0585713762931959,"ALK/NRXN3/PAX5/SLITRK1",4
"GO:0007214","GO:0007214","gamma-aminobutyric acid signaling pathway","4/205","28/12201",0.0011549508610503,0.0638278880694382,0.0585713762931959,"GABRA5/GABRA6/GABRB2/LOC113990089",4
"GO:0035987","GO:0035987","endodermal cell differentiation","4/205","28/12201",0.0011549508610503,0.0638278880694382,0.0585713762931959,"COL6A1/LAMA3/LOC113983959/MMP2",4
"GO:0002063","GO:0002063","chondrocyte development","3/205","13/12201",0.00118054046984164,0.0638278880694382,0.0585713762931959,"CHST11/SFRP2/SULF2",3
"GO:0050772","GO:0050772","positive regulation of axonogenesis","4/205","31/12201",0.0017064691421024,0.0864966546403153,0.079373268649105,"LOC113986256/SLIT2/SLITRK1/TIAM1",4
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","4/205","32/12201",0.00192489461476802,0.0918287960339334,0.0842662843740553,"CDH11/CDH12/CDH9/FLRT3",4
"GO:0007420","GO:0007420","brain development","10/205","201/12201",0.00211203628093073,0.0951589679908234,0.0873222017905278,"BOK/GABRA5/GRIN2A/LOC113997043/LOC114002405/LOC114004136/MEIS1/MEIS2/PCDH18/PCDH19",10
"GO:0007043","GO:0007043","cell-cell junction assembly","4/205","36/12201",0.00299251970080929,0.127733340913491,0.117213929555245,"CDH11/CDH12/CDH9/TLN1",4
"GO:0006956","GO:0006956","complement activation","3/205","18/12201",0.00316609817200779,0.128385280874916,0.117812179347869,"LOC113986455/LOC113992168/MASP1",3
"GO:0001764","GO:0001764","neuron migration","6/205","88/12201",0.00361432888021917,0.128822055048111,0.118212983216321,"ASTN2/GATA2/LOC114004136/NDNF/NTN1/PRKG1",6
"GO:0050877","GO:0050877","nervous system process","4/205","38/12201",0.00365339983490327,0.128822055048111,0.118212983216321,"GABRA5/GABRA6/GABRB2/LOC113990089",4
"GO:0050919","GO:0050919","negative chemotaxis","4/205","38/12201",0.00365339983490327,0.128822055048111,0.118212983216321,"FLRT3/NRP2/SLIT2/SLIT3",4
"GO:0007155","GO:0007155","cell adhesion","13/205","334/12201",0.00424302004260037,0.139990482740404,0.128461640985743,"ADA/BCAN/CCN5/CDH11/CGREF1/COL6A1/LOC113983959/LOC114004136/MAGI1/NRP2/PCDH18/PCDH19/TINAG",13
"GO:0051281","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","3/205","20/12201",0.00431536629902603,0.139990482740404,0.128461640985743,"APLNR/CAPN3/NTSR1",3
