"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","floralwhite","A1CF","A1CF",2,"N","A1CF",0.349506513731046,0.201624823998226,0.809867262413933,0.000252700233908335,0.517652357219515,0.0481079378158502
"A2M","plum","A2M","A2M",2,"N","A2M",-0.457998707547688,0.0860146643658686,0.0299382764529769,0.915650690607843,0.083728490126182,0.766720484598995
"A4GNT","brown","A4GNT","A4GNT",3,"N","A4GNT",-0.39425680551262,0.145901264365243,-0.514390198557681,0.0497848230152192,-0.345519102248885,0.207168998817485
"AAAS","darkmagenta","AAAS","AAAS",2,"N","AAAS",-0.460254290333585,0.0842833886238269,-0.095577834856383,0.734734497504111,0.363626466281685,0.182761785498165
"AACS","brown4","AACS","AACS",3,"N","AACS",0.0431214509746258,0.878721966655916,0.204847280803543,0.463946529250353,-0.361853320276861,0.185064956687023
"AADAT","blue","AADAT","AADAT",2,"N","AADAT",0.727485793722944,0.00211336728050159,0.381182170242947,0.160964146593425,0.0700243911829249,0.804150878910728
"AAGAB","green","AAGAB","AAGAB",3,"N","AAGAB",-0.146332122971572,0.60279153695413,-0.356848875860762,0.191666726706784,0.134344875043238,0.633113034128965
"AAK1","darkred","AAK1","AAK1",2,"N","AAK1",-0.149791585976528,0.594149258016663,0.397277101943107,0.142561508396514,0.230656399260197,0.408198074303716
"AAMDC","darkgrey","AAMDC","AAMDC",3,"N","AAMDC",0.334202792101356,0.223428280060224,-0.0683698530243347,0.80869845113713,-0.308181852551035,0.263775785366246
"AAMP","lightsteelblue1","AAMP","AAMP",3,"N","AAMP",0.0649038970532491,0.818243070539318,-0.130290802357102,0.643494685362865,0.0456029485586573,0.871794486290615
"AAR2","navajowhite2","AAR2","AAR2",3,"N","AAR2",-0.217229517788042,0.436749312559481,-0.155101768226869,0.580981667858049,-0.492268747103363,0.0623111450756857
"AARS","lightsteelblue1","AARS","AARS",3,"N","AARS",-0.208711660888907,0.455370893951727,-0.0438715188325145,0.876627154288092,0.628020037945057,0.0121778604589114
"AARS2","yellow","AARS2","AARS2",3,"N","AARS2",0.306440974118191,0.266622739492709,-0.445592015354308,0.0959902653673476,-0.413703372459277,0.125299785199678
"AASDH","black","AASDH","AASDH",2,"N","AASDH",0.0900030862503289,0.749735918675704,0.440779374095677,0.100070055011738,-0.234914213385077,0.399353499963283
"AASDHPPT","green","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",0.106024713353634,0.706864299153414,-0.294238081827096,0.287097552167556,0.188881057067387,0.500197776130323
"AASS","black","AASS","AASS",2,"N","AASS",0.356214626914398,0.192514133325825,0.339977409491983,0.215034145170006,-0.257253763815443,0.354645557126155
"AATF","lightsteelblue1","AATF","AATF",3,"N","AATF",-0.356555152520013,0.192058864050407,-0.204489527740528,0.464744410209059,0.321830200170754,0.24209736978924
