"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007281","GO:0007281","germ cell development","10/1654","19/12091",6.3454474742499e-05,0.118339594763018,0.118061148657694,"ACVR1/AKT1/ANGPT2/BMP4/CELF4/FBXW11/PAFAH1B1/RPS6KB1/SMAD5/TDRD1",10
"GO:0006376","GO:0006376","mRNA splice site selection","10/1654","20/12091",0.0001113784421299,0.118339594763018,0.118061148657694,"CELF2/CELF4/LOC113985802/LOC113985815/LOC114002198/LUC7L/LUC7L3/RBMX/SRSF1/SRSF6",10
"GO:0005979","GO:0005979","regulation of glycogen biosynthetic process","6/1654","10/12091",0.000832267483788597,0.589522801016923,0.588135688543942,"AKT1/INPP5K/PPP1CB/PPP1R3C/PPP1R3D/PPP1R3G",6
"GO:0035338","GO:0035338","long-chain fatty-acyl-CoA biosynthetic process","8/1654","18/12091",0.00147047029023003,0.781187341684701,0.779349253821914,"ACSL3/ACSL4/ELOVL2/ELOVL4/ELOVL5/ELOVL6/HSD17B12/TECR",8
"GO:0032869","GO:0032869","cellular response to insulin stimulus","21/1654","84/12091",0.00382168414798424,0.800524707236722,0.798641119690282,"AKT1/C2CD5/CAPN10/CPEB2/FER/HDAC9/INPP5K/INSIG2/LOC113985802/LOC113985815/LPIN2/PTEN/RAB12/RAB8B/RHOQ/RPS6KB1/SORBS1/STAR/SYAP1/TRARG1/YWHAG",21
"GO:0006661","GO:0006661","phosphatidylinositol biosynthetic process","19/1654","74/12091",0.0042221962980138,0.800524707236722,0.798641119690282,"CDIPT/CDS1/DGKE/FIG4/INPP4A/INPP5K/MTMR12/MTMR6/MTMR8/PIK3CA/PIK3R4/PIP4K2A/PIP4K2B/PITPNM3/PLEKHA3/PTEN/RAB4A/RAB5A/SACM1L",19
"GO:0016024","GO:0016024","CDP-diacylglycerol biosynthetic process","6/1654","13/12091",0.00471027797842101,0.800524707236722,0.798641119690282,"AGPAT3/AGPAT5/CDS1/LCLAT1/LOC113995899/TAMM41",6
"GO:0032482","GO:0032482","Rab protein signal transduction","6/1654","13/12091",0.00471027797842101,0.800524707236722,0.798641119690282,"RAB12/RAB21/RAB33B/RAB39A/RAB4A/RAB9A",6
"GO:0045842","GO:0045842","positive regulation of mitotic metaphase/anaphase transition","6/1654","13/12091",0.00471027797842101,0.800524707236722,0.798641119690282,"ANAPC11/ANAPC4/ESPL1/LOC113991003/NSMCE2/RB1",6
"GO:0071470","GO:0071470","cellular response to osmotic stress","6/1654","13/12091",0.00471027797842101,0.800524707236722,0.798641119690282,"DDX3X/LOC113991482/LOC113991485/LOC113991486/LRRC8D/ZFAND1",6
"GO:0061028","GO:0061028","establishment of endothelial barrier","7/1654","17/12091",0.00490861081185252,0.800524707236722,0.798641119690282,"LOC113989201/LOC113993299/PECAM1/RAP1A/RAP1B/RAPGEF1/RDX",7
"GO:0006886","GO:0006886","intracellular protein transport","47/1654","237/12091",0.00504133779341576,0.800524707236722,0.798641119690282,"AP2A2/AP3B1/AP3S1/APBA1/ARF4/ARL11/ARL4A/ARL5B/COG3/LOC113986052/LOC113986160/LOC113989323/LOC113996964/MYO6/PDCD6/RAB1A/RAB20/RAB21/RAB22A/RAB23/RAB28/RAB43/RAB5A/RAMP1/RIC1/RPH3A/SAR1B/SCG5/SEC23A/SEC24B/SNX13/SNX6/STX12/STX16/STX18/STX19/STX2/TBC1D12/TBC1D14/TBC1D22A/TBC1D8B/TBC1D9B/TMED5/TMED7/TRIM23/VPS35/YWHAH",47
"GO:0045727","GO:0045727","positive regulation of translation","17/1654","65/12091",0.00541024407011462,0.800524707236722,0.798641119690282,"CIRBP/CPEB3/DDX3X/EIF4G2/ELAVL1/FMR1/GUF1/ITGA2/LARP4B/MAPK1/METTL5/PAIP1/RPS27L/RPS6KB1/UPF3A/YTHDF1/YTHDF3",17
"GO:0090394","GO:0090394","negative regulation of excitatory postsynaptic potential","5/1654","10/12091",0.00659869405168205,0.800524707236722,0.798641119690282,"CBLN1/CELF4/LOC113984666/LRRK2/PTEN",5
"GO:0046716","GO:0046716","muscle cell cellular homeostasis","7/1654","18/12091",0.00709651841652138,0.800524707236722,0.798641119690282,"CFL2/DMD/HIF1A/LAMP2/LARGE1/MSTN/SGCZ",7
"GO:0006636","GO:0006636","unsaturated fatty acid biosynthetic process","6/1654","14/12091",0.00729901202042058,0.800524707236722,0.798641119690282,"DEGS1/ELOVL2/ELOVL4/ELOVL5/ELOVL6/LOC113991951",6
"GO:0045948","GO:0045948","positive regulation of translational initiation","6/1654","14/12091",0.00729901202042058,0.800524707236722,0.798641119690282,"DDX3X/DHX29/HABP4/RPS6KB1/YTHDF1/YTHDF3",6
"GO:0090201","GO:0090201","negative regulation of release of cytochrome c from mitochondria","6/1654","14/12091",0.00729901202042058,0.800524707236722,0.798641119690282,"AKT1/FXN/GHITM/OPA1/PPIF/PSMD10",6
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","10/1654","32/12091",0.00824930170596281,0.800524707236722,0.798641119690282,"ACVR1/BMP4/GCLM/ITGA6/LOC113986620/LOC113988184/PHIP/RB1CC1/RPS6KB1/ZMYND11",10
"GO:0002755","GO:0002755","MyD88-dependent toll-like receptor signaling pathway","8/1654","23/12091",0.00877659412114042,0.800524707236722,0.798641119690282,"IRAK4/LOC114001832/MAP3K1/TAB2/TAB3/TLR2/TLR5/TRAF6",8
"GO:0008219","GO:0008219","cell death","10/1654","33/12091",0.0104163336202328,0.800524707236722,0.798641119690282,"BCL10/CIDEA/EIF4G2/EMP2/FAF1/LOC113993165/LOC114003869/PNPLA8/SUSD6/VAPA",10
"GO:0051402","GO:0051402","neuron apoptotic process","11/1654","38/12091",0.01064298215758,0.800524707236722,0.798641119690282,"APAF1/BCL2/CASP7/ERBB3/LOC113994464/LOC113994484/PSEN1/RB1/SCN1A/USP53/XIAP",11
"GO:0032434","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","5/1654","11/12091",0.0107481409763478,0.800524707236722,0.798641119690282,"GLMN/GNA12/RAD23B/UBE2K/XPO1",5
"GO:0051770","GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process","5/1654","11/12091",0.0107481409763478,0.800524707236722,0.798641119690282,"LOC113997171/LOC114001832/LRRK2/NAMPT/TLR2",5
"GO:2000785","GO:2000785","regulation of autophagosome assembly","5/1654","11/12091",0.0107481409763478,0.800524707236722,0.798641119690282,"IFT88/LOC113986160/RAB5A/TBC1D12/TBC1D14",5
"GO:0010880","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","6/1654","15/12091",0.0107764273326871,0.800524707236722,0.798641119690282,"AKAP6/CALM1/DMD/LOC113989201/LOC113993299/SRI",6
"GO:0045214","GO:0045214","sarcomere organization","8/1654","24/12091",0.0116171741661981,0.800524707236722,0.798641119690282,"CFL2/KLHL41/LMOD2/LOC113989611/OBSCN/PRKAR1A/TTN/WDR1",8
"GO:0000381","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","14/1654","54/12091",0.0119467905843841,0.800524707236722,0.798641119690282,"CELF2/CELF4/FMR1/HNRNPU/KHDRBS2/LOC114002198/LOC114003545/MBNL2/MBNL3/RBM10/RBM25/RBMX/SMU1/SRSF6",14
"GO:0014823","GO:0014823","response to activity","11/1654","39/12091",0.0130364571176984,0.800524707236722,0.798641119690282,"ANGPT2/CAT/CREB1/CXCR4/GCLM/LOC113988702/OXCT1/PRKAA1/PTEN/PTN/STAR",11
"GO:0048286","GO:0048286","lung alveolus development","8/1654","25/12091",0.0150803890185135,0.800524707236722,0.798641119690282,"ADA/BMP4/BMPR2/ITGB6/MAN1A2/MAN2A1/PDGFA/RC3H2",8
"GO:0043029","GO:0043029","T cell homeostasis","6/1654","16/12091",0.0152807110619414,0.800524707236722,0.798641119690282,"BCL2/CASP7/GPR174/PPP3CB/RC3H1/RC3H2",6
"GO:0043651","GO:0043651","linoleic acid metabolic process","6/1654","16/12091",0.0152807110619414,0.800524707236722,0.798641119690282,"ALOX5/ELOVL2/ELOVL5/LOC113991951/LOC114002601/PNPLA8",6
"GO:0047496","GO:0047496","vesicle transport along microtubule","6/1654","16/12091",0.0152807110619414,0.800524707236722,0.798641119690282,"FBXW11/KIF5B/LOC113986620/PAFAH1B1/RAB1A/TRAK1",6
"GO:2000114","GO:2000114","regulation of establishment of cell polarity","6/1654","16/12091",0.0152807110619414,0.800524707236722,0.798641119690282,"ARFGEF1/KRIT1/RAP1B/RICTOR/ROCK1/ROCK2",6
"GO:0009408","GO:0009408","response to heat","9/1654","30/12091",0.0158287993474155,0.800524707236722,0.798641119690282,"ABCC2/AKT1/DNAJA2/DNAJB4/MSTN/PSIP1/RPS6KB1/TP53INP1/TRPV3",9
"GO:0038128","GO:0038128","ERBB2 signaling pathway","9/1654","30/12091",0.0158287993474155,0.800524707236722,0.798641119690282,"CDC37L1/CPNE3/CUL5/ERBB3/ERBB4/ERBIN/NRG4/PIK3CA/PTPN12",9
