"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016032","GO:0016032","viral process","21/295","406/12091",0.000982258267783917,0.252970807938274,0.243604629925617,"AAAS/ANKRD17/ATF7/BRD2/DCAF1/DNAJB12/E4F1/EP300/IL2RB/KAT2A/LOC113985512/LOC113989518/LOC113999689/LOC114003727/MPDZ/NUP214/SETD2/SPEN/SSRP1/TPR/UBR4",21
"GO:0043967","GO:0043967","histone H4 acetylation","5/295","33/12091",0.00113214422250055,0.252970807938274,0.243604629925617,"EP300/EP400/LOC113997056/LOC113998036/LOC113998501",5
"GO:0046854","GO:0046854","phosphatidylinositol phosphorylation","6/295","50/12091",0.0012918700215907,0.252970807938274,0.243604629925617,"LOC113983741/LOC113988212/LOC113992314/PI4K2A/PIK3R2/SOCS7",6
"GO:0045652","GO:0045652","regulation of megakaryocyte differentiation","5/295","35/12091",0.00148820487005087,0.252970807938274,0.243604629925617,"EP300/KMT2A/L3MBTL1/TNRC6B/TNRC6C",5
"GO:0035194","GO:0035194","post-transcriptional gene silencing by RNA","3/295","10/12091",0.00151898854116337,0.252970807938274,0.243604629925617,"HELZ/TNRC6B/TNRC6C",3
"GO:0051726","GO:0051726","regulation of cell cycle","8/295","96/12091",0.00236299960803566,0.252970807938274,0.243604629925617,"BOP1/CSNK2A2/EP300/HIPK2/L3MBTL1/NUP214/PRDM11/SON",8
"GO:0010761","GO:0010761","fibroblast migration","3/295","12/12091",0.00268569906456446,0.252970807938274,0.243604629925617,"ARID5B/LOC113988212/LOC113992314",3
"GO:0006110","GO:0006110","regulation of glycolytic process","5/295","40/12091",0.00273166694244494,0.252970807938274,0.243604629925617,"AAAS/EP300/LOC113999689/NUP214/TPR",5
"GO:0007595","GO:0007595","lactation","5/295","42/12091",0.00339440834419496,0.252970807938274,0.243604629925617,"CAD/LOC113997056/LOC113998036/MED1/NCOR2",5
"GO:0019827","GO:0019827","stem cell population maintenance","5/295","42/12091",0.00339440834419496,0.252970807938274,0.243604629925617,"EIF4ENIF1/LOC113993147/LOC113999502/MED30/RIF1",5
