"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A2M","darkslateblue","A2M","A2M",2,"N","A2M",-0.232610155221434,0.466898805678883,0.381835852413476,0.220643904918938,0.504983496895153,0.0940255800200801
"A4GNT","floralwhite","A4GNT","A4GNT",3,"N","A4GNT",0.214610158116876,0.502975847004979,0.471375606278521,0.121875368852127,0.136150631644484,0.673086156681269
"AAAS","lightgreen","AAAS","AAAS",2,"N","AAAS",-0.0411394973898676,0.898986383629662,0.223324239341067,0.485357737640075,0.600816477595736,0.0388268063746729
"AACS","coral1","AACS","AACS",3,"N","AACS",0.215702797266926,0.500751316572945,-0.092556652089001,0.774805616242871,-0.145952070705739,0.650829110408917
"AADAC","orangered3","AADAC","AADAC",2,"N","AADAC",-0.329633934570423,0.295406696597191,-0.589579202226591,0.043635819601885,-0.296428357466802,0.349494370460482
"AADAT","coral1","AADAT","AADAT",2,"N","AADAT",0.423246072007308,0.170392260150708,0.114581216985152,0.722900876511968,-0.249981487688905,0.433271225612203
"AAGAB","darkolivegreen2","AAGAB","AAGAB",3,"N","AAGAB",-0.0987841061617711,0.760033848393284,-0.63997067638571,0.0250011037441502,-0.246831353399392,0.43927998682256
"AAK1","lightgreen","AAK1","AAK1",2,"N","AAK1",-0.338540140927125,0.281754683746511,0.0523448136999336,0.871652135108714,0.312322712172694,0.322982654361549
"AAMDC","bisque4","AAMDC","AAMDC",3,"N","AAMDC",0.141799200012999,0.660228711712102,-0.187791080303359,0.558909920628573,-0.292977381369158,0.355399244458233
"AAMP","darkolivegreen2","AAMP","AAMP",3,"N","AAMP",0.20318440794954,0.526497079097756,0.1832114444089,0.568707049211789,0.36526120959878,0.243003775042061
"AAR2","bisque4","AAR2","AAR2",3,"N","AAR2",0.478586523554469,0.115493556717037,-0.0394175901067098,0.903196453494356,-0.34797856212543,0.267687339490824
"AARS","lightgreen","AARS","AARS",3,"N","AARS",-0.138635127318027,0.667420735542008,-0.256765689304212,0.420467667072764,0.116080240341037,0.719404267107687
"AARS2","coral2","AARS2","AARS2",3,"N","AARS2",0.0136913139592822,0.966314951846845,-0.332034459025167,0.291691025745362,-0.677002973100233,0.0155948608175447
"AASDH","firebrick3","AASDH","AASDH",2,"N","AASDH",-0.0564833444088334,0.861587614403534,0.113358330125593,0.725756983286405,-0.32881174381065,0.296685422296134
"AASDHPPT","coral1","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.37559769076815,0.228908393678465,-0.583112099417161,0.0465868371710765,-0.252207035659704,0.429050317971322
"AASS","blue","AASS","AASS",2,"N","AASS",0.24110445537885,0.450305899152622,0.289023064021704,0.362229872987008,0.0214226511865664,0.947312440623474
"AATF","lightgreen","AATF","AATF",3,"N","AATF",-0.195936475863167,0.541657507245499,0.0214873141382937,0.947153601941929,0.250031315404879,0.433176503638526
"AATK","blue","AATK","AATK",2,"N","AATK",-0.339445222684229,0.280387816772514,0.226006859632117,0.47999130883322,0.405079852431131,0.191453515150006
"ABAT","firebrick3","ABAT","ABAT",2,"N","ABAT",-0.136927903264995,0.671312042917388,-0.180461330267579,0.574623216895789,-0.427891403599317,0.16525154579569
"ABCA1","blue","ABCA1","ABCA1",3,"N","ABCA1",-0.385504167234096,0.215869155541139,0.134890084087768,0.675966593753094,0.234056352856377,0.464053844843804
"ABCA12","coral3","ABCA12","ABCA12",2,"N","ABCA12",0.0740004374356042,0.819212677200777,0.0929212385721699,0.773938862171547,0.528513047880643,0.0773073020597052
"ABCA13","firebrick3","ABCA13","ABCA13",3,"N","ABCA13",-0.267877541635195,0.399907593299577,-0.334685688860455,0.287618135143587,-0.537465488513169,0.0715193048797189
"ABCA2","lightgreen","ABCA2","ABCA2",2,"N","ABCA2",-0.268659511234196,0.398480204763229,0.0376566927932719,0.907504221926047,0.243732888719779,0.445229148722823
"ABCA3","lightgreen","ABCA3","ABCA3",2,"N","ABCA3",-0.1149724581965,0.721987798298443,0.0881263879307143,0.785356556740302,0.190232261439062,0.553715910632976
"ABCA4","darkslateblue","ABCA4","ABCA4",2,"N","ABCA4",-0.0430381393904411,0.894346970303555,0.240685612810783,0.451117418535318,0.30279173229054,0.338744645979043
"ABCA5","darkgrey","ABCA5","ABCA5",2,"N","ABCA5",0.0611634697808437,0.850228785422486,-0.0119076685712334,0.970701511293178,-0.177849116499987,0.580265261991272
"ABCA7","blue","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",-0.266484502632833,0.402456800688481,0.00376844953932339,0.990726256810758,0.205833475887375,0.52100199655494
"ABCB10","coral1","ABCB10","ABCB10",3,"N","ABCB10",0.450773823333983,0.141367426789028,-0.342032381766871,0.276501571020473,-0.451542871087763,0.140605871531589
"ABCB11","lightcyan1","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",0.343657059298817,0.274076955610137,0.247937223597344,0.437166016804936,0.546356435460878,0.0660729040909196
"ABCB5","blue","ABCB1","ABCB1",2,"N","ABCB5/ABCB1",0.109155401548367,0.735597390329757,-0.0946052327074155,0.769938486665557,0.372321321528564,0.233322053060789
"ABCB6","darkolivegreen2","ABCB6","ABCB6",3,"N","ABCB6",-0.0951479228702316,0.768650402126718,0.0810054223999603,0.802384591109461,0.256353090728718,0.421240962593684
"ABCB7","darkorange2","ABCB7","ABCB7",2,"N","ABCB7",0.441279948272351,0.150988251475349,-0.163333908179486,0.61200427938097,-0.636887498380695,0.0259356288848438
