"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007288","GO:0007288","sperm axoneme assembly","4/214","20/12079",0.000371389159557556,0.131811182035877,0.131243205258868,"ARMC2/CFAP206/SPEF2/TTLL1",4
"GO:0031647","GO:0031647","regulation of protein stability","7/214","76/12079",0.000385412812970402,0.131811182035877,0.131243205258868,"APTX/ATF7IP/DPM2/LOC113993664/MOSMO/PINX1/QRSL1",7
"GO:0006362","GO:0006362","transcription elongation from RNA polymerase I promoter","3/214","23/12079",0.0074765738770809,0.632076165628657,0.629352537952818,"CCNH/ERCC3/TAF1A",3
"GO:0050821","GO:0050821","protein stabilization","8/214","162/12079",0.00820952722275346,0.632076165628657,0.629352537952818,"ATF7IP/CCNH/CCT6A/GAPDH/GTPBP4/MFSD1/NCLN/TBL1XR1",8
"GO:0006363","GO:0006363","termination of RNA polymerase I transcription","3/214","24/12079",0.00843457855297446,0.632076165628657,0.629352537952818,"CCNH/ERCC3/TAF1A",3
"GO:0006890","GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","5/214","73/12079",0.00943842435075711,0.632076165628657,0.629352537952818,"ARFGAP2/COPB1/KIFAP3/PITPNB/RINT1",5
"GO:0006361","GO:0006361","transcription initiation from RNA polymerase I promoter","3/214","25/12079",0.00946138213183952,0.632076165628657,0.629352537952818,"CCNH/ERCC3/TAF1A",3
"GO:0006310","GO:0006310","DNA recombination","4/214","51/12079",0.0125003762413419,0.632076165628657,0.629352537952818,"ACTR8/KIN/LOC113982971/SUPV3L1",4
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","6/214","109/12079",0.0128965102373343,0.632076165628657,0.629352537952818,"GAPDH/KNSTRN/MARK3/PRKCZ/TTLL1/TUBA8",6
"GO:0070085","GO:0070085","glycosylation","2/214","11/12079",0.0154661725379399,0.632076165628657,0.629352537952818,"B4GALT4/LOC113992792",2
"GO:0006270","GO:0006270","DNA replication initiation","3/214","30/12079",0.0156566398078493,0.632076165628657,0.629352537952818,"ORC2/ORC4/PRIM2",3
"GO:0006370","GO:0006370","7-methylguanosine mRNA capping","3/214","31/12079",0.017112236868374,0.632076165628657,0.629352537952818,"CCNH/ERCC3/POLR2B",3
"GO:0007171","GO:0007171","activation of transmembrane receptor protein tyrosine kinase activity","2/214","12/12079",0.0183450149271216,0.632076165628657,0.629352537952818,"LOC114004198/NRG3",2
"GO:0016575","GO:0016575","histone deacetylation","3/214","32/12079",0.0186409695656549,0.632076165628657,0.629352537952818,"MTA1/MTA3/TBL1XR1",3
"GO:0018215","GO:0018215","protein phosphopantetheinylation","10/214","272/12079",0.0231458970360565,0.632076165628657,0.629352537952818,"FN3K/LOC113993664/MINDY4/PGGT1B/PPME1/TTLL1/TTLL12/UBE2F/UCHL1/USP1",10
"GO:0051974","GO:0051974","negative regulation of telomerase activity","2/214","14/12079",0.0247141627014133,0.632076165628657,0.629352537952818,"LOC113982971/PINX1",2
"GO:0006094","GO:0006094","gluconeogenesis","3/214","37/12079",0.0273863841968804,0.632076165628657,0.629352537952818,"GAPDH/MDH1/PGK1",3
"GO:0050890","GO:0050890","cognition","3/214","37/12079",0.0273863841968804,0.632076165628657,0.629352537952818,"GTF2A1L/HRH3/LINS1",3
"GO:0006488","GO:0006488","dolichol-linked oligosaccharide biosynthetic process","2/214","15/12079",0.0281883885324253,0.632076165628657,0.629352537952818,"ALG6/SRD5A3",2
"GO:0043651","GO:0043651","linoleic acid metabolic process","2/214","15/12079",0.0281883885324253,0.632076165628657,0.629352537952818,"LOC113991921/LOC114002602",2
