"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","navajowhite1","A1CF","A1CF",2,"N","A1CF",-0.0440679089122054,0.876078795049225,0.607226003681246,0.0163626080630896,0.408397467774259,0.130710401134901
"A2M","brown","A2M","A2M",2,"N","A2M",-0.417938982078021,0.121092170108713,-0.389307082041462,0.15148751560942,-0.224895653289339,0.42032600339891
"A2ML1","brown2","A2ML1","A2ML1",3,"N","A2ML1",0.280566341302158,0.311111147071474,-0.251373210098999,0.366134409081661,-0.527447809140173,0.0433227182667949
"A4GNT","coral","A4GNT","A4GNT",3,"N","A4GNT",0.383952348110749,0.157690028764006,0.403879905997772,0.135440808430169,-0.00103231056240066,0.997086750891613
"AAAS","darkorange","AAAS","AAAS",2,"N","AAAS",-0.392999350080633,0.147307097525009,0.0767758293666503,0.785655975975107,0.178080231912245,0.525444822647806
"AACS","lightcoral","AACS","AACS",3,"N","AACS",0.322874494003692,0.240485529406531,0.466388616796154,0.0797004317483216,0.0226399001267186,0.936168567727174
"AADAT","darkslateblue","AADAT","AADAT",2,"N","AADAT",-0.29256525480562,0.289974965004461,-0.115869893597789,0.680911170283529,0.50052267310393,0.0573962874270754
"AAGAB","purple","AAGAB","AAGAB",3,"N","AAGAB",-0.119240537577983,0.672099872154968,-0.0783502395677075,0.781357919356153,0.324867358295612,0.237428076470745
"AAK1","coral","AAK1","AAK1",2,"N","AAK1",0.276326489707337,0.318787394434967,0.265063680447671,0.339701277207896,-0.232549891929506,0.404252216949771
"AAMDC","lightsteelblue","AAMDC","AAMDC",3,"N","AAMDC",-0.00785865846831986,0.977824810309238,-0.0325121360332193,0.908425961486321,0.309257098040503,0.262026621107415
"AAMP","purple","AAMP","AAMP",3,"N","AAMP",-0.218514509360206,0.433974042109683,-0.392080714321128,0.148339861328636,-0.170685918640919,0.543052169912445
"AAR2","darkolivegreen1","AAR2","AAR2",3,"N","AAR2",-0.144586697780751,0.607170658937537,0.360648380068058,0.186640790657488,0.290457203165091,0.293625197734719
"AARS","purple","AARS","AARS",3,"N","AARS",0.00876929338884515,0.975255910758564,0.240918083136731,0.387056114281077,0.493959521951298,0.0612803488174354
"AARS2","darkorange","AARS2","AARS2",3,"N","AARS2",0.259891544138364,0.349557943767941,-0.510461055395944,0.0518612041863903,-0.665156797930658,0.00681120176102339
"AASDH","brown","AASDH","AASDH",2,"N","AASDH",0.177428536313109,0.526986247848088,0.380030720600187,0.162338234103008,0.0190893165756614,0.946164545164372
"AASDHPPT","purple","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.37725184760021,0.165686368750344,-0.266569723715501,0.336860941540312,0.308334968732548,0.263526271310757
"AASS","orange","AASS","AASS",2,"N","AASS",-0.0189044835472764,0.946685122799605,0.100710296811624,0.721001362723754,0.345901785759428,0.20663273719651
"AATF","purple","AATF","AATF",3,"N","AATF",-0.124147755851811,0.659342520204215,-0.365248818786034,0.180670907080244,-0.0104619615203601,0.970481514239579
"AATK","coral","AATK","AATK",2,"N","AATK",0.394679614990905,0.145430597683674,0.325928943977392,0.235809290059562,-0.238243125233539,0.392509775263701
"ABAT","chocolate4","ABAT","ABAT",2,"N","ABAT",-0.0953009957948488,0.735477411570976,0.147104882007829,0.60085675329279,0.336329776540774,0.220312847891374
"ABCA1","magenta3","ABCA1","ABCA1",3,"N","ABCA1",-0.0955568515694299,0.734790799766156,-0.206430532624035,0.460423538619247,-0.416472509952685,0.1225378005616
"ABCA12","blue2","ABCA12","ABCA12",2,"N","ABCA12",0.0143479623196455,0.959524294109293,0.180152748545335,0.520556320054831,0.171566773286747,0.540941216200683
"ABCA13","lightsteelblue1","ABCA13","ABCA13",3,"N","ABCA13",0.156619954376214,0.577239265023355,0.0255471639753781,0.927990251845908,0.0268520528038778,0.924321645460468
"ABCA2","darkturquoise","ABCA2","ABCA2",2,"N","ABCA2",0.00384268547440312,0.989155958235701,-0.186079926141536,0.506690575210274,-0.192242152572407,0.492458619868344
"ABCA3","coral","ABCA3","ABCA3",2,"N","ABCA3",-0.0131174096033379,0.962993399692166,-0.264209710479036,0.341317805027438,-0.661010303634948,0.00729502391938663
"ABCA4","orange","ABCA4","ABCA4",2,"N","ABCA4",0.300847552386516,0.275895125044084,-0.447761336399462,0.0941900647883352,-0.516532517090183,0.0486788156508006
"ABCA5","blue3","ABCA5","ABCA5",2,"N","ABCA5",-0.0821036876948072,0.771135065771372,-0.147598186913366,0.59962294032583,-0.0337334121202667,0.905000180280924
"ABCA7","blue2","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",-0.030874973321531,0.913020679733287,-0.223509738846928,0.42327119190059,-0.051226528463718,0.856128082048866
"ABCB10","chocolate4","ABCB10","ABCB10",3,"N","ABCB10",-0.238918102268746,0.39112979715202,-0.102343083243328,0.716648769070135,0.165665449771554,0.555151945679173
"ABCB11","indianred4","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",-0.35884334721118,0.189017681454703,-0.000829136388940756,0.997660120308176,0.177402358734265,0.527048206806748
"ABCB6","chocolate4","ABCB6","ABCB6",3,"N","ABCB6",0.302601573822111,0.27296689502858,0.352901610134488,0.196979877018708,0.179779256944005,0.521435760345478
"ABCB7","darkmagenta","ABCB7","ABCB7",2,"N","ABCB7",0.30910671865661,0.262270827337112,0.3068547754214,0.265944351351397,-0.199551891053424,0.47582476706758
