"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","30/309","495/12339",6.89595183049579e-06,0.00744073202510496,0.00715727211038827,"CXCR2/FZD9/GAL/GALR1/GHRH/GNAI2/GNRH1/GPR21/GPR63/GRPR/HRH2/HTR5A/IAPP/JAK2/LHCGR/LOC113982386/LOC113993087/LOC113993299/LOC114002880/MCHR1/OPRL1/PDE3B/PRLH/QRFPR/RGS20/RORB/RXFP3/SST/SSTR2/UTS2B",30
"GO:0007218","GO:0007218","neuropeptide signaling pathway","10/309","88/12339",6.72453014762004e-05,0.0362788401464101,0.0348967722397545,"GAL/GALR1/GRPR/LOC113993087/MCHR1/OPRL1/QRFPR/RXFP3/SCG5/SSTR2",10
"GO:0051560","GO:0051560","mitochondrial calcium ion homeostasis","4/309","16/12339",0.000553176292247074,0.198959073111531,0.191379587423023,"IMMT/MAIP1/MCUB/MICU3",4
"GO:0019915","GO:0019915","lipid storage","4/309","18/12339",0.000893993133589832,0.238479855631949,0.229394797964101,"CD36/LDAH/NRIP1/PNPLA2",4
"GO:0007611","GO:0007611","learning or memory","6/309","50/12339",0.00147712142577976,0.238479855631949,0.229394797964101,"CHRNA7/CRHBP/FZD9/GRPR/LOC113982386/PAFAH1B1",6
"GO:0030518","GO:0030518","intracellular steroid hormone receptor signaling pathway","3/309","10/12339",0.00163762032056157,0.238479855631949,0.229394797964101,"AR/NR3C1/PGR",3
"GO:0036444","GO:0036444","calcium import into the mitochondrion","3/309","10/12339",0.00163762032056157,0.238479855631949,0.229394797964101,"MAIP1/MCUB/MICU3",3
"GO:0007399","GO:0007399","nervous system development","16/309","280/12339",0.00186085360817547,0.238479855631949,0.229394797964101,"ACTL6B/BPNT1/FGF13/FZD9/GDPD5/GFRA3/GPSM1/LOC113991778/LSAMP/NEURL1B/NRN1/NRN1L/OLFM1/PCSK2/PHF10/PLPPR1",16
"GO:0007565","GO:0007565","female pregnancy","6/309","53/12339",0.00200447495332531,0.238479855631949,0.229394797964101,"CORIN/CRHBP/GNRH1/IGFBP2/LOC113982386/PAPPA",6
"GO:0090280","GO:0090280","positive regulation of calcium ion import","3/309","11/12339",0.00221019328667238,0.238479855631949,0.229394797964101,"LOC113982386/LOC114000001/STC1",3
"GO:0016486","GO:0016486","peptide hormone processing","3/309","12/12339",0.00289263428984876,0.283741127158801,0.272931809549366,"CORIN/PCSK2/SCG5",3
"GO:1902600","GO:1902600","proton transmembrane transport","7/309","83/12339",0.00471592832892687,0.407049952776949,0.391543098812811,"ATP6V0A1/ATP6V0A4/ATP6V1C2/CLCN4/SLC15A2/SLC25A14/SLC9A3",7
"GO:0043951","GO:0043951","negative regulation of cAMP-mediated signaling","3/309","15/12339",0.00565871111367399,0.407049952776949,0.391543098812811,"LOC113993299/PDE3B/RNF157",3
"GO:0086004","GO:0086004","regulation of cardiac muscle cell contraction","3/309","15/12339",0.00565871111367399,0.407049952776949,0.391543098812811,"LOC113988585/LOC113993299/STC1",3
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport","3/309","15/12339",0.00565871111367399,0.407049952776949,0.391543098812811,"CACNA1D/DPP6/LOC113998420",3
"GO:0047496","GO:0047496","vesicle transport along microtubule","3/309","16/12339",0.00683691145708019,0.451922970104539,0.434706647015341,"BICDL1/KIF5B/PAFAH1B1",3
"GO:0009408","GO:0009408","response to heat","4/309","31/12339",0.00712019508042369,0.451922970104539,0.434706647015341,"EIF2B3/LOC114000001/NOS1/SST",4
"GO:0071157","GO:0071157","negative regulation of cell cycle arrest","3/309","17/12339",0.00814999000026541,0.488546622793688,0.469935095921737,"FZD9/LOC114001323/TFAP4",3
"GO:0007584","GO:0007584","response to nutrient","5/309","51/12339",0.00873572846839707,0.493318254005473,0.474524948489729,"ACSL3/GNAI2/IGFBP2/SFRP2/SST",5
"GO:0007281","GO:0007281","germ cell development","3/309","18/12339",0.0096011893736005,0.493318254005473,0.474524948489729,"CELF4/MSH2/PAFAH1B1",3
"GO:0071385","GO:0071385","cellular response to glucocorticoid stimulus","3/309","18/12339",0.0096011893736005,0.493318254005473,0.474524948489729,"NR3C1/SSTR2/STC1",3
"GO:0007267","GO:0007267","cell-cell signaling","9/309","145/12339",0.010728694966313,0.525109049064008,0.50510465087275,"AR/FGF13/FGF9/GHRH/GNRH1/IAPP/PGR/SFRP2/SST",9
