"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007084","GO:0007084","mitotic nuclear envelope reassembly","2/41","10/12339",0.000476658117592235,0.051700629587422,0.0420244906217614,"LMNA/PPP2R2A",2
"GO:0033622","GO:0033622","integrin activation","2/41","10/12339",0.000476658117592235,0.051700629587422,0.0420244906217614,"LOC113991759/TLN1",2
"GO:0036498","GO:0036498","IRE1-mediated unfolded protein response","3/41","50/12339",0.000598848991360101,0.051700629587422,0.0420244906217614,"LMNA/LOC113991759/TLN1",3
"GO:0031398","GO:0031398","positive regulation of protein ubiquitination","3/41","66/12339",0.00134758582130736,0.0723434908409407,0.0588038942011304,"AXIN1/LOC113992269/TRAF6",3
"GO:0032147","GO:0032147","activation of protein kinase activity","3/41","67/12339",0.00140751379406324,0.0723434908409407,0.0588038942011304,"AXIN1/LOC113985569/TRAF6",3
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","2/41","19/12339",0.00177731631190869,0.0723434908409407,0.0588038942011304,"AXIN1/LOC113992269",2
"GO:0006936","GO:0006936","muscle contraction","3/41","81/12339",0.00242746270698442,0.0723434908409407,0.0588038942011304,"LOC113991759/PXN/TLN1",3
"GO:0007160","GO:0007160","cell-matrix adhesion","3/41","82/12339",0.00251386647709833,0.0723434908409407,0.0588038942011304,"ADAMTS13/PXN/SNED1",3
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","3/41","82/12339",0.00251386647709833,0.0723434908409407,0.0588038942011304,"ADAMTS13/LOC113991759/TLN1",3
"GO:0030866","GO:0030866","cortical actin cytoskeleton organization","2/41","31/12339",0.00471278465112997,0.122061122464266,0.0992165189711573,"LOC113991759/TLN1",2
"GO:0007043","GO:0007043","cell-cell junction assembly","2/41","36/12339",0.00631849005095919,0.148771720290766,0.120928039252807,"LOC113991759/TLN1",2
"GO:0070527","GO:0070527","platelet aggregation","2/41","42/12339",0.00852746564786064,0.184051133566325,0.149604660488783,"LOC113991759/TLN1",2
"GO:0032088","GO:0032088","negative regulation of NF-kappaB transcription factor activity","2/41","51/12339",0.0123924206520267,0.193616847022024,0.15738008292788,"LOC113992269/LOC114003832",2
"GO:0051865","GO:0051865","protein autoubiquitination","2/41","52/12339",0.012861232275651,0.193616847022024,0.15738008292788,"RNF122/TRAF6",2
"GO:0016485","GO:0016485","protein processing","2/41","57/12339",0.0153193501715012,0.193616847022024,0.15738008292788,"ADAMTS13/ECE1",2
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","2/41","59/12339",0.0163548359250785,0.193616847022024,0.15738008292788,"LOC113992269/THBS4",2
"GO:0046330","GO:0046330","positive regulation of JNK cascade","2/41","69/12339",0.0219623891590696,0.193616847022024,0.15738008292788,"AXIN1/TRAF6",2
"GO:0001889","GO:0001889","liver development","2/41","72/12339",0.02377950893112,0.193616847022024,0.15738008292788,"HLX/LOC113992269",2
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","2/41","81/12339",0.0295848322981715,0.193616847022024,0.15738008292788,"ADAMTS13/TRAF6",2
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","2/41","83/12339",0.0309445558430578,0.193616847022024,0.15738008292788,"ADAMTS13/ZFP36L2",2
"GO:0009100","GO:0009100","glycoprotein metabolic process","1/41","10/12339",0.0327472755025666,0.193616847022024,0.15738008292788,"ADAMTS13",1
"GO:0044351","GO:0044351","macropinocytosis","1/41","10/12339",0.0327472755025666,0.193616847022024,0.15738008292788,"SNX33",1
"GO:0048484","GO:0048484","enteric nervous system development","1/41","10/12339",0.0327472755025666,0.193616847022024,0.15738008292788,"HLX",1
"GO:0050891","GO:0050891","multicellular organismal water homeostasis","1/41","10/12339",0.0327472755025666,0.193616847022024,0.15738008292788,"SCNN1G",1
"GO:0060396","GO:0060396","growth hormone receptor signaling pathway","1/41","10/12339",0.0327472755025666,0.193616847022024,0.15738008292788,"PXN",1
"GO:2000601","GO:2000601","positive regulation of Arp2/3 complex-mediated actin nucleation","1/41","10/12339",0.0327472755025666,0.193616847022024,0.15738008292788,"FCHSD2",1
"GO:0030208","GO:0030208","dermatan sulfate biosynthetic process","1/41","11/12339",0.035963867416298,0.193616847022024,0.15738008292788,"UST",1
"GO:0034162","GO:0034162","toll-like receptor 9 signaling pathway","1/41","11/12339",0.035963867416298,0.193616847022024,0.15738008292788,"TRAF6",1
"GO:0055078","GO:0055078","sodium ion homeostasis","1/41","11/12339",0.035963867416298,0.193616847022024,0.15738008292788,"SCNN1G",1
"GO:0060216","GO:0060216","definitive hemopoiesis","1/41","11/12339",0.035963867416298,0.193616847022024,0.15738008292788,"ZFP36L2",1
"GO:0070886","GO:0070886","positive regulation of calcineurin-NFAT signaling cascade","1/41","11/12339",0.035963867416298,0.193616847022024,0.15738008292788,"PTBP1",1
"GO:0097320","GO:0097320","plasma membrane tubulation","1/41","11/12339",0.035963867416298,0.193616847022024,0.15738008292788,"SNX33",1
"GO:2000010","GO:2000010","positive regulation of protein localization to cell surface","1/41","11/12339",0.035963867416298,0.193616847022024,0.15738008292788,"SNX33",1
"GO:0016486","GO:0016486","peptide hormone processing","1/41","12/12339",0.0391700226268696,0.193616847022024,0.15738008292788,"ECE1",1
"GO:0035195","GO:0035195","gene silencing by miRNA","1/41","12/12339",0.0391700226268696,0.193616847022024,0.15738008292788,"WTIP",1
"GO:0043171","GO:0043171","peptide catabolic process","1/41","12/12339",0.0391700226268696,0.193616847022024,0.15738008292788,"ADAMTS13",1
"GO:0048557","GO:0048557","embryonic digestive tract morphogenesis","1/41","12/12339",0.0391700226268696,0.193616847022024,0.15738008292788,"HLX",1
"GO:0051044","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","1/41","12/12339",0.0391700226268696,0.193616847022024,0.15738008292788,"SNX33",1
"GO:0075522","GO:0075522","IRES-dependent viral translational initiation","1/41","12/12339",0.0391700226268696,0.193616847022024,0.15738008292788,"PTBP1",1
"GO:0006048","GO:0006048","UDP-N-acetylglucosamine biosynthetic process","1/41","13/12339",0.0423657741537863,0.193616847022024,0.15738008292788,"AMDHD2",1
"GO:0019229","GO:0019229","regulation of vasoconstriction","1/41","13/12339",0.0423657741537863,0.193616847022024,0.15738008292788,"ECE1",1
"GO:0021675","GO:0021675","nerve development","1/41","13/12339",0.0423657741537863,0.193616847022024,0.15738008292788,"NRTN",1
"GO:0035331","GO:0035331","negative regulation of hippo signaling","1/41","13/12339",0.0423657741537863,0.193616847022024,0.15738008292788,"WTIP",1
"GO:1900153","GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","1/41","13/12339",0.0423657741537863,0.193616847022024,0.15738008292788,"ZFP36L2",1
"GO:2000737","GO:2000737","negative regulation of stem cell differentiation","1/41","13/12339",0.0423657741537863,0.193616847022024,0.15738008292788,"ZFP36L2",1
"GO:0002576","GO:0002576","platelet degranulation","2/41","99/12339",0.0426744612456834,0.193616847022024,0.15738008292788,"LOC113991759/TLN1",2
"GO:0043488","GO:0043488","regulation of mRNA stability","2/41","100/12339",0.0434554835536508,0.193616847022024,0.15738008292788,"IGF2BP3/ZFP36L2",2
"GO:0002009","GO:0002009","morphogenesis of an epithelium","1/41","14/12339",0.0455511549147544,0.193616847022024,0.15738008292788,"FRAS1",1
"GO:0007154","GO:0007154","cell communication","1/41","14/12339",0.0455511549147544,0.193616847022024,0.15738008292788,"FRAS1",1
"GO:0007250","GO:0007250","activation of NF-kappaB-inducing kinase activity","1/41","14/12339",0.0455511549147544,0.193616847022024,0.15738008292788,"TRAF6",1
"GO:0045806","GO:0045806","negative regulation of endocytosis","1/41","14/12339",0.0455511549147544,0.193616847022024,0.15738008292788,"SNX33",1
"GO:0061158","GO:0061158","3'-UTR-mediated mRNA destabilization","1/41","14/12339",0.0455511549147544,0.193616847022024,0.15738008292788,"ZFP36L2",1
"GO:2000009","GO:2000009","negative regulation of protein localization to cell surface","1/41","14/12339",0.0455511549147544,0.193616847022024,0.15738008292788,"SNX33",1
"GO:0033146","GO:0033146","regulation of intracellular estrogen receptor signaling pathway","1/41","15/12339",0.0487261977259917,0.193616847022024,0.15738008292788,"AXIN1",1
"GO:0043011","GO:0043011","myeloid dendritic cell differentiation","1/41","15/12339",0.0487261977259917,0.193616847022024,0.15738008292788,"TRAF6",1
"GO:0045672","GO:0045672","positive regulation of osteoclast differentiation","1/41","15/12339",0.0487261977259917,0.193616847022024,0.15738008292788,"TRAF6",1
"GO:0070262","GO:0070262","peptidyl-serine dephosphorylation","1/41","15/12339",0.0487261977259917,0.193616847022024,0.15738008292788,"PPP2R2A",1
"GO:1903077","GO:1903077","negative regulation of protein localization to plasma membrane","1/41","15/12339",0.0487261977259917,0.193616847022024,0.15738008292788,"LOC113996800",1
"GO:1904886","GO:1904886","beta-catenin destruction complex disassembly","1/41","15/12339",0.0487261977259917,0.193616847022024,0.15738008292788,"AXIN1",1
