"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036444","GO:0036444","calcium import into the mitochondrion","2/41","10/12339",0.000476658117592235,0.0533863679975634,0.0446342839969555,"OPA1/SMDT1",2
"GO:0015693","GO:0015693","magnesium ion transport","2/41","12/12339",0.000696160100005695,0.0533863679975634,0.0446342839969555,"NIPAL3/TUSC3",2
"GO:1903830","GO:1903830","magnesium ion transmembrane transport","2/41","13/12339",0.000821004303873186,0.0533863679975634,0.0446342839969555,"NIPAL3/TUSC3",2
"GO:0048208","GO:0048208","COPII vesicle coating","3/41","60/12339",0.00102174866980983,0.0533863679975634,0.0446342839969555,"CD59/CTSC/PDCD6",3
"GO:0006094","GO:0006094","gluconeogenesis","2/41","36/12339",0.00631849005095919,0.190577336079763,0.159334363078523,"GOT1/PGAM1",2
"GO:0006110","GO:0006110","regulation of glycolytic process","2/41","40/12339",0.00775763430789386,0.190577336079763,0.159334363078523,"NUP35/PGAM1",2
"GO:0022900","GO:0022900","electron transport chain","2/41","46/12339",0.0101653829875823,0.190577336079763,0.159334363078523,"LOC114003129/NDUFAF2",2
"GO:0006487","GO:0006487","protein N-linked glycosylation","2/41","48/12339",0.0110325763154168,0.190577336079763,0.159334363078523,"DOLPP1/TUSC3",2
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","2/41","49/12339",0.0114780384551505,0.190577336079763,0.159334363078523,"NDUFAF2/NDUFB1",2
"GO:0036297","GO:0036297","interstrand cross-link repair","2/41","50/12339",0.0119313380161417,0.190577336079763,0.159334363078523,"FANCE/NEIL3",2
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","3/41","159/12339",0.0156472492422877,0.190577336079763,0.159334363078523,"CD59/CTSC/PDCD6",3
"GO:0006919","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","2/41","68/12339",0.0213702139563789,0.190577336079763,0.159334363078523,"COL4A3/PDCD6",2
"GO:0019731","GO:0019731","antibacterial humoral response","1/41","10/12339",0.0327472755025666,0.190577336079763,0.159334363078523,"CAMP",1
"GO:0055089","GO:0055089","fatty acid homeostasis","1/41","10/12339",0.0327472755025666,0.190577336079763,0.159334363078523,"GOT1",1
"GO:0071233","GO:0071233","cellular response to leucine","1/41","10/12339",0.0327472755025666,0.190577336079763,0.159334363078523,"RRAGD",1
"GO:0070125","GO:0070125","mitochondrial translational elongation","2/41","87/12339",0.0337371827930383,0.190577336079763,0.159334363078523,"MRPL32/MRPL58",2
"GO:0070126","GO:0070126","mitochondrial translational termination","2/41","87/12339",0.0337371827930383,0.190577336079763,0.159334363078523,"MRPL32/MRPL58",2
"GO:0043312","GO:0043312","neutrophil degranulation","4/41","376/12339",0.0354250049978523,0.190577336079763,0.159334363078523,"CAMP/CD59/CTSC/PGAM1",4
"GO:0030836","GO:0030836","positive regulation of actin filament depolymerization","1/41","11/12339",0.035963867416298,0.190577336079763,0.159334363078523,"CFL2",1
"GO:0031274","GO:0031274","positive regulation of pseudopodium assembly","1/41","11/12339",0.035963867416298,0.190577336079763,0.159334363078523,"CDC42EP4",1
"GO:0051481","GO:0051481","negative regulation of cytosolic calcium ion concentration","1/41","11/12339",0.035963867416298,0.190577336079763,0.159334363078523,"GOT1",1
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","1/41","11/12339",0.035963867416298,0.190577336079763,0.159334363078523,"CAMP",1
"GO:0006536","GO:0006536","glutamate metabolic process","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"GOT1",1
"GO:0006607","GO:0006607","NLS-bearing protein import into nucleus","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"NUP35",1
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"WEE1",1
"GO:0010745","GO:0010745","negative regulation of macrophage derived foam cell differentiation","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"NR1H3",1
"GO:0010887","GO:0010887","negative regulation of cholesterol storage","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"NR1H3",1
"GO:0032270","GO:0032270","positive regulation of cellular protein metabolic process","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"NR1H3",1
"GO:0033147","GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"VPS18",1
"GO:0046039","GO:0046039","GTP metabolic process","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"OPA1",1
"GO:0048478","GO:0048478","replication fork protection","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"SMARCAL1",1
"GO:0051014","GO:0051014","actin filament severing","1/41","12/12339",0.0391700226268696,0.190577336079763,0.159334363078523,"CFL2",1
