"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030433","GO:0030433","ubiquitin-dependent ERAD pathway","4/92","58/12339",0.000902816836240044,0.241679035332205,0.236875064008562,"DNAJB14/LOC113995895/RNF103/UBE2G2",4
"GO:0006891","GO:0006891","intra-Golgi vesicle-mediated transport","3/92","28/12339",0.00114811893269456,0.241679035332205,0.236875064008562,"GABARAPL2/GOSR1/NAPG",3
"GO:0006885","GO:0006885","regulation of pH","2/92","10/12339",0.00238018834160345,0.285267593874748,0.279597191646209,"EDNRB/SLC26A4",2
"GO:0045600","GO:0045600","positive regulation of fat cell differentiation","3/92","41/12339",0.00348384939343142,0.285267593874748,0.279597191646209,"CREBL2/LOC113993849/SYAP1",3
"GO:0031573","GO:0031573","intra-S DNA damage checkpoint","2/92","13/12339",0.00406605449479364,0.285267593874748,0.279597191646209,"ATF2/EME1",2
"GO:0006112","GO:0006112","energy reserve metabolic process","2/92","15/12339",0.00542076187885507,0.285267593874748,0.279597191646209,"GNAS/KL",2
"GO:0031396","GO:0031396","regulation of protein ubiquitination","2/92","15/12339",0.00542076187885507,0.285267593874748,0.279597191646209,"DCUN1D1/PINK1",2
"GO:0033146","GO:0033146","regulation of intracellular estrogen receptor signaling pathway","2/92","15/12339",0.00542076187885507,0.285267593874748,0.279597191646209,"LOC113993849/UFSP2",2
"GO:0045071","GO:0045071","negative regulation of viral genome replication","2/92","17/12339",0.00695355873099759,0.325272025083332,0.318806435386088,"BTBD17/EIF2AK2",2
"GO:0051443","GO:0051443","positive regulation of ubiquitin-protein transferase activity","2/92","18/12339",0.00778502529817432,0.327749565053139,0.321234728093088,"DCUN1D1/PINK1",2
"GO:0046329","GO:0046329","negative regulation of JNK cascade","2/92","21/12339",0.0105316443846959,0.374770979711055,0.367321475301246,"DUSP3/PINK1",2
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","2/92","25/12339",0.0147579476869297,0.374770979711055,0.367321475301246,"ATF2/LOC113987950",2
"GO:0090383","GO:0090383","phagosome acidification","2/92","26/12339",0.0159110203656241,0.374770979711055,0.367321475301246,"ATP6V1C1/RAB39A",2
"GO:0000422","GO:0000422","autophagy of mitochondrion","2/92","31/12339",0.022224680102815,0.374770979711055,0.367321475301246,"GABARAPL2/PINK1",2
"GO:0015031","GO:0015031","protein transport","6/92","300/12339",0.0245289252597169,0.374770979711055,0.367321475301246,"CHMP1B/GABARAPL2/GOSR1/RAB39A/RBSN/WASHC5",6
"GO:0006695","GO:0006695","cholesterol biosynthetic process","2/92","34/12339",0.0264302153114629,0.374770979711055,0.367321475301246,"HMGCR/LOC113987727",2
"GO:0045540","GO:0045540","regulation of cholesterol biosynthetic process","2/92","34/12339",0.0264302153114629,0.374770979711055,0.367321475301246,"HMGCR/LOC113987727",2
"GO:0007049","GO:0007049","cell cycle","5/92","229/12339",0.0281807910748076,0.374770979711055,0.367321475301246,"ANAPC4/CREBL2/CSNK1A1/LOC113988166/LOC114001178",5
"GO:0016310","GO:0016310","phosphorylation","3/92","91/12339",0.0304326394948831,0.374770979711055,0.367321475301246,"AGK/PPIP5K1/TPK1",3
"GO:0006511","GO:0006511","ubiquitin-dependent protein catabolic process","5/92","234/12339",0.0305381850386025,0.374770979711055,0.367321475301246,"ANAPC4/LOC113985905/NDFIP2/PINK1/UBE2G2",5
"GO:0007032","GO:0007032","endosome organization","2/92","39/12339",0.0340857249457126,0.374770979711055,0.367321475301246,"LAPTM4B/WASHC5",2
"GO:0007080","GO:0007080","mitotic metaphase plate congression","2/92","39/12339",0.0340857249457126,0.374770979711055,0.367321475301246,"CHMP1B/SEH1L",2
"GO:0007254","GO:0007254","JNK cascade","2/92","39/12339",0.0340857249457126,0.374770979711055,0.367321475301246,"LOC113987950/MAP2K4",2
"GO:0034198","GO:0034198","cellular response to amino acid starvation","2/92","39/12339",0.0340857249457126,0.374770979711055,0.367321475301246,"EIF2AK2/SEH1L",2
"GO:0006468","GO:0006468","protein phosphorylation","7/92","419/12339",0.0367691339870456,0.374770979711055,0.367321475301246,"ATP23/CSNK1A1/EIF2AK2/LOC113987950/PINK1/RSRC1/STK26",7
"GO:0051301","GO:0051301","cell division","6/92","338/12339",0.0404263557202804,0.374770979711055,0.367321475301246,"ANAPC4/CHMP1B/CSNK1A1/LOC114001178/SEH1L/SKA3",6
"GO:0005975","GO:0005975","carbohydrate metabolic process","3/92","103/12339",0.0415916524214418,0.374770979711055,0.367321475301246,"CASD1/GPD1L/KL",3
"GO:0043525","GO:0043525","positive regulation of neuron apoptotic process","2/92","45/12339",0.0442557540604935,0.374770979711055,0.367321475301246,"ATF2/MAP2K4",2
"GO:0071364","GO:0071364","cellular response to epidermal growth factor stimulus","2/92","47/12339",0.0478663349227846,0.374770979711055,0.367321475301246,"DUSP3/SYAP1",2
"GO:0006307","GO:0006307","DNA dealkylation involved in DNA repair","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"ALKBH2",1
"GO:0006559","GO:0006559","L-phenylalanine catabolic process","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"TAT",1
"GO:0007191","GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"GNAS",1
"GO:0034498","GO:0034498","early endosome to Golgi transport","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"RBSN",1
"GO:0038003","GO:0038003","opioid receptor signaling pathway","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"OGFRL1",1
"GO:0045039","GO:0045039","protein insertion into mitochondrial inner membrane","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"AGK",1
"GO:0048484","GO:0048484","enteric nervous system development","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"EDNRB",1
"GO:0051967","GO:0051967","negative regulation of synaptic transmission, glutamatergic","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"ATAD1",1
"GO:0070989","GO:0070989","oxidative demethylation","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"ALKBH2",1
"GO:0080111","GO:0080111","DNA demethylation","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"ALKBH2",1
"GO:0090160","GO:0090160","Golgi to lysosome transport","1/92","10/12339",0.0721332075486053,0.374770979711055,0.367321475301246,"RBSN",1
