"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","turquoise","A1CF","A1CF",2,"N","A1CF",0.103880677858746,0.747998874220531,0.523932737617206,0.0803888510316143,0.330646314539908,0.29383644400559
"A2M","darkturquoise","A2M","A2M",2,"N","A2M",-0.234008515457321,0.464147820628648,-0.389747917379421,0.210424038764142,-0.426478632107151,0.166804473411051
"A2ML1","greenyellow","A2ML1","A2ML1",3,"N","A2ML1",0.738914451520368,0.00604254145910892,0.319304022908811,0.311697423682322,-0.157498280195191,0.624943118650457
"A4GNT","steelblue","A4GNT","A4GNT",3,"N","A4GNT",0.377587485351681,0.226252452966178,0.166421377166268,0.60519934895674,-0.315182360015501,0.318333328723044
"AAAS","blue","AAAS","AAAS",2,"N","AAAS",-0.244098448024374,0.44452526143846,0.00258066061845721,0.993649211902811,0.212743773839444,0.506785783216711
"AACS","greenyellow","AACS","AACS",3,"N","AACS",0.571071486161049,0.0524512472433576,0.319048660739227,0.312106314268162,0.0791252962430553,0.806893953317437
"AADAT","turquoise","AADAT","AADAT",2,"N","AADAT",0.165504638447701,0.607216908662697,0.116008083833612,0.71957246629038,0.382188796598682,0.220181764944313
"AAGAB","darkred","AAGAB","AAGAB",3,"N","AAGAB",0.0719582938442178,0.824132045721086,-0.249229632950914,0.434701715189465,-0.00160556650815486,0.996048814752071
"AAK1","blue","AAK1","AAK1",2,"N","AAK1",0.163237329921036,0.612217600730932,-0.0611126728906501,0.850351934796566,-0.494650476574413,0.102079684450051
"AAMDC","turquoise","AAMDC","AAMDC",3,"N","AAMDC",-0.0245880001090919,0.939539218259097,0.0465222524169119,0.885841387463342,0.397164433660457,0.201110312475502
"AAMP","black","AAMP","AAMP",3,"N","AAMP",0.0776534968839668,0.810427746892527,-0.517270878992024,0.0850185677620993,-0.146508904310564,0.649572280886559
"AAR2","turquoise","AAR2","AAR2",3,"N","AAR2",-0.204393217001935,0.523986508501751,-0.228496275407747,0.475035845150937,-0.0693350060900215,0.830459859208549
"AARS","blue","AARS","AARS",3,"N","AARS",0.543168253582143,0.0679917773404288,-0.0563716666770849,0.861858962673859,-0.412664200511003,0.182474408794973
"AARS2","blue","AARS2","AARS2",3,"N","AARS2",0.249690764183329,0.433824088707334,0.0051335939147209,0.987366990134087,-0.369560118508252,0.237080772135289
"AASDH","turquoise","AASDH","AASDH",2,"N","AASDH",0.0457423472760005,0.887744398457941,0.383369937302133,0.218639441243595,0.161643905596113,0.615741124850422
"AASDHPPT","turquoise","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.292125093750569,0.356865662344459,-0.137556279981748,0.669878904577279,0.415396507593838,0.179305090817956
"AASS","turquoise","AASS","AASS",2,"N","AASS",0.664098927007946,0.0185095301220804,0.413041635430548,0.182034545111362,0.114884209692837,0.722193723497463
"AATF","saddlebrown","AATF","AATF",3,"N","AATF",-0.589760430111697,0.0435550798901983,0.0551931136908596,0.864723375026905,0.099595539703135,0.758114395843688
"AATK","darkmagenta","AATK","AATK",2,"N","AATK",0.1483629519954,0.645393564195123,0.0206763498245226,0.949145788399247,0.0538959314795619,0.867877837306632
"ABAT","greenyellow","ABAT","ABAT",2,"N","ABAT",0.146277935858171,0.650093498396301,0.102230545231666,0.751889959639345,0.286760890543273,0.366168341580873
"ABCA1","blue","ABCA1","ABCA1",3,"N","ABCA1",0.0490676375184137,0.879634408390168,-0.0471154527683558,0.88439431642646,-0.724122210127067,0.00774432273051508
"ABCA12","turquoise","ABCA12","ABCA12",2,"N","ABCA12",0.063598183014999,0.844329840048646,0.244382551261362,0.443978587270163,0.333631041994512,0.289234431268695
"ABCA2","blue","ABCA2","ABCA2",2,"N","ABCA2",0.0477223267738787,0.882914225025421,-0.271969489542341,0.392466906910472,-0.463520571050842,0.129085700555744
"ABCA3","blue","ABCA3","ABCA3",2,"N","ABCA3",-0.0699490055353684,0.828977946291969,-0.477875702971901,0.116112630941185,-0.665166142840886,0.0182544296996178
"ABCA4","darkred","ABCA4","ABCA4",2,"N","ABCA4",0.514301744483944,0.0871390403975014,-0.201860658662099,0.529252276381306,-0.0745000768091664,0.818009987838158
"ABCA5","blue","ABCA5","ABCA5",2,"N","ABCA5",-0.344118025770753,0.273391254641115,-0.0408392852483268,0.899720234280933,-0.334375098072374,0.288093597269499
"ABCA7","darkred","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",-0.125885426193881,0.696657021198951,-0.279554351307047,0.378863501077916,0.0474945444326652,0.88346971821236
"ABCB10","turquoise","ABCB10","ABCB10",3,"N","ABCB10",-0.162271338829349,0.614352793497006,-0.303455094439705,0.337634405827033,0.137928115266474,0.669031335389121
"ABCB11","turquoise","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",-0.316667461520831,0.315933412176866,-0.0873861349069358,0.787122800458135,0.583450652815643,0.046428955443957
"ABCB6","black","ABCB6","ABCB6",3,"N","ABCB6",0.0045710938191022,0.988751137199189,-0.680926953493308,0.0147797422958027,-0.321795314651267,0.307723910294696
"ABCB7","greenyellow","ABCB7","ABCB7",2,"N","ABCB7",0.289492822219163,0.361414826728523,0.218886408967506,0.494294838298492,-0.255499507455536,0.422842978605928
"ABCB8","green","ABCB8","ABCB8",2,"N","ABCB8",0.0867596470331449,0.788618320629498,-0.335488160980335,0.28639174634565,-0.537813823653342,0.0713003077087243
"ABCB9","black","ABCB9","ABCB9",2,"N","ABCB9",-0.0163446338693067,0.959791201461272,-0.601960411963657,0.0383594063805871,-0.00185264347422158,0.995440781064925
"ABCC10","darkred","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.1733577289244,0.590016657397263,0.0356471326475478,0.912423096895976,-0.00875714935667501,0.97845140617673
"ABCC2","blue","ABCC2","ABCC2",2,"N","ABCC2",-0.0126193664688482,0.968951120931648,-0.277965632709689,0.381692434760705,-0.67019350485616,0.0170872343734301
"ABCC3","blue","ABCC3","ABCC3",2,"N","ABCC3",0.037019859895532,0.909062706274498,0.0681112970285644,0.83341483988149,-0.492071221373456,0.104159621148831
"ABCC4","greenyellow","ABCC4","ABCC4",3,"N","ABCC4",0.0879283145963711,0.785829069017182,0.401073807763409,0.196304348830171,0.0187144715761146,0.953966354941069
"ABCC5","darkgreen","ABCC5","ABCC5",2,"N","ABCC5",-0.48948373814057,0.106274380646427,-0.0249758163465502,0.938587169157274,-0.177261442566597,0.581537560606281
"ABCC8","midnightblue","ABCC8","ABCC8",2,"N","ABCC8",-0.196694301592258,0.540063848859908,0.0475891430559474,0.883239014523579,-0.0710506804958896,0.826320293799629
"ABCC9","blue","ABCC9","ABCC9",1,"N","ABCC9",0.272013003650129,0.392388163619318,0.0844130050709739,0.794225893856226,-0.277829992878231,0.381934463519296
"ABCD2","greenyellow","ABCD2","ABCD2",3,"N","ABCD2",-0.012462820604139,0.969336128207889,0.291749188099364,0.357513449333778,0.00716138412637551,0.982377486315693
"ABCD3","turquoise","ABCD3","ABCD3",3,"N","ABCD3",-0.0107003535259191,0.973671118401356,0.275061594625266,0.386891502592257,0.438080191774649,0.154322719592996
"ABCD4","darkgreen","ABCD4","ABCD4",2,"N","ABCD4",-0.793806491239838,0.00205229291970492,-0.176049461794062,0.584164922150054,-0.0551726884625276,0.864773030767277
"ABCE1","darkolivegreen","ABCE1","ABCE1",3,"N","ABCE1",-0.0432742914596234,0.893770132263999,0.153651455613271,0.633526097689614,-0.390940059582907,0.208909581014442
"ABCF2","blue","ABCF2","ABCF2",3,"N","ABCF2",-0.0230255768494731,0.943375531667941,-0.0612430206093671,0.850035932650001,-0.284756946386802,0.36967588770205
"ABCF3","blue","ABCF3","ABCF3",3,"N","ABCF3",0.318850766767322,0.312423389864874,-0.167112734854222,0.603679481609294,-0.419651467073751,0.174438434169462
"ABCG1","blue","ABCG1","ABCG1",1,"N","ABCG1",-0.194882974896513,0.54387622290972,0.102908948687125,0.750289607026798,0.226220101930753,0.479565900757174
"ABCG2","green","ABCG2","ABCG2",3,"N","ABCG2",-0.167956555979331,0.601826399472621,-0.33777143887527,0.28291856429105,-0.326424106603447,0.300416425332877
"ABCG4","blue","ABCG4","ABCG4",2,"N","ABCG4",0.0379913094598181,0.906685453560565,-0.0459713948488,0.887185453046646,-0.367931096190406,0.239315044944155
"ABHD10","turquoise","ABHD10","ABHD10",3,"N","ABHD10",0.0750585000516694,0.816666225187589,-0.383854729520771,0.218008295459652,-0.360321170064257,0.249916909382118
"ABHD11","black","ABHD11","ABHD11",2,"N","ABHD11",0.389922165869582,0.210202264223874,-0.490388749691463,0.105531492473553,-0.412612828904739,0.1825343285132
"ABHD12","greenyellow","ABHD12","ABHD12",3,"N","ABHD12",0.316393409606103,0.316375525654412,0.128716708760657,0.690130222955741,-0.293365076141431,0.354733248598665
"ABHD12B","blue","ABHD12","ABHD12",3,"N","ABHD12B/ABHD12",-0.045704487208372,0.88783679301118,-0.0999582071926131,0.7572569075764,-0.4071650495112,0.188958184898258
"ABHD13","turquoise","ABHD13","ABHD13",3,"N","ABHD13",-0.396417215530225,0.202037025456805,0.00946112290098131,0.97671954650152,0.483859491700888,0.110969119249083
"ABHD14A","darkred","ABHD14A","ABHD14A",3,"N","ABHD14A",0.26080667699312,0.412931186853898,-0.220285404100572,0.491469525196001,-0.0608498901631734,0.850989060720322
"ABHD15","darkred","ABHD15","ABHD15",2,"N","ABHD15",-0.186461284450248,0.561747613743198,-0.296356490549554,0.349616803199505,0.00227719813250633,0.994395996467934
"ABHD17A","blue","ABHD17A","ABHD17A",3,"N","ABHD17A",0.0256230385914815,0.936998469860507,-0.302455750490067,0.339307714074616,-0.492249107257644,0.104015273105564
