"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006388","GO:0006388","tRNA splicing, via endonucleolytic cleavage and ligation","3/104","15/12249",0.000251195785676588,0.123337130767205,0.119780727275257,"CLP1/CPSF4/RTCB",3
"GO:0006270","GO:0006270","DNA replication initiation","3/104","28/12249",0.00166931459010628,0.273608188791932,0.265718746966975,"MCM3/MCM5/ORC1",3
"GO:0032922","GO:0032922","circadian regulation of gene expression","4/104","70/12249",0.00292662109607729,0.273608188791932,0.265718746966975,"DRD3/LOC113996216/LOC113999640/USP2",4
"GO:0006094","GO:0006094","gluconeogenesis","3/104","35/12249",0.00319470678537791,0.273608188791932,0.265718746966975,"ENO1/MDH1/PGK1",3
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","2/104","11/12249",0.00373560067162456,0.273608188791932,0.265718746966975,"MCM3/MCM5",2
"GO:0045598","GO:0045598","regulation of fat cell differentiation","2/104","11/12249",0.00373560067162456,0.273608188791932,0.265718746966975,"LOC113996216/LOC113999640",2
"GO:0098609","GO:0098609","cell-cell adhesion","5/104","124/12249",0.00406018912970923,0.273608188791932,0.265718746966975,"ANXA2/FAT2/FBLIM1/LOC113988363/PDLIM1",5
"GO:0006953","GO:0006953","acute-phase response","2/104","12/12249",0.00445797456280134,0.273608188791932,0.265718746966975,"AHSG/IL6R",2
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","2/104","13/12249",0.00523945016238504,0.285841114414562,0.27759893842812,"LOC113987020/XRN2",2
"GO:1903146","GO:1903146","regulation of autophagy of mitochondrion","2/104","15/12249",0.00697557538017697,0.342500751166689,0.332624804970544,"ATP13A2/PINK1",2
"GO:0022904","GO:0022904","respiratory electron transport chain","2/104","16/12249",0.00792819189668224,0.350628215225672,0.340517915097501,"AIFM2/PINK1",2
"GO:0006541","GO:0006541","glutamine metabolic process","2/104","18/12249",0.00999754585164848,0.350628215225672,0.340517915097501,"GLUD1/PHGDH",2
"GO:0010821","GO:0010821","regulation of mitochondrion organization","2/104","18/12249",0.00999754585164848,0.350628215225672,0.340517915097501,"ATP13A2/PINK1",2
"GO:0036158","GO:0036158","outer dynein arm assembly","2/104","18/12249",0.00999754585164848,0.350628215225672,0.340517915097501,"DNAI1/TTC25",2
"GO:0006805","GO:0006805","xenobiotic metabolic process","3/104","56/12249",0.0119012800374403,0.367433438920045,0.356838563256041,"LOC113996216/LOC113999640/LOC114002604",3
"GO:0007224","GO:0007224","smoothened signaling pathway","3/104","59/12249",0.0137050657971863,0.367433438920045,0.356838563256041,"DYRK3/NSDHL/TCTN2",3
"GO:0006699","GO:0006699","bile acid biosynthetic process","2/104","23/12249",0.0160832138399438,0.367433438920045,0.356838563256041,"LOC113997657/SLC27A5",2
"GO:0010906","GO:0010906","regulation of glucose metabolic process","2/104","23/12249",0.0160832138399438,0.367433438920045,0.356838563256041,"LOC113996216/LOC113999640",2
"GO:0061621","GO:0061621","canonical glycolysis","2/104","23/12249",0.0160832138399438,0.367433438920045,0.356838563256041,"ENO1/PGK1",2
"GO:0006096","GO:0006096","glycolytic process","2/104","26/12249",0.0203228658215198,0.367433438920045,0.356838563256041,"ENO1/PGK1",2
"GO:0006260","GO:0006260","DNA replication","4/104","124/12249",0.0211765653012017,0.367433438920045,0.356838563256041,"MCM3/MCM5/NFIX/ORC1",4
"GO:0010951","GO:0010951","negative regulation of endopeptidase activity","3/104","70/12249",0.0215880212948101,0.367433438920045,0.356838563256041,"AHSG/ANXA2/LOC113992709",3
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","2/104","27/12249",0.021828722590766,0.367433438920045,0.356838563256041,"DNAJB12/DNAJC18",2
"GO:0060612","GO:0060612","adipose tissue development","2/104","27/12249",0.021828722590766,0.367433438920045,0.356838563256041,"LOC113996216/LOC113999640",2
"GO:0021510","GO:0021510","spinal cord development","2/104","29/12249",0.0249741820354129,0.367433438920045,0.356838563256041,"MPST/PHGDH",2
"GO:0031100","GO:0031100","animal organ regeneration","2/104","31/12249",0.0282923253245403,0.367433438920045,0.356838563256041,"ATIC/LOC113997657",2
"GO:0042531","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","2/104","31/12249",0.0282923253245403,0.367433438920045,0.356838563256041,"IL6R/LOC113982346",2
"GO:0032508","GO:0032508","DNA duplex unwinding","3/104","78/12249",0.028586982637178,0.367433438920045,0.356838563256041,"MCM3/MCM5/RUVBL1",3
"GO:0006369","GO:0006369","termination of RNA polymerase II transcription","2/104","32/12249",0.0300140778253224,0.367433438920045,0.356838563256041,"CLP1/CPSF4",2
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","2/104","33/12249",0.0317765320720574,0.367433438920045,0.356838563256041,"LOC113996216/LOC113999640",2
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","3/104","85/12249",0.0355826899475523,0.367433438920045,0.356838563256041,"MCM3/MCM5/ORC1",3
"GO:0008542","GO:0008542","visual learning","2/104","36/12249",0.0373001483587261,0.367433438920045,0.356838563256041,"DRD3/RIC8A",2
"GO:0006897","GO:0006897","endocytosis","4/104","151/12249",0.0395812665870972,0.367433438920045,0.356838563256041,"LOC113991780/MIA3/PACSIN3/TMPRSS13",4
"GO:0003341","GO:0003341","cilium movement","2/104","38/12249",0.0411716608127719,0.367433438920045,0.356838563256041,"DNAI1/TTC25",2
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","4/104","156/12249",0.0437447058714104,0.367433438920045,0.356838563256041,"CTSC/DCTN4/MIA3/YKT6",4
"GO:0010212","GO:0010212","response to ionizing radiation","2/104","41/12249",0.0472474831738984,0.367433438920045,0.356838563256041,"COP1/INTS3",2
"GO:0007162","GO:0007162","negative regulation of cell adhesion","2/104","42/12249",0.0493414406417408,0.367433438920045,0.356838563256041,"ARHGDIA/MIA3",2
"GO:0061025","GO:0061025","membrane fusion","2/104","42/12249",0.0493414406417408,0.367433438920045,0.356838563256041,"RABIF/YKT6",2
"GO:0030855","GO:0030855","epithelial cell differentiation","2/104","43/12249",0.0514685466729179,0.367433438920045,0.356838563256041,"ANXA4/PGK1",2
"GO:0022900","GO:0022900","electron transport chain","2/104","45/12249",0.0558194071002168,0.367433438920045,0.356838563256041,"DMGDH/PHGDH",2
"GO:0060041","GO:0060041","retina development in camera-type eye","2/104","45/12249",0.0558194071002168,0.367433438920045,0.356838563256041,"TGIF2/XRN2",2
"GO:0090502","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","2/104","46/12249",0.0580417860301255,0.367433438920045,0.356838563256041,"ERN1/LOC113987020",2
"GO:0016070","GO:0016070","RNA metabolic process","2/104","47/12249",0.0602945623816928,0.367433438920045,0.356838563256041,"POLR2B/XRN2",2
"GO:0007611","GO:0007611","learning or memory","2/104","50/12249",0.0672286703403556,0.367433438920045,0.356838563256041,"DRD3/S100B",2
"GO:0060964","GO:0060964","regulation of gene silencing by miRNA","2/104","51/12249",0.0695964748820722,0.367433438920045,0.356838563256041,"LOC113987020/POLR2B",2
"GO:0006098","GO:0006098","pentose-phosphate shunt","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"PGD",1
"GO:0006359","GO:0006359","regulation of transcription by RNA polymerase III","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"ZNF76",1
"GO:0006885","GO:0006885","regulation of pH","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"ATP6V0A4",1
"GO:0007191","GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"DRD3",1
"GO:0010466","GO:0010466","negative regulation of peptidase activity","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"LOC113992709",1
"GO:0010470","GO:0010470","regulation of gastrulation","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"TGIF2",1
"GO:0030011","GO:0030011","maintenance of cell polarity","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"PDLIM1",1
"GO:0033539","GO:0033539","fatty acid beta-oxidation using acyl-CoA dehydrogenase","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"GCDH",1
"GO:0033673","GO:0033673","negative regulation of kinase activity","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"AHSG",1
"GO:0035194","GO:0035194","post-transcriptional gene silencing by RNA","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"LOC113987020",1
"GO:0035278","GO:0035278","miRNA mediated inhibition of translation","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"LOC113987020",1
"GO:0042445","GO:0042445","hormone metabolic process","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"ALDH9A1",1
"GO:0042738","GO:0042738","exogenous drug catabolic process","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"LOC114002604",1
"GO:0048715","GO:0048715","negative regulation of oligodendrocyte differentiation","1/104","10/12249",0.0817621821387164,0.367433438920045,0.356838563256041,"DRD3",1
