"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A2M","blue","A2M","A2M",2,"N","A2M",-0.476137643181197,0.0622676991035723,-0.466584476220449,0.0684723948548758,-0.411919729292002,0.11288481595376
"A2ML1","coral3","A2ML1","A2ML1",3,"N","A2ML1",0.226131026378634,0.399709349012082,0.0485917685413192,0.858169501970337,-0.0713041435823045,0.79300243017515
"A4GNT","blue","A4GNT","A4GNT",3,"N","A4GNT",-0.0259167784083078,0.924098008021617,0.257449769915242,0.335735951602189,0.51025742317543,0.0434426517507677
"AAAS","darkorange","AAAS","AAAS",2,"N","AAAS",-0.0487427852733375,0.857732884258534,0.0504731363160428,0.852732902800114,0.0476908417035542,0.860775047290204
"AACS","coral3","AACS","AACS",3,"N","AACS",-0.0681916117133436,0.801867043371688,0.0474922519862096,0.861349565085623,0.0961995255416411,0.723033376277509
"AADAT","tan","AADAT","AADAT",2,"N","AADAT",0.348082951863697,0.186447282439968,-0.0729843653957559,0.788226878884903,0.144791497057741,0.592637009312713
"AAGAB","darkorange","AAGAB","AAGAB",3,"N","AAGAB",-0.258691641064652,0.333327503875783,-0.174351937897414,0.518401429554664,0.36651531475436,0.162625057923619
"AAK1","blue2","AAK1","AAK1",2,"N","AAK1",-0.215785886329273,0.42217654572035,-0.00100023627336758,0.997066695782545,-0.634109720025332,0.00833956137254428
"AAMDC","blue","AAMDC","AAMDC",3,"N","AAMDC",-0.0376177653040944,0.889993055678081,-0.284937440300167,0.284767664935877,0.207624992493335,0.440352557326224
"AAMP","palevioletred3","AAMP","AAMP",3,"N","AAMP",-0.111523048667872,0.680931007364394,-0.102005978742543,0.706984634901226,-0.0783316474509617,0.773076483365473
"AAR2","coral1","AAR2","AAR2",3,"N","AAR2",0.20163139896693,0.453950630417429,0.0148613439509108,0.956436612204579,0.176826897332531,0.512386675408585
"AARS","blue","AARS","AARS",3,"N","AARS",-0.290716060232346,0.274681238285014,-0.416567299204776,0.108479924776163,-0.0210508661164416,0.938320545460352
"AARS2","brown4","AARS2","AARS2",3,"N","AARS2",0.446830939848635,0.0827124290223101,0.324801802538698,0.219657348345618,0.020076581495661,0.941170506297941
"AASDH","tan","AASDH","AASDH",2,"N","AASDH",-0.00768388052476011,0.977468780562343,0.56456203901561,0.0227053501256689,0.287207671806209,0.280778861129132
"AASDHPPT","coral3","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",0.193222057343694,0.473377808208913,0.135342184705023,0.617241241772403,0.29883462901922,0.260881668704625
"AASS","darkorange2","AASS","AASS",2,"N","AASS",0.470110739876709,0.0661318534418121,0.108881060069455,0.688131223296943,-0.143805029649387,0.59518681954893
"AATF","coral1","AATF","AATF",3,"N","AATF",0.425325557339423,0.100509615675535,0.113632721998538,0.675199963167501,-0.358879436931147,0.172232164502056
"AATK","coral1","AATK","AATK",2,"N","AATK",0.115889288469783,0.66908834286743,0.625458147833041,0.00956421220925605,0.377819264743006,0.149072814868836
"ABAT","blue","ABAT","ABAT",2,"N","ABAT",-0.519505617889989,0.0391696099325509,-0.518988749229709,0.0393997209707968,-0.165180807303513,0.540967801512065
