"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","17/1486","38/11978",7.86768000423937e-07,0.00164434512088603,0.00164434512088603,"NDUFA1/NDUFA11/NDUFA4/NDUFA4L2/NDUFA5/NDUFAF1/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB7/NDUFS1/NDUFS4/NDUFS5/NDUFS6/NDUFS8/NDUFV3",17
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","18/1486","49/11978",1.13094010915545e-05,0.0118183241406744,0.0118183241406744,"ACAD9/ECSIT/LOC113987270/NDUFA1/NDUFA11/NDUFA5/NDUFAF1/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB7/NDUFS1/NDUFS4/NDUFS5/NDUFS6/NDUFS8/NDUFV3",18
"GO:0048013","GO:0048013","ephrin receptor signaling pathway","25/1486","92/11978",9.75498085711374e-05,0.0679596999712257,0.0679596999712257,"ACTB/ACTR2/ACTR3/ARPC1A/ARPC1B/ARPC2/ARPC5/CDC42/EPHA4/EPHA8/EPHB2/EPHB3/GIT1/HCK/KALRN/LOC113993801/LOC113998953/NCK2/NCSTN/NGEF/RAC1/RHOA/SDC2/SS18/WASL",25
"GO:0034314","GO:0034314","Arp2/3 complex-mediated actin nucleation","8/1486","15/11978",0.000158020585345904,0.0825657558432348,0.0825657558432348,"ACTR2/ACTR3/ARPC1A/ARPC1B/ARPC2/ARPC5/ARPC5L/WHAMM",8
"GO:1902600","GO:1902600","proton transmembrane transport","21/1486","75/11978",0.000218558867311185,0.0913576065360753,0.0913576065360753,"ATP12A/ATP2C1/ATP5MF/ATP6AP1L/ATP6V0B/ATP6V0E1/ATP6V1E1/HVCN1/LOC113983953/LOC113984288/LOC113985114/LOC113985195/LOC113985992/LOC114000835/LOC114003365/NDUFA4/NDUFA4L2/SLC17A5/SLC25A27/SLC2A10/SLC9A1",21
"GO:0035970","GO:0035970","peptidyl-threonine dephosphorylation","9/1486","20/11978",0.00031624764150067,0.110159595122733,0.110159595122733,"DUSP4/DUSP5/DUSP6/DUSP7/LOC113997232/PPM1A/PPM1B/PPM1E/PPP2CA",9
"GO:0043687","GO:0043687","post-translational protein modification","55/1486","285/11978",0.00050682915756806,0.151324705616749,0.151324705616749,"ANKRD9/APP/ASB1/ASB16/ASB7/BMP4/BTBD6/C3/CCN1/COP1/COPS5/COPS7A/CP/DCAF13/DCAF17/DCUN1D1/ELOC/EVA1A/FBXL5/FBXL7/FBXO22/FBXO32/FBXO9/FUCA2/IGFBP7/KLHL13/KLHL20/KLHL42/LAMC1/LOC113984874/LOC113987294/LOC113992168/LOC113999119/LOC113999601/MIA3/NUB1/PROC/PSMA1/PSMA3/PSMA4/PSMA7/PSMD10/PSMD11/PSME4/RAB2A/RAB5A/RBBP7/SCG2/SDC2/SKP1/SKP2/SOCS3/SPSB4/UBE2F/UBE2M",55
"GO:0043401","GO:0043401","steroid hormone mediated signaling pathway","8/1486","18/11978",0.000761688816063532,0.166575520037836,0.166575520037836,"BMP4/GPER1/LEF1/NR2E1/NR4A3/PAQR7/PGRMC2/PPARD",8
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway","14/1486","45/11978",0.000764213691952251,0.166575520037836,0.166575520037836,"ADCYAP1/GIT1/HOMER2/LOC114003843/PDCL/RGS11/RGS12/RGS14/RGS16/RGS2/RGS4/RGS5/ZDHHC3/ZDHHC7",14
"GO:0002281","GO:0002281","macrophage activation involved in immune response","6/1486","11/11978",0.00095641446911676,0.166575520037836,0.166575520037836,"IFI35/LOC113985745/LOC113986453/LOC113994309/LOC113998967/NMI",6
"GO:0006828","GO:0006828","manganese ion transport","6/1486","11/11978",0.00095641446911676,0.166575520037836,0.166575520037836,"ATP2C1/LOC113989062/LOC113992172/TRPC1/TRPC3/TRPC7",6
"GO:2000785","GO:2000785","regulation of autophagosome assembly","6/1486","11/11978",0.00095641446911676,0.166575520037836,0.166575520037836,"IFT20/IFT88/LOC113986160/LOC114002571/RAB5A/TBC1D14",6
"GO:1990573","GO:1990573","potassium ion import across plasma membrane","11/1486","33/11978",0.00147541133875441,0.237200745999748,0.237200745999748,"ATP12A/ATP1B1/HCN2/KCNJ11/KCNJ3/KCNJ6/LOC113985992/LOC113986621/LOC113999542/SLC12A2/SLC12A3",11
