"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001755","GO:0001755","neural crest cell migration","16/1250","45/11978",6.15992389219235e-06,0.0122582485454628,0.0122582485454628,"ACVR1/ALX1/ARTN/EDN3/EFNB1/LOC113982696/LOC113984504/LOC113988059/RADIL/SEMA3B/SEMA4A/SEMA4B/SEMA4D/SEMA4G/SHH/SOX8",16
"GO:0007411","GO:0007411","axon guidance","41/1250","208/11978",4.31854314825436e-05,0.0429695043251309,0.0429695043251309,"ARTN/B3GNT2/BMP7/DOK5/DRAXIN/EFNA1/EFNB1/EPHA1/GAB2/GFRA3/GPC1/LGI1/LOC113982696/LOC113983904/LOC113984118/LOC113984504/LOC113988059/LOC113990338/LRTM2/MAPK7/NEO1/NEXN/NPTN/NRP2/NTN4/PALLD/RAP1GAP/SEMA3B/SEMA4A/SEMA4B/SEMA4D/SEMA4G/SHC3/SHH/SIAH1/SLIT2/SRC/TUBB3/UNC5A/VLDLR/VSTM2L",41
"GO:0098962","GO:0098962","regulation of postsynaptic neurotransmitter receptor activity","8/1250","18/11978",0.000230554138146552,0.147669570015914,0.147669570015914,"BEGAIN/CACNG4/DLGAP3/LOC113982730/LOC114000047/NPTX1/NPTX2/SRC",8
"GO:0050919","GO:0050919","negative chemotaxis","12/1250","38/11978",0.000323723598337117,0.147669570015914,0.147669570015914,"LOC113982696/LOC113984504/LOC113988059/LRTM2/NRP2/PDGFA/SEMA3B/SEMA4A/SEMA4B/SEMA4D/SEMA4G/SLIT2",12
"GO:0035195","GO:0035195","gene silencing by miRNA","6/1250","11/11978",0.000371029070391743,0.147669570015914,0.147669570015914,"CNOT6/CNOT8/EIF6/LIMD1/MOV10L1/WTIP",6
"GO:0007267","GO:0007267","cell-cell signaling","26/1250","130/11978",0.000819935006102423,0.271945110357304,0.271945110357303,"ADORA2A/ADRA1A/BMP2/CCN5/CX3CL1/DHH/ECE2/EDN3/EFNA1/EFNB1/ESR2/FGF18/FGFBP2/GJA5/GPNMB/GUCA1B/INHBA/LOC113988059/LOC113991921/LOC113992470/LOC113993120/PDGFA/POMC/SEMA3B/SHH/SSTR3",26
"GO:0071470","GO:0071470","cellular response to osmotic stress","6/1250","13/11978",0.00114608101577412,0.325814460198644,0.325814460198644,"LOC113991483/LOC113991484/LOC113991485/LOC113991486/LOC114001824/PKD2",6
"GO:0009880","GO:0009880","embryonic pattern specification","7/1250","18/11978",0.00149508012636274,0.330578827940206,0.330578827940206,"BMP7/EFNB1/RIPPLY2/SATB2/SHH/SMAD3/ZBTB16",7
"GO:0055074","GO:0055074","calcium ion homeostasis","7/1250","18/11978",0.00149508012636274,0.330578827940206,0.330578827940206,"CAMK2N1/CIB2/FAM20A/KL/LOC114004119/SNCA/TNFSF11",7
"GO:0051764","GO:0051764","actin crosslink formation","5/1250","10/11978",0.00197333220625354,0.392693109044455,0.392693109044455,"BAIAP2/DPYSL3/GAS2/GAS2L1/MARCKS",5
