"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006695","GO:0006695","cholesterol biosynthetic process","10/504","34/11978",8.38205832692513e-07,0.00115420943161759,0.00115420943161759,"FDFT1/HMGCR/HMGCS1/HSD17B7/INSIG1/INSIG2/LOC113987727/LOC114002832/MSMO1/SQLE",10
"GO:0016126","GO:0016126","sterol biosynthetic process","6/504","13/11978",7.18178611703312e-06,0.0049446597415773,0.0049446597415773,"CH25H/HMGCR/INSIG1/INSIG2/MSMO1/SQLE",6
"GO:0045540","GO:0045540","regulation of cholesterol biosynthetic process","8/504","33/11978",5.08545009560411e-05,0.0233422159388229,0.0233422159388229,"FDFT1/GPAM/HMGCR/HMGCS1/LOC113987727/LOC114002832/SQLE/SREBF2",8
"GO:0071404","GO:0071404","cellular response to low-density lipoprotein particle stimulus","5/504","16/11978",0.000383891454980749,0.132154633377123,0.132154633377123,"CD81/CD9/HMGCS1/PPARG/SREBF2",5
"GO:0033189","GO:0033189","response to vitamin A","4/504","10/11978",0.000531149653225844,0.146278614498398,0.146278614498398,"CAT/LOC113999589/LRAT/PPARG",4
"GO:0006625","GO:0006625","protein targeting to peroxisome","9/504","66/11978",0.00168122518317177,0.319092136128711,0.319092136128711,"ACOX1/AGPS/CAT/DAO/GSTK1/LOC113996048/NUDT19/PEX26/UBE2D3",9
"GO:0019432","GO:0019432","triglyceride biosynthetic process","4/504","14/11978",0.00221331135449871,0.319092136128711,0.319092136128711,"ACSL4/GK/GPAM/LPIN2",4
"GO:2000009","GO:2000009","negative regulation of protein localization to cell surface","4/504","14/11978",0.00221331135449871,0.319092136128711,0.319092136128711,"LEPROT/LEPROTL1/PICALM/TAX1BP3",4
"GO:0006629","GO:0006629","lipid metabolic process","11/504","96/11978",0.00228068955048323,0.319092136128711,0.319092136128711,"ACOX1/ACSL4/CH25H/CRK/CRKL/HMGCS1/LCAT/LPIN2/PPARG/SREBF2/TTPA",11
"GO:0035666","GO:0035666","TRIF-dependent toll-like receptor signaling pathway","5/504","23/11978",0.00231729946353458,0.319092136128711,0.319092136128711,"BIRC2/LOC113996048/TLR6/TRAF3/UBE2D3",5
"GO:0055010","GO:0055010","ventricular cardiac muscle tissue morphogenesis","4/504","16/11978",0.00376371792515624,0.471149052994558,0.471149052994558,"FGFR2/FOXC1/PKP2/PROX1",4
"GO:0032933","GO:0032933","SREBP signaling pathway","3/504","10/11978",0.00712108777133031,0.754287527778602,0.754287527778602,"INSIG1/INSIG2/SREBF2",3
"GO:0051901","GO:0051901","positive regulation of mitochondrial depolarization","3/504","10/11978",0.00712108777133031,0.754287527778602,0.754287527778602,"DCN/LOC113997171/TSPO",3
"GO:0009062","GO:0009062","fatty acid catabolic process","3/504","11/11978",0.00948886498139999,0.825050313897098,0.825050313897098,"ACOX1/LPIN2/NUDT19",3
"GO:0060339","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","3/504","12/11978",0.0122616593176511,0.825050313897098,0.825050313897098,"CNOT7/PTPN2/YTHDF3",3
"GO:0006914","GO:0006914","autophagy","10/504","105/11978",0.0128578014560773,0.825050313897098,0.825050313897098,"ATG4C/ATG7/CHMP2B/LOC113989323/RAB1A/RAB39B/RNF166/TBC1D12/TMEM59/VTI1A",10
