"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","midnightblue","A1CF","A1CF",2,"N","A1CF",0.0652023700913245,0.810401914158382,0.575498402798504,0.0196690082752706,0.329259528364476,0.213025614525284
"A2M","midnightblue","A2M","A2M",2,"N","A2M",-0.540727653839155,0.0305651139461705,-0.124556348675562,0.645798008892102,-0.226900162578892,0.398064953112541
"A2ML1","brown","A2ML1","A2ML1",3,"N","A2ML1",0.347496794098874,0.187240383061997,0.134559741756513,0.619296256289575,-0.472581247608748,0.064527268217806
"A4GNT","brown","A4GNT","A4GNT",3,"N","A4GNT",0.33515427003343,0.204455160476061,0.041006887342179,0.880145920433516,-0.199646025478526,0.458500823243535
"AAAS","brown","AAAS","AAAS",2,"N","AAAS",-0.152875496655181,0.571911743091581,0.0912303853774393,0.736854567536111,-0.0959650520711787,0.723683777596189
"AACS","midnightblue","AACS","AACS",3,"N","AACS",0.2928629773343,0.270989803391096,0.346171622770834,0.189041545926666,0.0354322853328894,0.896351085576527
"AADAT","paleturquoise","AADAT","AADAT",2,"N","AADAT",0.32288949033736,0.222542133837751,0.190589108997884,0.4795426297794,0.349152786500521,0.185005430585781
"AAGAB","brown4","AAGAB","AAGAB",3,"N","AAGAB",-0.051177557094665,0.850698919134646,-0.527445921478711,0.0357602877622504,0.0176328388820636,0.948321773902743
"AAK1","magenta","AAK1","AAK1",2,"N","AAK1",-0.219600257529393,0.413817306911505,0.207563410348047,0.440491208060027,-0.310460977025998,0.241875781413032
"AAMDC","floralwhite","AAMDC","AAMDC",3,"N","AAMDC",0.0654673699137578,0.809644464033808,-0.19007299973502,0.48075559534106,-0.012114575201759,0.964483014462834
"AAMP","brown","AAMP","AAMP",3,"N","AAMP",0.314308617681069,0.235781954200112,-0.198610509416739,0.460883053349549,0.126060150566043,0.64178745107207
"AAR2","brown","AAR2","AAR2",3,"N","AAR2",-0.263206188296851,0.324655888526154,-0.244049561090898,0.362351615001,-0.253669865579406,0.343127551908286
"AARS","brown4","AARS","AARS",3,"N","AARS",0.522022915183407,0.0380633388088022,0.25892480830084,0.332876413172451,0.267147858346847,0.317192451015803
"AARS2","royalblue","AARS2","AARS2",3,"N","AARS2",0.357343585712489,0.174209019908419,0.266175685460527,0.319023874418271,-0.406675180904146,0.118003988793635
"AASDH","darkgreen","AASDH","AASDH",2,"N","AASDH",-0.23194745313621,0.387364200541572,0.151206853829416,0.576164542349547,0.0159511372126228,0.953245216336151
"AASDHPPT","brown4","AASDHPPT","AASDHPPT",3,"N","AASDHPPT",-0.00191637189085649,0.994380056133585,-0.419839752281518,0.105451687969898,0.038912590380864,0.886229070574161
"AASS","midnightblue","AASS","AASS",2,"N","AASS",-0.0452452054099544,0.867854722208592,0.286412460993248,0.282172196180206,0.0783431991601254,0.773043835002591
"AATF","brown4","AATF","AATF",3,"N","AATF",0.131145133069777,0.628295216028492,-0.117009085530214,0.666062701729969,0.249674092528238,0.351040716795966
"AATK","magenta","AATK","AATK",2,"N","AATK",-0.156805266947285,0.561948880323411,0.282856962790444,0.288452788153485,-0.127215186026379,0.638713317087401
"ABAT","blue","ABAT","ABAT",2,"N","ABAT",-0.00721325016262321,0.9788484997191,-0.364840129933802,0.164701250446926,0.190353442056033,0.480096312716458
