"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032094","GO:0032094","response to food","2/45","15/12287",0.00133606243885797,0.178923336533522,0.154302940827895,"BCL10/OPRM1",2
"GO:0008154","GO:0008154","actin polymerization or depolymerization","2/45","16/12287",0.0015233762382218,0.178923336533522,0.154302940827895,"CAPG/WASL",2
"GO:0001676","GO:0001676","long-chain fatty acid metabolic process","2/45","19/12287",0.00215570284980147,0.178923336533522,0.154302940827895,"ACAD9/ACSL4",2
"GO:2000310","GO:2000310","regulation of NMDA receptor activity","2/45","31/12287",0.00570078523157918,0.208042943385036,0.179415601143721,"LOC113983406/OPRM1",2
"GO:0002224","GO:0002224","toll-like receptor signaling pathway","2/45","33/12287",0.00644318357546711,0.208042943385036,0.179415601143721,"BCL10/IRAK4",2
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/45","36/12287",0.00763459893845993,0.208042943385036,0.179415601143721,"BCL10/GRAMD4",2
"GO:0007254","GO:0007254","JNK cascade","2/45","39/12287",0.00891754195419097,0.208042943385036,0.179415601143721,"IRAK4/MAP4K3",2
"GO:0016192","GO:0016192","vesicle-mediated transport","3/45","130/12287",0.0118817694640289,0.208042943385036,0.179415601143721,"ARL5B/LOC113995129/LOC113998023",3
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","3/45","140/12287",0.0144937014745573,0.208042943385036,0.179415601143721,"ARHGEF7/LOC113995129/LOC113998023",3
"GO:0001843","GO:0001843","neural tube closure","2/45","66/12287",0.0242540778928225,0.208042943385036,0.179415601143721,"BCL10/SEC24B",2
"GO:0031398","GO:0031398","positive regulation of protein ubiquitination","2/45","66/12287",0.0242540778928225,0.208042943385036,0.179415601143721,"BCL10/XIAP",2
"GO:0035556","GO:0035556","intracellular signal transduction","4/45","328/12287",0.0314906084383754,0.208042943385036,0.179415601143721,"ARHGEF7/DCLK1/IRAK4/MAP4K3",4
"GO:0000185","GO:0000185","activation of MAPKKK activity","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"MAP4K3",1
"GO:0007276","GO:0007276","gamete generation","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"SPIN1",1
"GO:0018242","GO:0018242","protein O-linked glycosylation via serine","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"GALNT1",1
"GO:0018243","GO:0018243","protein O-linked glycosylation via threonine","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"GALNT1",1
"GO:0033173","GO:0033173","calcineurin-NFAT signaling cascade","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"NFATC3",1
"GO:0035865","GO:0035865","cellular response to potassium ion","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"LOC113983406",1
"GO:0038003","GO:0038003","opioid receptor signaling pathway","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"OPRM1",1
"GO:0072425","GO:0072425","signal transduction involved in G2 DNA damage checkpoint","1/45","10/12287",0.0360393204528827,0.208042943385036,0.179415601143721,"ABRAXAS1",1
