"","ID","logT","studyyear","T.doy.adj","time.of.day","T.tElap","Tresid","Status","ID_year","ID_year_Tday","meanT","correctedT","relativeT"
"1","BBMX",-2.04022082852655,"17-18",-29,413,14,-1.7999441256994,"floa","BBMX_17-18","BBMX_17-18_-29",-1.7999441256994,-1.7999441256994,0
"2","BBOX",-1.89711998488588,"16-17",-9,428,6,-1.48306164343324,"floa","BBOX_16-17","BBOX_16-17_-9",-1.48306164343324,-1.48306164343324,0
"3","BGMX",1.38629436111989,"15-16",35,433,6,0.929039767470617,"terr","BGMX_15-16","BGMX_15-16_35",0.333845189376546,0.929039767470617,0.595194578094072
"4","BGMX",0.920282753143692,"15-16",-15,482,21,0.842726898653522,"terr","BGMX_15-16","BGMX_15-16_-15",0.333845189376546,0.842726898653522,0.508881709276976
"5","BGMX",-0.301105092783922,"16-17",-23,480,6,0.150340885437387,"terr","BGMX_16-17","BGMX_16-17_-23",0.333845189376546,0.150340885437387,-0.183504303939158
"6","BGMX",-1.04982212449868,"16-17",7,672,16.0261780104712,-0.388952812511846,"terr","BGMX_16-17","BGMX_16-17_7",0.333845189376546,-0.388952812511846,-0.722798001888392
"7","BGMX",-0.3147107448397,"16-17",49,574,10,0.136071207833049,"terr","BGMX_16-17","BGMX_16-17_49",0.333845189376546,0.136071207833049,-0.197773981543497
"8","BGOX",-0.7339691750802,"15-16",-15,659,72,0.22865911578919,"floa","BGOX_15-16","BGOX_15-16_-15",0.69831045381624,0.22865911578919,-0.46965133802705
"9","BGOX",0.246860077931526,"16-17",-16,576,12,0.834019036044886,"floa","BGOX_16-17","BGOX_16-17_-16",0.69831045381624,0.834019036044886,0.135708582228646
"10","BGOX",0.900161349944271,"16-17",48,427,4,1.19011618576465,"floa","BGOX_16-17","BGOX_16-17_48",0.69831045381624,1.19011618576465,0.491805731948412
"11","BGOX",-0.0943106794712413,"16-17",14,534,8,0.357524853947333,"floa","BGOX_16-17","BGOX_16-17_14",0.69831045381624,0.357524853947333,-0.340785599868907
"12","BGOX",0.828551817566148,"17-18",-11,454,5,0.881233077535138,"terr","BGOX_17-18","BGOX_17-18_-11",0.69831045381624,0.881233077535138,0.182922623718898
"13","BMBX",-0.49429632181478,"16-17",-5,457,2,-0.154223066599189,"floa","BMBX_16-17","BMBX_16-17_-5",-0.0446224724858093,-0.154223066599189,-0.10960059411338
"14","BMBX",-0.0408219945202552,"17-18",7,402,10,0.0649781216275707,"floa","BMBX_17-18","BMBX_17-18_7",-0.0446224724858093,0.0649781216275707,0.10960059411338
"15","BMGX",-2.40794560865187,"16-17",47,488,28,-1.63405599513433,"floa","BMGX_16-17","BMGX_16-17_47",-1.63405599513433,-1.63405599513433,0
"16","BOBX",-1.51412773262978,"15-16",29,429,3,-2.02157200492212,"floa","BOBX_15-16","BOBX_15-16_29",-0.910364607055472,-2.02157200492212,-1.11120739786665
"17","BOBX",0.0582689081239758,"15-16",-15,561,10,-0.206542640450163,"floa","BOBX_15-16","BOBX_15-16_-15",-0.910364607055472,-0.206542640450163,0.703821966605309
"18","BOBX",-2.30258509299405,"16-17",-23,484,4,-1.88846670343904,"floa","BOBX_16-17","BOBX_16-17_-23",-0.910364607055472,-1.88846670343904,-0.978102096383571
"19","BOBX",-1.51412773262978,"17-18",-16,461,19,-1.18159938394823,"terr","BOBX_17-18","BOBX_17-18_-16",-0.910364607055472,-1.18159938394823,-0.271234776892757
"20","BOBX",0.802001585472027,"17-18",13,408,2,0.746357697482195,"terr","BOBX_17-18","BOBX_17-18_13",-0.910364607055472,0.746357697482195,1.65672230453767
"21","BRBX",-2.20727491318972,"17-18",41,460,8,-2.17252296974324,"floa","BRBX_17-18","BRBX_17-18_41",-1.73736212986113,-2.17252296974324,-0.43516083988211
"22","BRBX",-1.83258146374831,"17-18",-29,476,28,-1.30220128997902,"floa","BRBX_17-18","BRBX_17-18_-29",-1.73736212986113,-1.30220128997902,0.435160839882111
"23","BROX",0.0392207131532813,"16-17",8,412,24,0.770150879794537,"terr","BROX_16-17","BROX_16-17_8",0.178708969842524,0.770150879794537,0.591441909952013
"24","BROX",-1.23787435600162,"16-17",-29,413,26,-0.412732940109488,"terr","BROX_16-17","BROX_16-17_-29",0.178708969842524,-0.412732940109488,-0.591441909952013
"25","BWOX",-0.478035800943,"15-16",-3,555,16,-0.646900353812239,"floa","BWOX_15-16","BWOX_15-16_-3",0.456067467187629,-0.646900353812239,-1.10296782099987
"26","BWOX",0.727548607277278,"16-17",-8,532,7,1.19233543935901,"terr","BWOX_16-17","BWOX_16-17_-8",0.456067467187629,1.19233543935901,0.736267972171383
"27","BWOX",-0.116533816255952,"16-17",39,467,12,0.353912335926188,"terr","BWOX_16-17","BWOX_16-17_39",0.456067467187629,0.353912335926188,-0.102155131261441
"28","BWOX",0.364643113587909,"17-18",-10,409,25,0.787522661121879,"terr","BWOX_17-18","BWOX_17-18_-10",0.456067467187629,0.787522661121879,0.331455193934251
"29","BWOX",0.609765571620894,"17-18",7,443,3,0.593467253343303,"terr","BWOX_17-18","BWOX_17-18_7",0.456067467187629,0.593467253343303,0.137399786155675
"30","BWYX",-0.798507696217772,"15-16",-11,452,11,-1.08450980810585,"floa","BWYX_15-16","BWYX_15-16_-11",-0.667496076834545,-1.08450980810585,-0.417013731271305
"31","BWYX",-0.867500567704723,"17-18",25,555,26,-0.431412280646322,"floa","BWYX_17-18","BWYX_17-18_25",-0.667496076834545,-0.431412280646322,0.236083796188222
"32","BWYX",-0.462035459596559,"17-18",36,432,5,-0.486566141751462,"floa","BWYX_17-18","BWYX_17-18_36",-0.667496076834545,-0.486566141751462,0.180929935083083
"33","BX",-2.04022082852655,"16-17",-16,496,19,-1.34331072896406,"floa","BX_16-17","BX_16-17_-16",-1.34331072896406,-1.34331072896406,0
"34","BXBL",0.576613364303994,"15-16",-21,984,20,0.647660020296088,"terr","BXBL_15-16","BXBL_15-16_-21",0.647660020296088,0.647660020296088,0
"35","BXMM",1.52388002407245,"15-16",-1,489,13,1.27323986014787,"floa","BXMM_15-16","BXMM_15-16_-1",1.27323986014787,1.27323986014787,0
"36","BXMW",-0.59783700075562,"15-16",-10,752,14,-0.732463582187894,"floa","BXMW_15-16","BXMW_15-16_-10",0.176968558575098,-0.732463582187894,-0.909432140762992
"37","BXMW",0.418710334858185,"16-17",-13,460,3,0.790987273238492,"floa","BXMW_16-17","BXMW_16-17_-13",0.176968558575098,0.790987273238492,0.614018714663393
"38","BXMW",0.231111720963387,"17-18",-14,426,15,0.472381984674697,"terr","BXMW_17-18","BXMW_17-18_-14",0.176968558575098,0.472381984674697,0.295413426099599
"39","BXMY",1.23256026117785,"15-16",-17,416,34,1.38795906842472,"terr","BXMY_15-16","BXMY_15-16_-17",0.528070383982133,1.38795906842472,0.859888684442591
"40","BXMY",1.21194097397511,"15-16",29,424,9,0.8186956484723,"terr","BXMY_15-16","BXMY_15-16_29",0.528070383982133,0.8186956484723,0.290625264490167
"41","BXMY",-1.66073120682165,"16-17",9,485,3,-1.31342081906581,"terr","BXMY_16-17","BXMY_16-17_9",0.528070383982133,-1.31342081906581,-1.84149120304795
"42","BXMY",0.802001585472027,"16-17",-21,412,11,1.32541466888445,"terr","BXMY_16-17","BXMY_16-17_-21",0.528070383982133,1.32541466888445,0.797344284902313
"43","BXMY",-0.385662480811985,"17-18",-17,411,27,0.0869065286565872,"terr","BXMY_17-18","BXMY_17-18_-17",0.528070383982133,0.0869065286565872,-0.441163855325546
