studyyear,date,doy,doy.adj,mean.temp,ID1,Status,ID_date,ID_year,Tmanip,timesincemanip,pings,num.terr.ping,num.int,num.part,pings_terr,num.int_terr,num.part_terr,weight,mean.stab,pingsL,num.intL,num.partL,pings_terrL,num.int_terrL,num.part_terrL
17-18,12/24/17,358,-7,26.3,BBMX,floa,BBMX_2017-12-24,BBMX_17-18,none,NA,24,2,1,1,0,0,0,1,0.142857143,3.17805383,0.693147181,0.693147181,0,0,0
17-18,2/11/18,42,42,28,BBMX,floa,BBMX_2018-02-11,BBMX_17-18,none,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-18,12/22/17,356,-9,27.1,BBMX,floa,BBMX_2017-12-22,BBMX_17-18,none,NA,2,1,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0
17-18,1/18/18,18,18,23.8,BBMX,floa,BBMX_2018-01-18,BBMX_17-18,none,NA,96,1,9,5,0,0,0,1.8,0.284259259,4.564348191,2.302585093,1.791759469,0,0,0
17-18,1/19/18,19,19,23.8,BBMX,floa,BBMX_2018-01-19,BBMX_17-18,none,NA,37,2,0,0,0,0,0,0,0,3.610917913,0,0,0,0,0
17-18,12/21/17,355,-10,26.6,BBMX,floa,BBMX_2017-12-21,BBMX_17-18,none,NA,16,3,2,2,0,0,0,1,0.064583333,2.772588722,1.098612289,1.098612289,0,0,0
17-18,1/20/18,20,20,22.7,BBMX,floa,BBMX_2018-01-20,BBMX_17-18,none,NA,100,2,6,4,0,0,0,1.5,0.210010823,4.605170186,1.945910149,1.609437912,0,0,0
17-18,12/23/17,357,-8,27.6,BBMX,floa,BBMX_2017-12-23,BBMX_17-18,none,NA,39,5,6,5,0,0,0,1.2,0.213762626,3.663561646,1.945910149,1.791759469,0,0,0
17-18,1/22/18,22,22,22.6,BBMX,floa,BBMX_2018-01-22,BBMX_17-18,none,NA,57,2,1,1,0,0,0,1,0.333333333,4.043051268,0.693147181,0.693147181,0,0,0
17-18,1/17/18,17,17,22.7,BBMX,floa,BBMX_2018-01-17,BBMX_17-18,none,NA,224,3,12,4,0,0,0,3,0.31547619,5.411646052,2.564949357,1.609437912,0,0,0
17-18,12/19/17,353,-12,27.4,BBMX,floa,BBMX_2017-12-19,BBMX_17-18,none,NA,30,3,3,3,0,0,0,1,0.054040404,3.401197382,1.386294361,1.386294361,0,0,0
17-18,1/21/18,21,21,21.9,BBMX,floa,BBMX_2018-01-21,BBMX_17-18,none,NA,52,1,2,1,0,0,0,2,0.285714286,3.951243719,1.098612289,0.693147181,0,0,0
16-17,1/5/17,5,5,26.1,BBOX,floa,BBOX_2017-01-05,BBOX_16-17,none,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16-17,2/12/17,43,43,27.8,BBOX,floa,BBOX_2017-02-12,BBOX_16-17,none,NA,9,2,6,2,0,0,0,3,0.111585366,2.197224577,1.945910149,1.098612289,0,0,0
16-17,2/18/17,49,49,25.4,BBOX,floa,BBOX_2017-02-18,BBOX_16-17,none,NA,1,1,1,1,0,0,0,1,1,0,0.693147181,0.693147181,0,0,0
16-17,1/6/17,6,6,22.6,BBOX,floa,BBOX_2017-01-06,BBOX_16-17,none,NA,49,2,8,4,0,0,0,2,0.088080741,3.891820298,2.197224577,1.609437912,0,0,0
16-17,2/27/17,58,58,21.8,BBOX,floa,BBOX_2017-02-27,BBOX_16-17,none,NA,4,1,1,1,0,0,0,1,0.111111111,1.386294361,0.693147181,0.693147181,0,0,0
16-17,2/13/17,44,44,27.8,BBOX,floa,BBOX_2017-02-13,BBOX_16-17,none,NA,5,1,2,2,0,0,0,1,0.034722222,1.609437912,1.098612289,1.098612289,0,0,0
16-17,2/1/17,32,32,23.9,BBOX,floa,BBOX_2017-02-01,BBOX_16-17,none,NA,2,1,2,2,0,0,0,1,0.5,0.693147181,1.098612289,1.098612289,0,0,0
16-17,1/7/17,7,7,23.3,BBOX,floa,BBOX_2017-01-07,BBOX_16-17,none,NA,8,1,1,1,0,0,0,1,0.021276596,2.079441542,0.693147181,0.693147181,0,0,0
16-17,2/9/17,40,40,26.6,BBOX,floa,BBOX_2017-02-09,BBOX_16-17,none,NA,12,2,2,2,0,0,0,1,0.044834308,2.48490665,1.098612289,1.098612289,0,0,0
16-17,3/4/17,63,63,25.4,BBOX,floa,BBOX_2017-03-04,BBOX_16-17,none,NA,72,4,8,5,0,0,0,1.6,0.096246118,4.276666119,2.197224577,1.791759469,0,0,0
