"best_anno","most_freq_anno","anno_score","was_loc","GeneID"
"CFAP100","CFAP100","3","Y","LOC113981955"
"DDR1","DDR1","3","Y","LOC113998275"
"ZNF629","LOC113990825","1","Y","LOC113990825"
"ZNF629","LOC113989756","1","Y","LOC113989756"
"ARHGAP39","ARHGAP39","3","Y","LOC114000840"
"DAP3","DAP3","3","Y","LOC114001480"
"MSTO1","MSTO1","4","Y","LOC114002103"
"GON4L","GON4L","2","Y","LOC114003348"
"SYT11","SYT11","2","Y","LOC114002770"
"GRID1","GRID1","3","Y","LOC113982360"
"SPATA16","SPATA16","4","Y","LOC113989199"
"GSTA5","LOC113990605","1","Y","LOC113990605"
"GSTA4","GSTA4","2","Y","LOC113991029"
"APEH","APEH","3","Y","LOC113994192"
"INTS6","INTS6","3","Y","LOC113997719"
"HS6ST2","HS6ST2","3","Y","LOC113997664"
"SYCP1","SYCP1","2","Y","LOC113999654"
"CFAP47","CFAP47","2","Y","LOC113999836"
"KLHDC10","KLHDC10","3","Y","LOC114002746"
"ATP2A3","ATP2A3","2","Y","LOC114003417"
"DNMT1","DNMT1","2","Y","LOC113986121"
"TBC1D12","TBC1D12","3","Y","LOC113986160"
"DRD5","DRD5","2","Y","LOC113986212"
"LIPA","LIPA","4","Y","LOC113986421"
"MSMB","LOC100858647","2","Y","LOC113987670"
"FAM21C","FAM21C","2","Y","LOC113986646"
"BLOC1S2","BLOC1S2","5","N","BLOC1S2"
"PRLH","LOC113987774","1","Y","LOC113987774"
"PERP","PERP","4","Y","LOC113988074"
"HDAC7","HDAC7","4","Y","LOC113989184"
"RPS17","RPS17","4","Y","LOC113989206"
"INPPL1","INPPL1","4","Y","LOC113989882"
"PDZD11","PDZD11","4","Y","LOC113989977"
"SOX3","SOX3","2","Y","LOC113989862"
"GABRQ","GABRQ","3","Y","LOC113990008"
"GABRE","GABRE","3","Y","LOC113990089"
"RPL36A","RPL36A","4","Y","LOC113990217"
"GCNA","GCNA","2","Y","LOC113990296"
"TAF1","TAF1","2","Y","LOC113990352"
"ANKHD1","ANKHD1","4","Y","LOC113990713"
"HARS","HARS","4","Y","LOC113990621"
"HDAC7","HDAC7","4","Y","LOC113990796"
"RASSF1","RASSF1","2","Y","LOC113992428"
"HYAL1","HYAL1","3","Y","LOC113990875"
"PFKFB4","PFKFB4","3","Y","LOC113990906"
"ABHD14B","ABHD14B","2","Y","LOC113991404"
"SLMAP","LOC113990843","1","Y","LOC113990843"
"H2A2BL","H2A2BL","2","Y","LOC113992267"
"FOXJ1","FOXJ1","4","Y","LOC113992699"
"LXN","LXN","3","Y","LOC113992842"
"KDM5A","LOC113993369","1","Y","LOC113993369"
"OTOF","OTOF","3","Y","LOC113993758"
"CHST6","CHST6","3","Y","LOC113994165"
"CHST4","CHST4","3","Y","LOC113994298"
"CACNA1F","CACNA1F","2","Y","LOC113994501"
"FSD1","FSD1","2","Y","LOC113994513"
"PPP1R37","PPP1R37","2","Y","LOC113994727"
"CNN1","CNN1","4","Y","LOC113994849"
"IL1B","IL1B","3","Y","LOC113995150"
"NT5C2","NT5C2","3","Y","LOC113994971"
"GPAT2","GPAT2","3","Y","LOC113994903"
"GPAT2","GPAT2","3","Y","LOC113994905"
"FAHD2A","FAHD2A","3","Y","LOC113995131"
"COLGALT1","COLGALT1","2","Y","LOC113995360"
"PBX4","PBX4","3","Y","LOC113995389"
"HYDIN","HYDIN","4","Y","LOC113995484"
"MCHR2","MCHR2","2","Y","LOC113995512"
"MAPK8IP3","MAPK8IP3","3","Y","LOC113995574"
"COL23A1","COL23A1","3","Y","LOC113995790"
"PHYKPL","PHYKPL","3","Y","LOC113995594"
"GFRA4","GFRA4","2","Y","LOC113996059"
"USP47","USP47","3","Y","LOC113996103"
"TNPO2","TNPO2","2","Y","LOC113996747"
"NEK1","NEK1","3","Y","LOC113996850"
"BOP1","BOP1","3","Y","LOC113996925"
"KCTD9","KCTD9","4","Y","LOC113996954"
"KCNK13","KCNK13","4","Y","LOC113997025"
"FBXO36","FBXO36","2","Y","LOC113997696"
"GDI2","GDI2","3","Y","LOC113998023"
"LGALS4","LGALS4","2","Y","LOC113998051"
"BUB1","BUB1","4","Y","LOC113998085"
"CETN2","CETN2","3","Y","LOC113998758"
"MEGF6","MEGF6","3","Y","LOC113999475"
"NET1","NET1","4","Y","LOC113999527"
"ALDH3A2","ALDH3A2","4","Y","LOC113999850"
"ALDH3A2","ALDH3A2","4","Y","LOC113999829"
"TRPV2","TRPV2","2","Y","LOC114000001"
"RNF113B","RNF113B","2","Y","LOC114000712"
"CRHR1","CRHR1","3","Y","LOC114000970"
"ASIC1","ASIC1","3","Y","LOC114000920"
"KCNJ3","KCNJ3","2","Y","LOC114000946"
"STAT5A","STAT5A","2","Y","LOC114001747"
"KRT17","KRT17","2","Y","LOC114001297"
"KRT14","KRT14","2","Y","LOC114001293"
"KRT13","KRT13","2","Y","LOC114001273"
"KRT13","KRT13","2","Y","LOC114001312"
"KRT13","KRT13","2","Y","LOC114002150"
"KRT23","KRT23","4","Y","LOC114001282"
"PLA2G4B","PLA2G4B","3","Y","LOC114003119"
"ACOT2","ACOT2","3","Y","LOC114002690"
"SLC8A3","SLC8A3","3","Y","LOC114003174"
"GIPC1","GIPC1","2","Y","LOC114003402"
"KCNMB2","KCNMB2","3","Y","LOC113982091"
"PODXL","PODXL","4","Y","LOC113982172"
"B3GNT5","B3GNT5","4","Y","LOC113982583"
"DRC1","DRC1","4","Y","LOC113982904"
"F3","LOC113983157","1","Y","LOC113983157"
"BTBD8","BTBD8","2","Y","LOC113983528"
"DRC1","DRC1","4","Y","LOC113984044"
"USP47","USP47","4","Y","LOC113984683"
"PSCA","PSCA","4","Y","LOC113984865"
